source,sheet,row,key,value
main_xlsx,DLCメインストーリー,229,Dialog.DLC1-1-7,"""The Seidou Group was apparently developing it to support Holy Core Battlemaidens... They say its combat power rivals Nayuta's."""
main_xlsx,DLCメインストーリー,237,Dialog.DLC1-1-10,"""It's at a facility under Seidou Group's control. However..."""
main_xlsx,DLCメインストーリー,245,Dialog.DLC1-1-14,"""...So we just need to kidnap Elena Seidou and force her to open it."""
main_xlsx,DLCメインストーリー,251,Dialog.DLC1-1-17,"""But... how do you plan to approach Elena Seidou?"""
main_xlsx,DLCメインストーリー,1156,Dialog.DLC1-3-155,"""I found you, Elena Seidou!! Haah!!"""
main_xlsx,DLCメインストーリー,1164,Dialog.DLC1-3-159,"""I am Holy Core Battlemaiden Diamond! Elena Seidou, I condemn you for the crime of betraying the Holy Core Battlemaidens and peace!"""
main_xlsx,DLCメインストーリー,1179,Dialog.DLC2-0-5,"""The perimeter is completely secured. Elena Seidou, resistance is futile."""
main_xlsx,DLCメインストーリー,1183,Dialog.DLC2-0-7,"""...Good work, Hisui. Thanks to you, we were able to corner Elena Seidou."""
main_xlsx,DLCメインストーリー,1197,Dialog.DLC2-0-14,"""...Elena Seidou, you will come with us as a prisoner."""
main_xlsx,DLCメインストーリー,1259,Dialog.DLC2-0-44,"Seizing the opportunity, Daiya cut off several of Elena's tentacles."
main_xlsx,DLCメインストーリー,1420,Dialog.DLC2-1-25,Seidou Group Secret Warehouse
main_xlsx,DLCメインストーリー,1576,Dialog.DLC2-1-99,"""This is the powered suit the Seidou Group was developing..."""
main_xlsx,Hisui,784,Hisui.Horny1-17,"""Guh... I, a Holy Core Battlemaiden... Elena Seidou, losing to such weak soldiers...!"""
main_xlsx,Hisui,884,Hisui.Horny1-67,"""Aah♥, I-I want it♥, I can't win♥, Elena Seidou♥ has been defeated by the soldier's cock♥"""
main_xlsx,Daiya,170,Daiya.Fallen2-20,"(Stronger than Elena Seidou, who became a fiend... no, possibly even stronger than Nayuta...?!)"
main_xlsx,Kei(DLC),676,Record.ErenaDLC,[Elena Seidou]
main_xlsx,Dialog.Chapter2,390,Dialog.Chapter2-3-60,"""That's mean. I'm Elena Seidou, the second-in-command Battlemaiden in Holy Core Legion. Did you not know about me before you took me on?"""
main_xlsx,Dialog.Chapter3,5,Dialog.Chapter3-1-2,"""This is what we currently know about Elena Seidou, who we fought the other day."""
main_xlsx,Dialog.Chapter3,9,Dialog.Chapter3-1-4,"""She is the deputy commander of the Holy Core Legion, and also the daughter of the Seidou Group, which has massive influence over finances and politics."""
main_xlsx,Dialog.Chapter3,29,Dialog.Chapter3-1-14,"""...I have been looking for intel on Elena Seidou and the Command Center, and I came across some interesting information on Elena."""
main_xlsx,Dialog.Chapter3,31,Dialog.Chapter3-1-15,"""I don't know if it'll help, but it might be the info you need to get past Elena Seidou..."""
main_xlsx,Dialog.Chapter3,166,Dialog.Chapter3-1-80,"""If possible, I don't want to make a big deal out of this. After all, if the video of you, the heiress of the Seidou Group, got out, it would be tragic."""
main_xlsx,Dialog.Chapter3,400,Dialog.Chapter3-3-28,"""This sucking feels great! You have really improved. The heiress of Seidou and the deputy Commander is really something!"""
main_xlsx,Dialog.Chapter3,486,Dialog.Chapter3-3-69,"""Everyone, we have captured Elena Seidou, the deputy Commander of Holy Core Legion! The operation was a resounding success!"""
main_xlsx,Dialog.Chapter4,3,Dialog.Chapter4-1-1,"The day after Elena Seidou was captured, Command Center descended into chaos."
main_xlsx,Dialog.Chapter4,5,Dialog.Chapter4-1-2,"""Elena Seidou was attacked and defeated by the Foundation, then kidnapped...?"""
main_xlsx,Dialog.Chapter4,13,Dialog.Chapter4-1-6,"""As expected, the Legion Command Center has descended into chaos after Elena Seidou went missing."""
main_xlsx,Dialog.Chapter4,21,Dialog.Chapter4-1-9,"""The Command Center relied significantly on Elena Seidou, so they will not be able to take much action for a while."""
main_xlsx,Dialog.Chapter4,25,Dialog.Chapter4-1-11,"""Elena Seidou came from a rich family, so we can use their connections to politics and finances if we have to."""
main_xlsx,Dialog.Chapter4,111,Dialog.Chapter4-2-10,"(She must be found and suppressed. We don't know how powerful she is, but at the moment she is a bigger threat than Elena Seidou.)"
main_xlsx,Dialog.Chapter5,264,Dialog.Chapter5-3-7,"""Elena Seidou! What do you think you're doing?!"""
main_xlsx,Dialog.Chapter5,284,Dialog.Chapter5-3-17,"""Elena Seidou. I consider your actions to be serious treason against the Legion."""
main_xlsx,Erena,9,Erena.Fallen1-4,"Elena Seidou was confined to a research lab deep underground, courtesy of the Tentacle Man."
main_xlsx,Erena,33,Erena.Fallen1-16,(I am Elena Seidou! The deputy commander of the Holy Core Legion and a Holy Core Battlemaiden! I can't die here!)
main_xlsx,Erena,133,Erena.Fallen1-68,(Get it together♥♥! I'm Elena Seidou! I won't yield to some weakling like this!)
main_xlsx,Erena,192,Erena.Fallen2-18,"""You were the young heir of the Seidou family, part of a giant conglomerate group, weren't you?"""
main_xlsx,Erena,202,Erena.Fallen2-23,"""Hehehe, recently Foundation personnel had a talk with the Seidou Group about you, Elena."""
main_xlsx,Erena,206,Erena.Fallen2-25,"""Let me get to the point. The Seidou Group has become a subsidiary organization of our Foundation."""
main_xlsx,Erena,210,Erena.Fallen2-27,"""The Seidou Group was especially supportive of the Holy Core Battlemaidens, so why all of a sudden?"""
main_xlsx,Erena,220,Erena.Fallen2-32,"(I've maintained deep relations between the Legion and the Seidou Group. If I return to headquarters, the Seidou Group should support the Holy Core Battlemaidens again.)"
main_xlsx,Erena,238,Erena.Fallen2-41,"""Your resident registration has been erased. You're no longer a member of the Seidou family."""
main_xlsx,Erena,242,Erena.Fallen2-43,"""When we showed that video to your father, he was quite enraged. He said he won't allow you to use the Seidou name anymore."""
main_xlsx,Erena,266,Erena.Fallen2-55,"""All this time! For peace! For the Seidou Group! For the Holy Core Battlemaidens! I worked so hard!"""
main_xlsx,Erena,332,Erena.Fallen2-88,(Even if I defeat this fiend and return to the Seidou family... the Legion... do I have a place there?)
main_xlsx,Erena,366,Erena.Fallen2-105,"""I, Seidou... no, Elena has just become Master's beloved pet!"""
main_xlsx,Erena,394,Erena.Fallen2-119,Elena Seidou kept licking the tentacles in the dark with admiration.
local_csv,Daiya,170,Daiya.Fallen2-20,"(Stronger than Elena Seidou, who became a fiend... no, possibly even stronger than Nayuta...?!)"
local_csv,Dialog.Chapter2,390,Dialog.Chapter2-3-60,"""That's mean. I'm Elena Seidou, the second-in-command Battlemaiden in Holy Core Legion. Did you not know about me before you took me on?"""
local_csv,Dialog.Chapter3,5,Dialog.Chapter3-1-2,"""This is what we currently know about Elena Seidou, who we fought the other day."""
local_csv,Dialog.Chapter3,9,Dialog.Chapter3-1-4,"""She is the deputy commander of the Holy Core Legion, and also the daughter of the Seidou Group, which has massive influence over finances and politics."""
local_csv,Dialog.Chapter3,29,Dialog.Chapter3-1-14,"""...I have been looking for intel on Elena Seidou and the Command Center, and I came across some interesting information on Elena."""
local_csv,Dialog.Chapter3,31,Dialog.Chapter3-1-15,"""I don't know if it'll help, but it might be the info you need to get past Elena Seidou..."""
local_csv,Dialog.Chapter3,166,Dialog.Chapter3-1-80,"""If possible, I don't want to make a big deal out of this. After all, if the video of you, the heiress of the Seidou Group, got out, it would be tragic."""
local_csv,Dialog.Chapter3,400,Dialog.Chapter3-3-28,"""This sucking feels great! You have really improved. The heiress of Seidou and the deputy Commander is really something!"""
local_csv,Dialog.Chapter3,486,Dialog.Chapter3-3-69,"""Everyone, we have captured Elena Seidou, the deputy Commander of Holy Core Legion! The operation was a resounding success!"""
local_csv,Dialog.Chapter4,3,Dialog.Chapter4-1-1,"The day after Elena Seidou was captured, Command Center descended into chaos."
local_csv,Dialog.Chapter4,5,Dialog.Chapter4-1-2,"""Elena Seidou was attacked and defeated by the Foundation, then kidnapped...?"""
local_csv,Dialog.Chapter4,13,Dialog.Chapter4-1-6,"""As expected, the Legion Command Center has descended into chaos after Elena Seidou went missing."""
local_csv,Dialog.Chapter4,21,Dialog.Chapter4-1-9,"""The Command Center relied significantly on Elena Seidou, so they will not be able to take much action for a while."""
local_csv,Dialog.Chapter4,25,Dialog.Chapter4-1-11,"""Elena Seidou came from a rich family, so we can use their connections to politics and finances if we have to."""
local_csv,Dialog.Chapter4,111,Dialog.Chapter4-2-10,"(She must be found and suppressed. We don't know how powerful she is, but at the moment she is a bigger threat than Elena Seidou.)"
local_csv,Dialog.Chapter5,264,Dialog.Chapter5-3-7,"""Elena Seidou! What do you think you're doing?!"""
local_csv,Dialog.Chapter5,284,Dialog.Chapter5-3-17,"""Elena Seidou. I consider your actions to be serious treason against the Legion."""
local_csv,DLCメインストーリー,229,Dialog.DLC1-1-7,"""The Seidou Group was apparently developing it to support Holy Core Battlemaidens... They say its combat power rivals Nayuta's."""
local_csv,DLCメインストーリー,237,Dialog.DLC1-1-10,"""It's at a facility under Seidou Group's control. However..."""
local_csv,DLCメインストーリー,245,Dialog.DLC1-1-14,"""...So we just need to kidnap Elena Seidou and force her to open it."""
local_csv,DLCメインストーリー,251,Dialog.DLC1-1-17,"""But... how do you plan to approach Elena Seidou?"""
local_csv,DLCメインストーリー,1156,Dialog.DLC1-3-155,"""I found you, Elena Seidou!! Haah!!"""
local_csv,DLCメインストーリー,1164,Dialog.DLC1-3-159,"""I am Holy Core Battlemaiden Diamond! Elena Seidou, I condemn you for the crime of betraying the Holy Core Battlemaidens and peace!"""
local_csv,DLCメインストーリー,1179,Dialog.DLC2-0-5,"""The perimeter is completely secured. Elena Seidou, resistance is futile."""
local_csv,DLCメインストーリー,1183,Dialog.DLC2-0-7,"""...Good work, Hisui. Thanks to you, we were able to corner Elena Seidou."""
local_csv,DLCメインストーリー,1197,Dialog.DLC2-0-14,"""...Elena Seidou, you will come with us as a prisoner."""
local_csv,DLCメインストーリー,1259,Dialog.DLC2-0-44,"Seizing the opportunity, Daiya cut off several of Elena's tentacles."
local_csv,DLCメインストーリー,1420,Dialog.DLC2-1-25,Seidou Group Secret Warehouse
local_csv,DLCメインストーリー,1576,Dialog.DLC2-1-99,"""This is the powered suit the Seidou Group was developing..."""
local_csv,Erena,9,Erena.Fallen1-4,"Elena Seidou was confined to a research lab deep underground, courtesy of the Tentacle Man."
local_csv,Erena,33,Erena.Fallen1-16,(I am Elena Seidou! The deputy commander of the Holy Core Legion and a Holy Core Battlemaiden! I can't die here!)
local_csv,Erena,133,Erena.Fallen1-68,(Get it together♥♥! I'm Elena Seidou! I won't yield to some weakling like this!)
local_csv,Erena,192,Erena.Fallen2-18,"""You were the young heir of the Seidou family, part of a giant conglomerate group, weren't you?"""
local_csv,Erena,202,Erena.Fallen2-23,"""Hehehe, recently Foundation personnel had a talk with the Seidou Group about you, Elena."""
local_csv,Erena,206,Erena.Fallen2-25,"""Let me get to the point. The Seidou Group has become a subsidiary organization of our Foundation."""
local_csv,Erena,210,Erena.Fallen2-27,"""The Seidou Group was especially supportive of the Holy Core Battlemaidens, so why all of a sudden?"""
local_csv,Erena,220,Erena.Fallen2-32,"(I've maintained deep relations between the Legion and the Seidou Group. If I return to headquarters, the Seidou Group should support the Holy Core Battlemaidens again.)"
local_csv,Erena,238,Erena.Fallen2-41,"""Your resident registration has been erased. You're no longer a member of the Seidou family."""
local_csv,Erena,242,Erena.Fallen2-43,"""When we showed that video to your father, he was quite enraged. He said he won't allow you to use the Seidou name anymore."""
local_csv,Erena,266,Erena.Fallen2-55,"""All this time! For peace! For the Seidou Group! For the Holy Core Battlemaidens! I worked so hard!"""
local_csv,Erena,332,Erena.Fallen2-88,(Even if I defeat this fiend and return to the Seidou family... the Legion... do I have a place there?)
local_csv,Erena,366,Erena.Fallen2-105,"""I, Seidou... no, Elena has just become Master's beloved pet!"""
local_csv,Erena,394,Erena.Fallen2-119,Elena Seidou kept licking the tentacles in the dark with admiration.
local_csv,Hisui,784,Hisui.Horny1-17,"""Guh... I, a Holy Core Battlemaiden... Elena Seidou, losing to such weak soldiers...!"""
local_csv,Hisui,884,Hisui.Horny1-67,"""Aah♥, I-I want it♥, I can't win♥, Elena Seidou♥ has been defeated by the soldier's cock♥"""
local_csv,Kei(DLC),676,Record.ErenaDLC,[Elena Seidou]
local_csv,System,26,System.HolyCoreTraining,Seikaku Research
local_csv,System,81,System.EquipmentHoly,Seikaku Equipment
local_csv,System,124,Memory.AkihoCore_1,Akiho - Seikaku Research I
local_csv,System,125,Memory.AkihoCore_2,Akiho - Seikaku Research II
local_csv,System,131,Memory.RikkaCore_1,Rikka - Seikaku Research I
local_csv,System,132,Memory.RikkaCore_2,Rikka - Seikaku Research II
local_csv,System,138,Memory.ErenaCore_1,Elena - Seikaku Research I
local_csv,System,139,Memory.ErenaCore_2,Elena - Seikaku Research II
local_csv,System,145,Memory.KeiCore_1,Kei - Seikaku Research I
local_csv,System,146,Memory.KeiCore_2,Kei - Seikaku Research II
local_csv,System,149,Memory.NayutaBrainWash_1,Nayuta - Seikaku Drain I
local_csv,System,150,Memory.NayutaBrainWash_2,Nayuta - Seikaku Drain II
local_csv,System,151,Memory.NayutaBrainWash_3,Nayuta - Seikaku Drain III
local_csv,System,152,Memory.NayutaCore_1,Nayuta - Seikaku Research I
local_csv,System,153,Memory.NayutaCore_2,Nayuta - Seikaku Research II
local_csv,System,162,Memory.SeikakuEquip,Seikaku Factory
local_csv,System,186,Memory.ErenaDLC,Elena Seidou
local_csv,System,204,Name.Erena,Elena Seidou
local_csv,System,260,Name.Erena_Corrupted,Elena Seidou
local_csv,System,270,Name.Security,Seidou Group Guard
local_csv,System,524,World.Chapter5-3,"""Yakumo Nayuta is a formidable opponent. I hope we can make use of Elena Seidou here..."""
local_csv,System,585,BattleLog.DaiyaRevive,Diamond’s Seikaku Equipment activated! {0} can still keep fighting!
local_csv,System,602,CreditRoll.VoiceActors,"<size=35>Characters' Voice</size>
<font=""JP/ipaexg SDF"">西瓜すいか</font> <size=35>(Sasaya Akiho)</size>

<font=""JP/ipaexg SDF"">砂糖しお</font> <size=35>(Minase Rikka)</size>

<font=""JP/ipaexg SDF"">梅原亜衣</font> <size=35>(Elena Seidou)</size>

<font=""JP/ipaexg SDF"">海音ミヅチ</font> <size=35>(Nekomiya Kei)</size>

<font=""JP/ipaexg SDF"">藤村莉央</font> <size=35>(Yakumo Nayuta)</size>

<font=""JP/ipaexg SDF"">来夢ふらん</font> <size=35>(Saionji Hisui)</size>

<font=""JP/ipaexg SDF"">手塚りょうこ</font> <size=35>(Diamond)</size>"
