recommendation,reason,lqa_sheet,main_sheet,column,key,lqa_key,lqa_row,main_row,Japanese_Steam,main_value,lqa_value
SKIP,Old-doc name/romanization regression against official Elena Seidou.,Hisui DLC2,Hisui,English_Steam,Hisui.Horny1-60,Hisui.Horny1-60,122,870,(ああっ♥、あの敬愛する幹部のエレナ様が犯されているところがこんなに近くで見れるなんて…♥),"(Aah♥, to be able to see the respected executive Elena being violated this close...♥)","(Aah♥, to be able to see the respected executive Erena being violated this close...♥)"
SKIP,Old-doc name/romanization regression against official Elena Seidou.,Hisui DLC2,Hisui,English_Steam,Hisui.Horny1-61,Hisui.Horny1-61,124,872,(エレナ様は…そう♥…財団で初めて見た時から私の憧れでしたっ…♥),(Elena... yes♥... has been my idol since I first saw her at the Foundation...♥),(Erena... yes♥... has been my idol since I first saw her at the Foundation...♥)
SKIP,Old-doc name/romanization regression against official Elena Seidou.,Hisui DLC2,Hisui,English_Steam,Hisui.Horny1-73,Hisui.Horny1-73,148,896,「ああっ♥、そんな…エレナ先輩っ……♥」,"""Aah♥, oh no... Elena...♥""","""Aah♥, oh no... Erena...♥"""
SKIP,Old-doc name/romanization regression against official Elena Seidou.,Hisui DLC2,Hisui,English_Steam,Hisui.Horny1-79,Hisui.Horny1-79,160,908,「うっ♥ううっ♥…エレナ先輩っ……♥」,"""Uh♥ uuh♥... Elena...♥""","""Uh♥ uuh♥... Erena...♥"""
SKIP,Old-doc name/romanization regression against official Elena Seidou.,Hisui DLC2,Hisui,English_Steam,Hisui.Horny1-86,Hisui.Horny1-86,174,922,「で、でもっ♥、エレナ先輩と一緒に犯してもらえるなら…♥…悪くないかもしれません…っ♥」,"""B-but♥, if I can get fucked together with Elena...♥... it might not be so bad...♥""","""B-but♥, if I can get fucked together with Erena...♥... it might not be so bad...♥"""
SKIP,Old-doc name/romanization regression against official Elena Seidou.,Hisui DLC2,Hisui,English_Steam,Hisui.Horny1-88,Hisui.Horny1-88,178,926,「ああっ♥、はいっ♥…エレナ先輩がそう言うならっ……♥」,"""Aah♥, yes♥... if Elena says so...♥""","""Aah♥, yes♥... if Erena says so...♥"""
SKIP,Old-doc name/romanization regression against official Elena Seidou.,Hisui DLC2,Hisui,English_Steam,Hisui.Horny1-101,Hisui.Horny1-101,204,952,(ああっ♥、エレナ様を見ながら戦闘員様にも犯していただけるなんてっ…♥),"(Aah♥, to be able to get fucked by the soldier while watching Elena...♥)","(Aah♥, to be able to get fucked by the soldier while watching Erena...♥)"
SKIP,Old-doc name/romanization regression against official Elena Seidou.,Hisui DLC2,Hisui,English_Steam,Hisui.Horny2-19,Hisui.Horny2-19,260,1008,戦闘員がそう言うとヒスイとエレナは頭も戦闘員の仮面で覆われる,"When the soldier said that, Hisui and Elena's heads were covered with soldier masks.","When the soldier said that, Hisui and Erena's heads were covered with soldier masks."
SKIP,Old-doc name/romanization regression against official Elena Seidou.,Hisui DLC2,Hisui,English_Steam,Hisui.Horny2-26,Hisui.Horny2-26,274,1022,「キィーーーーッ！そ、そうですっ…エレナ様と言えど…今は下級戦闘員ですからっ♥」,"""Kiiiii! T-that's right... even Elena... is just a low-ranking soldier now♥""","""Kiiiii! T-that's right... even Erena... is just a low-ranking soldier now♥"""
SKIP,Old-doc name/romanization regression against official Elena Seidou.,Hisui DLC2,Hisui,English_Steam,Hisui.Horny2-27,Hisui.Horny2-27,276,1024,(……！私は撮影中とはいえエレナ様と同じ立場…♥なんて恐れ多いんでしょうっ♥),"(...! Even though we're filming, I'm in the same position as Elena...♥ how awe-inspiring♥)","(...! Even though we're filming, I'm in the same position as Erena...♥ how awe-inspiring♥)"
SKIP,Old-doc name/romanization regression against official Elena Seidou.,Hisui DLC2,Hisui,English_Steam,Hisui.Horny2-28,Hisui.Horny2-28,278,1026,(でもっ♥…すごくゾクゾクしますっ…♥あのエレナ様が無様な下級戦闘員になって目の前で喘いでいるなんてっ♥),(But♥... it's so thrilling...♥ to see Elena reduced to a pathetic junior soldier moaning in front of me♥),(But♥... it's so thrilling...♥ to see Erena reduced to a pathetic junior soldier moaning in front of me♥)
SKIP,Old-doc name/romanization regression against official Elena Seidou.,Hisui DLC2,Hisui,English_Steam,Hisui.Horny2-40,Hisui.Horny2-40,302,1050,「ふふっ♥、無様ですよっ…エレナ様…いいえ♥下級戦闘員っ♥」,"""Fufu♥, how pathetic... Elena... no, I mean... junior soldier♥""","""Fufu♥, how pathetic... Erena... no, I mean... junior soldier♥"""
SKIP,Old-doc name/romanization regression against official Elena Seidou.,Hisui DLC2,Hisui,English_Steam,Hisui.Horny2-51,Hisui.Horny2-51,324,1072,(ああっ♥…私のような下級戦闘員がエレナ様と一緒に快楽を享受できるなんて…♥),(Aah♥... for a junior soldier like me to share pleasure with Elena...),(Aah♥... for a junior soldier like me to share pleasure with Erena...)
