Key,Comment,Japanese,English,Traditional Chinese,Simplified Chinese,Japanese_Steam,Traditional Chinese_Steam,Simplified Chinese_Steam,English_Steam,Korean_Steam
Akiho.Fallen1-6,明穂,「…それが目的ならこんな胸が出るような拘束しなくてもいいじゃない！なんでわざわざ拘束するのっ？！」,"「If that's your goal, you don't have to restrain me in such a way that my breasts show! Why bother restraining them at all?」",「…如果是這種目的的話，根本不需要這樣暴露胸部的拘束啊！為什麼非得特意把我弄成這樣呢！」,「…如果是这种目的的话，根本不需要这样暴露胸部的拘束啊！为什么非得特意把我弄成这样呢！」,「…それが目的ならこんな胸が出るような拘束しなくてもいいじゃない！なんでわざわざ拘束するのっ？！」,「…如果是這種目的的話，根本不需要這樣暴露胸部的拘束啊！為什麼非得特意把我弄成這樣呢！」,「…如果是这种目的的话，根本不需要这样暴露胸部的拘束啊！为什么非得特意把我弄成这样呢！」,"""...If that's the purpose, you don't need restraints that expose my chest! Why are you restraining me like this?!""",「…그게 목적이라면 이런 가슴이 드러나는 구속 안 해도 되잖아! 왜 굳이 구속하는 거야?」
,,,,,,,,,,
Akiho.Fallen1-7,戦闘員,「ああ、お前は改造されて財団の役に立ってもらうんだよ。聖核戦姫を研究して俺達の手駒にするってわけだ」,「Your body will be transformed into a tool useful to the Foundation. We will study the Holy Core Battlemaiden and turn you into our pawn.」,「你的身體將會被改造成為對財團有用的工具。研究聖核戰姬，然後將你變為我們的棋子。」,「你的身体将会被改造成为对财团有用的工具。研究圣核战姬，然后将你变为我们的棋子。」,「ああ、お前は改造されて財団の役に立ってもらうんだよ。聖核戦姫を研究して俺達の手駒にするってわけだ」,「妳的身體將會被改造成為對財團有用的工具。研究聖核戰姬，然後將變為我們的棋子。」,「你的身体将会被改造成为对财团有用的工具。研究圣核战姬，然后将你变为我们的棋子。」,"""Ah, you're going to be modified to serve the Foundation. We're going to research Holy Core Battlemaidens and make you our pawns.""","「아아, 너는 개조되어 재단의 도움이 될 거야. 성핵전희를 연구해서 우리들의 수족으로 삼는 거지」"
,,,,,,,,,,
Akiho.Fallen1-8,明穂,「っ！、どんなことしたって、私が六花とか他の皆を攻撃するなんてこと絶対ないっ！」,"「I'll never attack Rikka or anyone else, no matter what you do! No matter what happen, I would never attack Rikka or anyone else!」",「！無論發生什麼事，我是絕對不會攻擊六花或大家的！」,「！无论发生什么事，我是绝对不会攻击六花或大家的！」,「っ！、どんなことしたって、私が六花とか他の皆を攻撃するなんてこと絶対ないっ！」,「！無論發生什麼事，我是絕對不會攻擊六花或大家的！」,「！无论发生什么事，我是绝对不会攻击六花或大家的！」,"""...! No matter what you do, I'll never attack Rikka or anyone else!""","「윽!, 무슨 짓을 해도, 내가 릿카나 다른 모두를 공격하는 일은 절대 없을 거야!」"
,,,,,,,,,,
Akiho.Fallen1-9,戦闘員,「安心しろ、何もお前をバケモノに改造したリ戦闘員にするわけじゃない」,"「Don't worry, we're not going to turn you into a monster or a combatant.」",「放心吧，我們不會將你改造成怪物般的戰鬥員的。」,「放心吧，我们不会将你改造成怪物般的战斗员的。」,「安心しろ、何もお前をバケモノに改造したリ戦闘員にするわけじゃない」,「放心吧，我們不會將妳改造成怪物般的戰鬥員的。」,「放心吧，我们不会将你改造成怪物般的战斗员的。」,"""Don't worry, we're not going to turn you into a monster or make you a soldier.""","「안심해, 널 괴물로 개조하거나 전투원으로 만드는 건 아니니까」"
,,,,,,,,,,
Akiho.Fallen1-10,明穂,「…？、何が目的なの…！？」,「What do you want then...?」,「…？你們的目的是什麼…！？」,「…？你们的目的是什么…！？」,「…？、何が目的なの…！？」,「…？你們的目的是什麼…！？」,「…？你们的目的是什么…！？」,"""What do you want, then?""","「…?, 뭐가 목적인 거야…!?」"
,,,,,,,,,,
Akiho.Fallen1-11,戦闘員,「お前を洗脳して戦わせたところで大した戦力にはならねえからな」,「Brainwashing you into fighting won't make you much of a force.」,「就算把你洗腦然後派你去戰鬥，你也算不上什麼了不起的戰力啊。」,「就算把你洗脑然后派你去战斗，你也算不上什么了不起的战力啊。」,「お前を教育して戦わせたところで大した戦力にはならねえからな」,「就算把妳教育然後派去戰鬥，妳也算不上什麼了不起的戰力啊。」,「就算把你教育然后派你去战斗，你也算不上什么了不起的战力啊。」,"""Even if we re-educated you to fight, you wouldn't be much of a fighting force.""",「널 세뇌해서 싸우게 해봤자 큰 전력은 안 될 테니까」
,,,,,,,,,,
Akiho.Fallen1-12,戦闘員,「お前には聖核のエネルギーを有効利用するための実験台になってもらう」,「You will be our test subject for the effective use of the Seikaku energy.」,「你將成為讓我們能夠有效利用聖核能量的實驗工具。」,「你将成为让我们能够有效利用圣核能量的实验工具。」,「お前には聖核のエネルギーを有効利用するための実験台になってもらう」,「妳將成為讓我們能夠有效利用聖核能量的實驗工具。」,「你将成为让我们能够有效利用圣核能量的实验工具。」,"""You're going to be our test subject for effectively utilizing Holy Core energy.""",「너에게는 성핵의 에너지를 유효하게 이용하기 위한 실험대가 되어줘야겠어」
,Akiho darkness1-2,,,,,,,,,
Akiho.Fallen1-13,明穂,「！っ、むぐっ！」,「Mmph!」,「嗯唔！」,「嗯唔！」,「！っ、むぐっ！」,「嗯唔！」,「嗯唔！」,"""Huh? Mmmgggg!""","「!윽, 읍!」"
,,,,,,,,,,
Akiho.Fallen1-14,,明穂の口にガスマスクのようなものが付けられ、胸にも装置が付けられる,A gas mask―like device is attached to Akiho's mouth and a device is also attached to his chest.,明穗的嘴巴被戴上了像防毒面具一樣的東西，胸部也裝上了裝置。,明穗的嘴巴被戴上了像防毒面具一样的东西，胸部也装上了装置。,明穂の口にガスマスクのようなものが付けられ、胸にも装置が付けられる,明穗的嘴巴被戴上了像防毒面具一樣的東西，胸部也裝上了裝置。,明穗的嘴巴被戴上了像防毒面具一样的东西，胸部也装上了装置。,A gas mask-like device was attached to her face while another device is attached to her chest.,"아키호의 입에 가스 마스크 같은 것이 씌워지고, 가슴에도 장치가 부착된다"
,,,,,,,,,,
Akiho.Fallen1-15,戦闘員,「これはお前の体に宿る聖核エネルギーをいじくるための装置だ。これでお前の聖核を俺達の役に立つように書き換えるってわけだ」,「This is a device to tamper with the Seikaku energy in your body. It rewrites your Seikaku to make it more useful to us.」,「這是為了調整你體內的聖核能量而設計的裝置。我們將用這個來把你的聖核置換成能為我們所用的東西。」,「这是为了调整你体内的圣核能量而设计的装置。我们将用这个来把你的圣核置换成能为我们所用的东西。」,「これはお前の体に宿る聖核エネルギーをいじくるための装置だ。これでお前の聖核を俺達の役に立つように書き換えるってわけだ」,「這是為了調整妳體內的聖核能量而設計的裝置。我們將用這個來把妳的聖核置換成能為我們所用的東西。」,「这是为了调整你体内的圣核能量而设计的装置。我们将用这个来把你的圣核置换成能为我们所用的东西。」,"""This is a device for manipulating the Holy Core energy within you. We will rewrite your Holy Core to serve our purposes.""",「이건 네 몸에 깃든 성핵 에너지를 조작하기 위한 장치다. 이걸로 네 성핵을 우리에게 도움이 되도록 다시 쓰는 거지」
,,,,,,,,,,
Akiho.Fallen1-16,明穂,「フシューッ！、フシューッ！！もごっ？！」,「Fsshh! Fsshh!! Mmph?!」,「呼噓—！呼噓—！！唔咕？！」,「呼嘘—！呼噓—！！唔咕？！」,「フシューッ！、フシューッ！！もごっ？！」,「呼噓—！呼噓—！！唔咕？！」,「呼噓—！呼噓—！！唔咕？！」,"""Hsssh! Hsssh!! Mmph?!""",「푸슈ー! 푸슈ー!! 으읍?!」
,,,,,,,,,,
Akiho.Fallen1-17,戦闘員,「よし、じゃあ稼働するぞ。お前が初めての実験台でどうなるか分からねえからそこは覚悟してくれ」,"「Alright, let's get it running. You're the first test subject for this machine, so I can't say what'll happen — be prepared for that.」",「好，那麼就啟動嘍。你作為第一個實驗工具，結果會是如何我們也不知道，所以做好心裡準備吧。」,「好，那么就启动喽。你作为第一个实验工具，结果会是如何我们也不知道，所以做好心里准备吧。」,「よし、じゃあ稼働するぞ。お前が初めての実験台でどうなるか分からねえからそこは覚悟してくれ」,「好，那麼就啟動囉。妳作為第一個實驗工具，結果會是如何我們也不知道，所以做好心裡準備吧。」,「好，那么就启动喽。你作为第一个实验工具，结果会是如何我们也不知道，所以做好心里准备吧。」,"""Alright, let's start it up. You're our first test subject so we don't know what'll happen. Be prepared!""","「좋아, 그럼 가동한다. 네가 첫 실험대라 어떻게 될지 모르니 그 점은 각오해둬」"
,,,,,,,,,,
Akiho.Fallen1-18,明穂,「んぐっ、んっ、んん゛っ、ゴキュッ！」,"「""Ngh... nn... nnngh... gulp」",「嗯咕嚕、嗯、嗯嗯咕嚕、咕咕！」,「嗯咕噜、嗯、嗯嗯咕噜、咕咕！」,「んぐっ、んっ、んん゛っ、ゴキュッ！」,「嗯咕嚕、嗯、嗯嗯咕嚕、咕咕！」,「嗯咕噜、嗯、嗯嗯咕噜、咕咕！」,"""Ngh, nn, nnh, gulp!""","「읍, 으읍, 으으음옷 , 꿀꺽!」"
,,,,,,,,,,
Akiho.Fallen1-19,,明穂に取り付けられたマスクから口の中にピンク色の液体が注ぎ込まれる,Pink liquid pours into the mouth from the mask attached to Akiho,從明穗戴上的面具中，粉紅色的液體被強制灌入她的口中。,从明穗戴上的面具中，粉红色的液体被强制灌入她的口中。,明穂に取り付けられたマスクから口の中にピンク色の液体が注ぎ込まれる,從明穗戴上的面具中，粉紅色的液體被強制灌入她的口中。,从明穗戴上的面具中，粉红色的液体被强制灌入她的口中。,Pink liquid was poured into Akiho's mouth through the mask.,아키호에게 부착된 마스크에서 입안으로 분홍색 액체가 흘러 들어온다
,1－3,,,,,,,,,
Akiho.Fallen1-20,明穂,「んん゛っ！？、ん゛っ♥、んぅ、ん゛っ♥♥」,「Nnngh!? Nngh♥ Nn... Nngh♥♥」,「嗯嗯呃！？嗯呃♥嗯……嗯呃♥♥」,「嗯嗯呃！？嗯呃♥嗯……嗯呃♥♥」,「んん゛っ！？、ん゛っ♥、んぅ、ん゛っ♥♥」,「嗯嗯呃！？嗯呃♥嗯……嗯呃♥♥」,「嗯嗯呃！？嗯呃♥嗯……嗯呃♥♥」,"""Nnnn?! Nnnn♥ Nnn...♥""","「으음옷 !?, 으음옷 ♥, 으읏, 으음옷 ♥♥」"
,,,,,,,,,,
Akiho.Fallen1-21,,明穂の体からピンク色の光が立ち上り、聖核戦姫に変身した姿になる,"A pink light rises from Akiho's body, forcibly transforming her into the Holy Core Battlemaiden.",從明穗的身體中冒起粉紅色的光芒，強制把她變成聖核戰姬的模樣。,从明穗的身体中冒起粉红色的光芒，强制把她变身成圣核战姬的模样。,明穂の体からピンク色の光が立ち上り、聖核戦姫に変身した姿になる,從明穗的身體中冒起粉紅色的光芒，強制把她變成聖核戰姬的模樣。,从明穗的身体中冒起粉红色的光芒，强制把她变身成圣核战姬的模样。,Pink light rose from Akiho's body as she transformed into her Holy Core Battlemaiden form.,"아키호의 몸에서 분홍색 빛이 피어오르며, 성핵전희로 변신한 모습이 된다"
,,,,,,,,,,
Akiho.Fallen1-22,戦闘員,「おお、ちゃんと効いたな。これはお前の聖核エネルギーを強制的に引き出す成分が入っているらしい。まあどんな副作用があるかは分からんがな」,"「Oh, it worked. It seems to contain an ingredient that forces out your Seikaku energy. Well, I don't know what the side effects are.」",「哦，效果還不錯呢。這裡添加了一種能強制提取你的聖核能量的成分。嘛，副作用如何就不得而知了。」,「哦，效果还不错呢。这里添加了一种能强制提取你的圣核能量的成分。嘛，副作用如何就不得而知了。」,「おお、ちゃんと効いたな。これはお前の聖核エネルギーを強制的に引き出す成分が入っているらしい。まあどんな副作用があるかは分からんがな」,「哦，效果還不錯呢。這裡添加了一種能強制提取妳的聖核能量的成分。嘛，副作用如何就不得而知了。」,「哦，效果还不错呢。这里添加了一种能强制提取你的圣核能量的成分。嘛，副作用如何就不得而知了。」,"""It's working as intended. This contains an ingredient that will forcibly bring out the Holy Core energy within you, though I have no idea what the side effects are.""","「오오, 제대로 효과가 있군. 이건 네 성핵 에너지를 강제로 끌어내는 성분이 들어있는 것 같다. 뭐 어떤 부작용이 있을지는 모르지만」"
,,,,,,,,,,
Akiho.Fallen1-23,明穂,「んっ、♥ゴプッ♥、ん゛、んんっ♥(頭がぼーっとするっ、けど、ちょっと甘くておいしい…？)」,「Nn... ♥ Gulp♥... Nngh... Nnngh♥ (My head feels fuzzy... but it's kind of sweet and tasty...?)」,「嗯、♥咕噗♥、嗯、嗯咕♥（頭有點昏昏沉沉的，但是，有點甜...而且還蠻好吃的...？）」,「嗯、♥咕噗♥、嗯、嗯咕♥（头有点昏昏沉沉的，但是，有点甜...而且还蛮好吃的...？）」,「んっ、♥ゴプッ♥、ん゛、んんっ♥(頭がぼーっとするっ、けど、ちょっと甘くておいしい…？)」,「嗯、♥咕噗♥、嗯、嗯咕♥（頭有點昏昏沉沉的，但是，有點甜...而且還蠻好吃的...？）」,「嗯、♥咕噗♥、嗯、嗯咕♥（头有点昏昏沉沉的，但是，有点甜...而且还蛮好吃的...？）」,"""Nnn... Guh♥ Nnn...♥ (I'm in a daze... But this is kind of sweet?)""","「으음, ♥꿀꺽♥, 으음옷 , 으응읏♥(머리가 멍해, 하지만, 조금 달콤하고 맛있어…?)」"
,,,,,,,,,,
Akiho.Fallen1-24,戦闘員,「じゃあいよいよ改造だな。ええとスイッチを入れて聖核エネルギー反転レーザーを照射…と。」,"「Then it's time to modify it. ""Let's turn on the switch, and the Seikaku energy reversal laser...」",「那麼，終於可以開始改造了。嗯，啟動開關，照射聖核能量反轉雷射！」,「那么，终于可以开始改造了。嗯，启动开关，照射圣核能量反转雷射！」,「じゃあいよいよ改造だな。ええとスイッチを入れて聖核エネルギー反転レーザーを照射…と。」,「那麼，終於可以開始改造了。嗯，啟動開關，照射聖核能量反轉雷射！」,「那么，终于可以开始改造了。嗯，启动开关，照射圣核能量反转雷射！」,"""Now for the real modification. Let's see, turn on the switch and fire the Holy Core energy reversal laser...""",「그럼 드디어 개조다. 음 스위치를 켜서 성핵 에너지 반전 레이저를 조사….」
,１－４,,,,,,,,,
Akiho.Fallen1-25,明穂,「もがっ？！んっ、♥んん゛っ！」,「Mmph?! Nn...♥ Nnngh!」,「估啊？！嗯、♥嗯嗯咕嚕！」,「估啊？！嗯、♥嗯嗯咕噜！」,「もがっ？！んっ、♥んん゛っ！」,「估啊？！嗯、♥嗯嗯咕嚕！」,「估啊？！嗯、♥嗯嗯咕噜！」,"""Guhnn?! Nnnn♥""","「으읍?! 으읍, ♥으으음옷 !」"
,,,,,,,,,,
Akiho.Fallen1-26,,装置が怪しい赤色にひかり、明穂の乳首にピンク色の光が照射される,The device flashes a suspicious red color and a pink light illuminates Akiho's nipples.,裝置發出可疑的紅色光芒，粉紅色的光線照射在明穗的乳頭上。,装置发出可疑的红色光芒，粉红色的光线照射在明穗的乳头上。,装置が怪しい赤色にひかり、明穂の乳首にピンク色の光が照射される,裝置發出可疑的紅色光芒，粉紅色的光線照射在明穂的乳頭上。,装置发出可疑的红色光芒，粉红色的光线照射在明穂的乳头上。,The device glowed an ominous red as a pink light was aimed at Akiho's nipple.,"장치가 수상한 붉은 빛을 내며, 아키호의 유두에 분홍색 빛이 조사된다"
,,,,,,,,,,
Akiho.Fallen1-27,戦闘員,「えー、次はレーザーを体の奥まで届かせるためにエネルギーを一転に集中させる…。これを乳首の中央部に照射すればいいんだな？」,"「'Well, next we'll concentrate the energy into a single turn to allow the laser to reach deeper into the body.... So I just need to direct this to the center of the nipple?」",「我看看，接下來為了讓雷射能夠達到身體深處，需要將能量集中…。將這個照射在乳頭的中央部...好了。」,「我看看，接下来为了让雷射能够达到身体深处，需要将能量集中…。将这个照射在乳头的中央部...好了。」,「えー、次はレーザーを体の奥まで届かせるためにエネルギーを一転に集中させる…。これを乳首の中央部に照射すればいいんだな？」,「我看看，接下來為了讓雷射能夠達到身體深處，需要將能量集中…。將這個照射在乳頭的中間...好了。」,「我看看，接下来为了让雷射能够达到身体深处，需要将能量集中…。将这个照射在乳头的中央部...好了。」,"""Uh, next we concentrate the energy to make the laser penetrate deep into the body... This should be directed at the center of the nipple, right?""","「에-, 다음은 레이저를 몸속 깊이까지 전달하기 위해 에너지를 한 점에 집중시킨다…. 이걸 유두 중앙부에 조사하면 되는 건가?」"
,,,,,,,,,,
Akiho.Fallen1-28,1－5,キュイイイイイン―――ジリジリジリッ,Fweeeeeeeeen—Zzzzt zzzzt zzzzt!,咻咻咻咻―――滋滋滋滋――,咻咻咻咻―――滋滋滋滋――,キュイイイイイン―――ジリジリジリッ,咻咻咻咻―――滋滋滋滋――,咻咻咻咻―――滋滋滋滋――,Whirrrrr... Sizzle...,큐이이이이인―――― 지리리리리릿
,,,,,,,,,,
Akiho.Fallen1-29,,収束したレーザーが乳首の中心に直撃し、帯電した針金を突っ込まれたかのようなチリチリとした刺激が走る,"The converging lasers hit the center of the nipple, causing a tingling sensation as if an electrified wire had been poked into the nipple.",聚焦的雷射直擊乳頭中心，像是被帶電的金屬線插入一般不斷傳來刺痛。,聚焦的雷射直击乳头中心，像是被带电的金属线插入一般不断传来刺痛。,収束したレーザーが乳首の中心に直撃し、帯電した針金を突っ込まれたかのようなチリチリとした刺激が走る,聚焦的雷射直擊乳頭中心，像是被帶電的金屬線插入一般不斷傳來刺痛。,聚焦的雷射直击乳头中心，像是被带电的金属线插入一般不断传来刺痛。,"The focused laser struck directly at the center of her nipple, sending tingling stimulation like electrified wire being inserted.","수속된 레이저가 유두 중심에 직격하고, 대전된 철사를 찔린 듯한 찌릿찌릿한 자극이 흐른다"
,,,,,,,,,,
Akiho.Fallen1-30,明穂,「ゴボッ！？、もがっ、ん゛っ♥♥、ん゛っ！？ゴボボッ！」,「Gblgh!? Mmph— Nngh♥♥ Nngh!? Gblblgh!」,「咕嚕！？唔噶——嗯呃♥♥嗯呃！？咕嚕咕嚕！」,「咕咚！？唔噶——嗯呃♥♥嗯呃！？咕咚咕咚！」,「ゴボッ！？、もがっ、ん゛っ♥♥、ん゛っ！？ゴボボッ！」,「咕嚕！？唔噶——嗯呃♥♥嗯呃！？咕嚕咕嚕！」,「咕咚！？唔噶——嗯呃♥♥嗯呃！？咕咚咕咚！」,"""Gah! Mnnn... Nnn♥ Guhh!""","「꿀꺽!?, 으읍, 으음옷 ♥♥, 으음옷 !? 꿀꺽꿀꺽!」"
,,,,,,,,,,
Akiho.Fallen1-31,戦闘員,「おお、ちゃんと効いてるみたいだな。」,"「Oh, it looks like it's working.」",「哦？看起來效果還不錯。」,「哦？看起来效果还不错。」,「おお、ちゃんと効いてるみたいだな。」,「哦？看起來效果還不錯。」,「哦？看起来效果还不错。」,"""Oh, it seems to be working as intended.""","「오오, 제대로 효과가 있는 것 같군.」"
,,,,,,,,,,
Akiho.Fallen1-32,明穂,「ゴボッ！♥ゴボボッ！？ん゛っ、ん゛うっ！♥(おっぱいがっ熱いっ、無理っ、止めてっ！)」,"「Gblgh!? Mmph— (My tits are so hot, please stop!)」",「咕嚕！♥咕咕咕！？嗯嗯、嗯嗯！♥（胸部好燙、我不行了、快停下！）」,「咕噜！♥咕咕咕！？嗯嗯、嗯嗯！♥（胸部好烫、我不行了、快停下！）」,「ゴボッ！♥ゴボボッ！？ん゛っ、ん゛うっ！♥(おっぱいがっ熱いっ、無理っ、止めてっ！)」,「咕嚕！♥咕咕咕！？嗯嗯、嗯嗯！♥（胸部好燙、我不行了、快停下！）」,「咕噜！♥咕咕咕！？嗯嗯、嗯嗯！♥（胸部好烫、我不行了、快停下！）」,"""Guhhhh! Guhhnn... Nnnn... Nnnn♥ (My breasts are getting hot... Please... Stop!)""","「꿀꺽!♥꿀꺽꿀꺽!? 으음옷 , 으읏!♥(가슴이 뜨거워, 무리, 멈춰!)」"
,,,,,,,,,,
Akiho.Fallen1-33,,体の奥深くまでレーザーが侵入し、明穂の聖核が歪なものに書き換えられていく,The laser penetrates deep into the body and rewrites Akiho's Seikaku into something distorted.,雷射深入體內，逐漸侵入明穗的聖核將其存在扭曲掉。,雷射深入体内，逐渐侵入明穗的圣核将其存在扭曲掉。,体の奥深くまでレーザーが侵入し、明穂の聖核が歪なものに書き換えられていく,雷射深入體內，逐漸侵入明穗的聖核想將其存在扭曲掉。,雷射深入体内，逐渐侵入明穗的圣核将其存在扭曲掉。,"The laser went deep into her body, rewriting Akiho's Holy Core into something distorted.","몸속 깊이까지 레이저가 침입하여, 아키호의 성핵이 기형적인 것으로 다시 쓰여 간다"
,,,,,,,,,,
Akiho.Fallen1-34,明穂,「ん゛ん゛っ♥、ゴボッ！、ん゛ん゛うっ！」,「Gblgh!? Mmph— Nngh! Gblblgh!」,「嗯呃♥ 咕嚕！嗯嗯唔！」,「嗯呃♥ 咕噜！嗯嗯唔！」,「ん゛ん゛っ♥、ゴボッ！、ん゛ん゛うっ！」,「嗯呃♥，咕嚕！嗯嗯唔！」,「嗯呃♥，咕噜！嗯嗯唔！」,"""Nnh♥... Agh! Nnh!""","「으음옷 으음옷 ♥, 꿀꺽!, 으음옷 으음옷 읏!」"
,,,,,,,,,,
Akiho.Fallen1-35,,刺激を逃がそうと上半身を動かすが、乳首にロックオンされたレーザーは正確に明穂の胸の中心を照射し続ける,"She tried to move her upper body to escape the stimulation, but the laser locked onto her nipple continued to precisely target the center of Akari's tits.",雖然明穗試圖擺脫刺激而不斷擺動上半身，但鎖定住乳頭的雷射精準地持續照射明穗胸部中心。,虽然明穗试图摆脱刺激而不断摆动上半身，但锁定住乳头的雷射精准地持续照射明穗胸部中心。,刺激を逃がそうと上半身を動かすが、乳首にロックオンされたレーザーは正確に明穂の胸の中心を照射し続ける,雖然明穗試圖擺脫刺激而不斷擺動上半身，但鎖定住乳頭的雷射精準地持續照射明穗胸部中心。,虽然明穂试图摆脱刺激而不断摆动上半身，但锁定住乳头的雷射精准地持续照射明穗胸部中心。,"She tried to move her upper body to escape the stimulation, but the laser locked onto her nipples continues to accurately irradiate the center of Akiho's chest.","자극을 피하려 상반신을 움직이지만, 유두에 록온된 레이저는 정확하게 아키호 가슴 중심을 계속 조사한다"
,,,,,,,,,,
Akiho.Fallen1-36,明穂,「フシュー、♥フシューッ♥、ん゛ん゛っ♥♥、ん゛うっ♥」,「Fsshh♥ Fsshhh♥ Nnngh♥♥ Nngu♥」,「呼噓♥ 呼噓♥ 嗯呃♥♥ 嗯唔♥」,「呼噓♥ 呼噓♥ 嗯呃♥♥ 嗯唔♥」,「フシュー、♥フシューッ♥、ん゛ん゛っ♥♥、ん゛うっ♥」,「呼噓♥、呼噓♥、嗯呃♥♥、嗯唔♥」,「呼嘘♥、呼嘘♥、嗯呃♥♥、嗯唔♥」,"""Hsssh♥... Hsss♥ Nnnnh♥♥ Nhu...♥""","「푸슈-, ♥푸슈-♥, 으음옷 으음옷 ♥♥, 으음옷 읏♥」"
,,,,,,,,,,
Akiho.Fallen1-37,戦闘員,「後はこれを一日10時間放射し続ける…と。じゃあ明日の朝までこのまま放置すればいいのか」,"「Now, just keep radiating this for 10 hours a day... Alright, the instruction says we need to leave it like this until tomorrow morning.」",「接下來只要持續輻射這個東西十個小時就好了...。那麼就這樣放置到明天早上吧。」,「接下来只要持续辐射这个东西十个小时就好了...。那么就这样放置到明天早上吧。」,「後はこれを一日10時間放射し続ける…と。じゃあ明日の朝までこのまま放置すればいいのか」,「接下來只要持續輻射這個東西十個小時就好了...。那麼就這樣放置到明天早上吧。」,「接下来只要持续辐射这个东西十个小时就好了...。那么就这样放置到明天早上吧。」,"""After this, we irradiate for ten hours a day continuously... So we just need to leave her like this until tomorrow morning.""",「다음은 이걸 하루 10시간 계속 조사… 라고. 그럼 내일 아침까지 이대로 방치하면 되는 건가」
,,,,,,,,,,
