Key,Comment,Japanese,Japanese_Steam,Traditional Chinese_Steam,English,Korean_Steam,English_Steam,Simplified Chinese_Steam
Dialog.Chapter5-1-7,那由多,「エレナが？？まったく…あの女はいったい何をしてるんですか…帰ったらお説教ですね」,「エレナが？？まったく…あの女はいったい何をしてるんですか…帰ったらお説教ですね」,「艾蓮娜會被抓？？真是的……那個女人到底在搞什麼……回來之後非得好好訓她一頓不可。」,"""Erena? What the hell is that woman doing... A harsh lecture will be waiting for her when she return.""",「엘레나가?? 정말… 그 여자는 대체 뭘 하고 있는 겁니까… 돌아가면 설교네요」,"""Elena? Ugh, what was she thinking? I'll have to talk to her when we get back.""",「艾莲娜会被抓？？真是的……那个女人到底在搞什么……回来之后非得好好训她一顿不可。」
,,,,,,,,
Dialog.Chapter5-1-8,京,「あ、そうだ。ここにあったデータは君が研究したやつかな？結構非倫理的な研究もあったけど」,「あ、そうだ。ここにあったデータは君が研究したやつかな？結構非倫理的な研究もあったけど」,「啊，對了。這裡的資料是你研究的東西嗎？裡面有好幾項都相當不合倫理呢。」,"""Oh, yes. Is that the data you found here, the ones you studied? Some of the studies were pretty unethical.""","「아, 맞다. 여기에 있던 데이터는 네가 연구한 건가? 꽤 비윤리적인 연구도 있었지만」","""By the way, does the research data here belong to you? There's some real unethical stuff going on...""",「啊，对了。这里的资料是你研究的东西吗？里面有好几项都相当不合伦理呢。」
,,,,,,,,
Dialog.Chapter5-1-9,那由多,「……そういえば誘拐した生徒達はどういう扱いをされているのでしょうか？返答によっては――――」,「……そういえば誘拐した聖核戦姫達はどういう扱いをされているのでしょうか？返答によっては――――」,「……說到這個，被你們綁走的那些聖核戰姫們現在是什麼狀況？你們怎麼對待她們的？根據你的回答――――」,"""I was wondering...... come to think of it, how are the students you abducted being treated? Depending on the response, ――――""",「……그러고 보니 유괴한 성핵전희들은 어떻게 취급되고 있는 겁니까? 대답에 따라서는――――」,"""Oh, and what happened to the Holy Core Battlemaidens you captured? Depending on your answer...""",「……说到这个，被你们绑走的那些圣核战姫们现在是什么状况？你们怎么对待她们的？根据你的回答――――」
,,,,,,,,
Dialog.Chapter5-1-10,戦闘員(通信),「―――緊急で連絡します！」,「―――緊急で連絡します！」,「―――緊急聯絡！」,"""―――urgent call!""",「―――긴급히 연락합니다!」,"""We have an emergency!""",「―――紧急联络！」
,,,,,,,,
Dialog.Chapter5-1-10(1),SEL,…なんだ,…なんだ,……怎麼了？,...what,…뭐지,What is it?,……怎么了？
,背景(トンネル),,,,,,,
Dialog.Chapter5-1-11,戦闘員(通信),「現在、襲撃により隔壁が破損し厳重保管対象が脱走！既に我々のコントロール下から離れています！」,「現在、襲撃により隔壁が破損し厳重保管対象が脱走！既に我々のコントロール下から離れています！」,「因為這次襲擊，隔離壁受損，嚴密管控對象已經脫逃！目前完全脫離我們的掌控！」,"""The bulkhead has been breached by the attack and the object in our custody has escaped! It is already out of our control!""","「현재, 습격으로 인해 격벽이 파손되어 엄중 보관 대상이 탈주! 이미 저희의 통제 하에서 벗어났습니다!」","""The walls have been broken and the closely guarded subject has run away! We have lost control of them!""",「因为这次袭击，隔离壁受损，严密管控对象已经脱逃！目前完全脱离我们的掌控！」
,,,,,,,,
Dialog.Chapter5-1-12,触手モンスター(シルエット),ズルッ、ズルッ…,ズルッ、ズルッ…,（滋溜、滋溜……）,"Zulu, zulu...","스르륵, 스르륵…",Crackle...,（滋溜、滋溜……）
,,,,,,,,
Dialog.Chapter5-1-13,戦闘員(通信),「我々にはどうしようもありません！」,「我々にはどうしようもありません！」,「我們這邊已經無能為力了！」,"""There is nothing we can do about it!""",「저희로서는 어쩔 도리가 없습니다!」,"""There's nothing we can do!""",「我们这边已经无能为力了！」
Dialog.Chapter5-1-13-1,戦闘員(通信),「う、うわああああっ！」,「う、うわああああっ！」,「呃、嗚哇啊啊啊啊！」,"""Uh―oh!""","「으, 으아아아아악!」","""Aghhhh!""",「呃、呜哇啊啊啊啊！」
Dialog.Chapter5-1-13-2,アジト,……,……,……,......,……,...,……
Dialog.Chapter5-1-13(1),SEL,……今すぐここから離れた方がいい,……今すぐここから離れた方がいい,……我們得立刻離開這裡比較好。,...... better get away from here now!,……지금 당장 여기서 벗어나는 게 좋겠다,You should probably get out of here.,……我们得立刻离开这里比较好。
,,,,,,,,
Dialog.Chapter5-1-14,那由多,「…やれやれ、この期に及んでまだ何か企んでいるのですか？」,「…やれやれ、この期に及んでまだ何か企んでいるのですか？」,「……真是的，都到這種地步了你們還在打什麼主意嗎？」,"""...Good grief, are you still up to something at this stage of your life?""","「…이런이런, 이 지경에 이르러서도 아직 무언가 꾸미고 있는 겁니까?」","""Sigh, what are you trying to pull now?""",「……真是的，都到这种地步了你们还在打什么主意吗？」
,,,,,,,,
Dialog.Chapter5-1-15,京,「ちょっとまって……脱走？ここにそんな強いのいたっけ…？」,「ちょっとまって……脱走？ここにそんな強いのいたっけ…？」,「等一下……脫逃？這裡有關著那麼強的傢伙嗎……？」,"""'Wait a minute... ...... breakout? I don't remember there being anything that strong here...?""",「잠깐 기다려…… 탈주? 여기에 그렇게 강한 녀석이 있었나…?」,"""Wait, escaped? You have something that powerful here?""",「等一下……脱逃？这里有关着那么强的家伙吗……？」
,,,,,,,,
Dialog.Chapter5-1-16,,その瞬間、赤黒い無数の触手が瓦礫の中から物凄い速度で現れる,その瞬間、赤黒い無数の触手が瓦礫の中から物凄い速度で現れる,就在那一瞬間，無數赤黑色的觸手從瓦礫之中，以驚人的速度竄出。,"At that moment, countless reddish―black tentacles emerge from the rubble at a tremendous speed.","그 순간, 검붉은 무수한 촉수가 잔해 속에서 엄청난 속도로 나타난다","The next moment, countless reddish-black tentacles emerged from the rubbles at a blinding speed.",就在那一瞬间，无数赤黑色的触手从瓦砾之中，以惊人的速度窜出。
,,,,,,,,
Dialog.Chapter5-1-17,,ズルッ、ズルッ、ビシュッッ！！！,ズルッ、ズルッ、ビシュッッ！！！,滋溜、滋溜──啪、啪！！！,"Slurp, slurp, bish!","스르륵, 스르륵, 휘슉!!",Whip! Crackle!,滋溜、滋溜──啪、啪！！！
,,,,,,,,
Dialog.Chapter5-1-18,那由多,「！ッ、京！、離れてください！」,「！ッ、京！、離れてください！」,「！京！快退開！」,"""I'm going to go to the airport! Kei! Get away from me!""","「!윽, 케이!, 떨어지십시오!」","""Kei, get away from me!""",「！京！快退开！」
,,,,,,,,
Dialog.Chapter5-1-19,,キシャアアアアアッッ！！！,キシャアアアアアッッ！！！,「嘶呀啊啊啊啊啊啊！！！」,Kishaaaaaaaaaaaaaaaa!!!,키샤아아아아아악!!,Whoosh!,「嘶呀啊啊啊啊啊啊！！！」
,,,,,,,,
Dialog.Chapter5-1-20,那由多,「！、速いっ？！」,「！、速いっ？！」,「！好快？！」,"""...fast? How fast?""","「!, 빨라!?」","""That's so fast!""",「！好快？！」
,,,,,,,,
Dialog.Chapter5-1-21,,那由多は向かってきた触手のほとんどを切り落とすが、足に一本の触手を巻きつかれてしまう,那由多は向かってきた触手のほとんどを切り落とすが、足に一本の触手を巻きつかれてしまう,那由多雖然將迎面襲來的大多數觸手全數斬斷，但還是有一條觸手纏上了她的腿。,"Nayuta cuts off most of the tentacles that come toward her, but she gets one tentacle wrapped around her leg.","나유타는 달려드는 촉수의 대부분을 베어냈지만, 다리에 한 줄기의 촉수가 휘감긴다","Nayuta managed to cut down most of the tentacles attacking her, but one caught her leg.",那由多虽然将迎面袭来的大多数触手全数斩断，但还是有一条触手缠上了她的腿。
,,,,,,,,
Dialog.Chapter5-1-22,那由多,「っ！、何故財団がこれほど強力な怪人を…いや、もはや怪獣ですか？これを地上に出したらどれだけの被害がっ！」,「っ！、何故財団がこれほど強力な怪人を…いや、もはや怪獣ですか？これを地上に出したらどれだけの被害がっ！」,「呃！財團怎麼會有這種等級的怪人……不，這已經該叫怪獸了吧？要是讓這東西跑到地面上，不知道會造成多大的災害！」,"""I'm not sure why the Foundation would want to create such a powerful monster..! Why did the Foundation create such a powerful monster...or is it a monster now? What kind of damage could it do if it were to be released onto the ground?""","「윽!, 어째서 재단이 이렇게 강력한 괴인을… 아니, 이젠 괴수입니까? 이걸 지상으로 내보내면 얼마나 큰 피해가!」","""Why does the Foundation have so many powerful monsters... monstrosities? Don't they know the damage these things can do to the surface?""",「呃！财团怎么会有这种等级的怪人……不，这已经该叫怪兽了吧？要是让这东西跑到地面上，不知道会造成多大的灾害！」
,,,,,,,,
Dialog.Chapter5-1-23,京,「触手型怪人のハイエンド個体…！知能は高くないが聖核エネルギーに反応する…」,「触手型怪人のハイエンド個体…！知能は高くないが聖核エネルギーに反応する…」,「觸手型怪人的高階個體……！雖然智力不高，卻會對聖核能量產生反應……」,"""A high―end individual of a tentacle―type monster...! It is not highly intelligent, but it reacts to the Seikaku energy...""",「촉수형 괴인의 하이엔드 개체…! 지능은 높지 않지만 성핵 에너지에 반응해…」,"""An advanced version of the Tentacle Man! Not very intelligent, but reacts to Holy Core energy...""",「触手型怪人的高阶个体……！虽然智力不高，却会对圣核能量产生反应……」
,,,,,,,,
Dialog.Chapter5-1-24,京,「気を付けて会長！多分コイツの狙いは―――」,「気を付けて総司令！多分コイツの狙いは―――」,「總司令小心！這傢伙多半是以妳為―――」,"""Be careful, Mr. Chairman! Maybe he's trying to...""",「조심해 총사령관! 아마 이 녀석의 노림수는――――」,"""Be careful, Commander! I think they're after...""",「总司令小心！这家伙多半是以你为―――」
,,,,,,,,
Dialog.Chapter5-1-24-2,京,「―――うぐっ！？」,「―――うぐっ！？」,「―――呃！？」,"""Ugh!""",「―――윽!?」,"""Ugh!""",「―――呃！？」
,,,,,,,,
Dialog.Chapter5-1-25,005号,「はあ、はあ、…貴女には私達と一緒に来てもらいます！一番危険なのはやはり貴女ですからっ！」,「はあ、はあ、…貴女には私達と一緒に来てもらいます！一番危険なのはやはり貴女ですからっ！」,「哈啊、哈啊……妳得跟我們一起走！仔細想最危險的果然還是妳啊！」,"""We'll have you come with us! You are the one in the most danger!""","「하아, 하아, …당신에게는 저희와 함께 가주셔야겠습니다! 가장 위험한 것은 역시 당신이니까요!」","""Huff, puff... You're coming with us! After all, you're the most dangerous one!""",「哈啊、哈啊……你得跟我们一起走！仔细想最危险的果然还是你啊！」
,,,,,,,,
Dialog.Chapter5-1-26,京,「うぁ、しまっ…た…」,「うぁ、しまっ…た…」,「啊……糟糕……」,"""Oh, shit...""","「으아, 이럴…수가…」","""Oo... ps...""",「啊……糟糕……」
,,,,,,,,
Dialog.Chapter5-1-27,005号,「八雲那由多が気を取られているうちに本部を移動させます！」,「八雲那由多が気を取られているうちに本部を移動させます！」,「趁八雲那由多分心的這段時間，立刻將她轉移到本部！」,"""We'll move headquarters while Yakumo Nayuta is distracted!""",「야쿠모 나유타가 정신 팔린 사이에 본부를 이동시키겠습니다!」,"""We will move the Central Command while Nayuta Yagumo is distracted!""",「趁八云那由多分心的这段时间，立刻将她转移到本部！」
,,,,,,,,
Dialog.Chapter5-1-27(1),SEL,わかった。直ちに移動させよう,わかった。直ちに移動させよう,知道了。馬上進行轉移。,"All right, I'm on it. Let's move it immediately.",알겠다. 즉시 이동시키자,"Got it, move out now.",知道了。马上进行转移。
,地下通路,,,,,,,
Dialog.Chapter5-1-28,那由多,「あっ、逃げるつもりですかっ！？…！くっ、しかしこの怪物をこのままにしておくわけにはっ」,「あっ、逃げるつもりですかっ！？…！くっ、しかしこの怪物をこのままにしておくわけにはっ」,「啊，你們打算逃走嗎！？……！可惡，但是也不能就這樣把這隻怪物丟在這裡不管……！」,"""Are you trying to escape? Oh, are you trying to escape? But I can't leave this monster like this.""","「앗, 도망칠 셈입니까!?…! 큭, 하지만 이 괴물을 이대로 둘 수는!」","""Are you running away? Ugh, but I can't very well leave this monster behind...""",「啊，你们打算逃走吗！？……！可恶，但是也不能就这样把这只怪物丢在这里不管……！」
,,,,,,,,
Dialog.Chapter5-1-29,,「待っていてください京！、今すぐ助けに行きますから！」,「待っていてください京！、今すぐ助けに行きますから！」,「請等我一下，京！我馬上就去救妳！」,"""Please wait for me, Kei! I'm coming to save you right now!""","「기다리십시오 케이!, 지금 바로 구하러 가겠습니다!」","""Just wait, Kei! I'll save you now!""",「请等我一下，京！我马上就去救你！」
,,,,,,,,
Dialog.Chapter5-1-30,,「―――ッ！触手がもう再生した？！」,「―――ッ！触手がもう再生した？！」,「――什麼！觸手竟然已經重新長出來了？！」,"""――――! Tentacles already regenerated?""",「―――윽! 촉수가 벌써 재생했어?!」,"""...The tentacles have respawned?""",「――什么！触手竟然已经重新长出来了？！」
,,,,,,,,
Dialog.Chapter5-1-31,Nayuta1ｰ1,「しまった、刀がっ！」,「しまった、刀がっ！」,「糟了，我的刀被……！」,"""Oh, no, the sword!""","「이런, 칼이!」","""No, my blade!""",「糟了，我的刀被……！」
,,,,,,,,
Dialog.Chapter5-1-32,,那由多の体に触手が巻きつき、動きが封じられてしまう,那由多の体に触手が巻きつき、動きが封じられてしまう,觸手纏上那由多的身體，把她整個人死死束縛住。,"Tentacles wrap around Nayuta's body, blocking her movement.","나유타의 몸에 촉수가 휘감겨, 움직임이 봉쇄되고 만다","The tentacles wrapped themselves around Nayuta, immobilizing her.",触手缠上那由多的身体，把她整个人死死束缚住。
,,,,,,,,
Dialog.Chapter5-1-33,,キシャアアアアアッッ！！！,キシャアアアアアッッ！！！,「嘶呀啊啊啊啊啊！！！」,Kishaaaaaaaaaaaaaaaa!!!,키샤아아아아아악!!,Shaaaaaa!,「嘶呀啊啊啊啊啊！！！」
,,,,,,,,
Dialog.Chapter5-1-34,,「ぐっ、こ、このっ、離しなさい！」,「ぐっ、こ、このっ、離しなさい！」,「呃！你、你這傢伙……給我放開！」,"""Get off of me!""","「크윽, 이, 이놈, 놓으십시오!」","""Ugh, get... get away from me!""",「呃！你、你这家伙……给我放开！」
,,,,,,,,
Dialog.Chapter5-1-35,,「なんて力…っ、この私が振りほどけないなんてっ…今までの触手とは比べ物にならないっ！」,「なんて力…っ、この私が振りほどけないなんてっ…今までの触手とは比べ物にならないっ！」,「這股力量……！連我都掙不開……完全不是之前那些觸手能比的！」,"""I can't shake it off... it's nothing compared to the tentacles I've seen before!""","「이 무슨 힘…윽, 이 내가 뿌리칠 수 없다니… 지금까지의 촉수와는 비교도 안 돼!」","""What strength... Even I can't shake it off... These are no ordinary tentacles!""",「这股力量……！连我都挣不开……完全不是之前那些触手能比的！」
,,,,,,,,
,,,,,,,,
,,,,,,,,
Dialog.Chapter5-1-36,,「ますますこんなものを野放しにはしておけませんね…なんとかここで倒さなければっ」,「ますますこんなものを野放しにはしておけませんね…なんとかここで倒さなければっ」,「這種東西更不能放任它到處亂跑……無論如何都得在這裡把它打倒才行！」,"""We can't let this thing get away with it...we've got to get it down here somehow.""",「더욱더 이런 것을 방치할 수는 없군요… 어떻게든 여기서 쓰러뜨려야」,"""Surely I can't leave this behind... I have to get rid of it here and now...""",「这种东西更不能放任它到处乱跑……无论如何都得在这里把它打倒才行！」
,,,,,,,,
Dialog.Chapter5-1-37,,「しかしっ…、このままでは京どころか私も危険ですっ、何とか突破口を…」,「しかしっ…、このままでは京どころか私も危険ですっ、何とか突破口を…」,「可是這樣下去，不只是京，連我自己都很危險了，得想辦法找到突破口……」,"""But...if things continue as they are, not only Kei but myself will be in danger...I have to make a breakthrough somehow...""","「하지만… 이대로라면 케이는커녕 저도 위험합니다, 어떻게든 돌파구를…」","""But Kei and I are both in danger... What can we do here?""",「可是这样下去，不只是京，连我自己都很危险了，得想办法找到突破口……」
,,,,,,,,
Dialog.Chapter5-1-38,,ギチッ、ミチミチミチッ！,ギチッ、ミチミチミチッ！,咯吱、咯啦咯啦！,"Gitch, michi michi michi!","기칫, 미치미치미칫!",Geeeeee!,咯吱、咯啦咯啦！
,,,,,,,,
Dialog.Chapter5-1-39,,「ぐうっ、ドロドロした粘液が滑ってっ、抜け出せませんっ！」,「ぐうっ、ドロドロした粘液が滑ってっ、抜け出せませんっ！」,「呃……這黏稠的液體太滑了，根本沒辦法掙脫！」,"""Ugh, I can't get out, the sloppy mucus is sliding all over me!""","「크윽, 질척한 점액이 미끄러워서, 빠져나갈 수가 없습니다!」","""Ugh, I can't get out of this slippery slime!""",「呃……这黏稠的液体太滑了，根本没办法挣脱！」
,,,,,,,,
Dialog.Chapter5-1-40,,「この程度の触手など…せめて刀があればっ！」,「この程度の触手など…せめて刀があればっ！」,「區區這種程度的觸手……要是我的刀還在的話...」,"""I wish I had a sword at least!""",「이 정도 촉수 따위… 적어도 칼만 있었다면!」,"""They're just tentacles... If only I had my blade...""",「区区这种程度的触手……要是我的刀还在的话...」
,,,,,,,,
Dialog.Chapter5-1-41,,その時、怪物の口のような部分が開き、那由多の頭上に迫る,その時、怪物の口のような部分が開き、那由多の頭上に迫る,就在那時，怪物彷彿嘴巴般的部位張開，朝那由多的頭頂逼近。,"At that moment, the mouth―like part of the monster opens and looms over Nayuta's head.","그때, 괴물의 입 같은 부분이 열리며, 나유타의 머리 위로 다가온다",The mouth of the monster opened and hovered above Nayuta.,就在那时，怪物仿佛嘴巴般的部位张开，朝那由多的头顶逼近。
,,,,,,,,
Dialog.Chapter5-1-42,Nayuta1-2,グパッ、ブジュルルルルルッ！！,グパッ、ブジュルルルルルッ！！,啪嗒——黏答答的聲音接連響起。,"Gup, buuuurrrrrrrrrrrrrrrrrrrrrrrrrr!","크팟, 부쥬르르르르릇!!",Kwaaaaa! Pssssshhhh!,啪嗒——黏答答的声音接连响起。
,,,,,,,,
Dialog.Chapter5-1-43,,「何ですかっ！？、この化け物っ、口を開いてっ！？」,「何ですかっ！？、この化け物っ、口を開いてっ！？」,「這是什麼！？這怪物、把嘴張開了！？」,"""What is it? You monster, open your mouth!""","「무엇입니까!?, 이 괴물, 입을 벌리고!?」","""What is this? It opened its mouth?!""",「这是什么！？这怪物、把嘴张开了！？」
,,,,,,,,
Dialog.Chapter5-1-44,,グパッ、ジュルッ、ジュルルルッ,グパッ、ジュルッ、ジュルルルッ,嘎啵、啾嚕、啾嚕嚕——,"Gup, julp, julp, julp.","크팟, 쥬릇, 쥬르르르릇",Kwaaaa! Pshhh... Pshhh...,嘎啵、啾噜、啾噜噜——
,,,,,,,,
Dialog.Chapter5-1-45,,「この化け物、まさか…私を捕食しようとしている…！？」,「この化け物、まさか…私を捕食しようとしている…！？」,「這傢伙難道是……想把我吃掉嗎！？」,"""This monster, don't tell me... it's trying to prey on me...!""","「이 괴물, 설마… 저를 포식하려는…!?」","""Is this monster going to eat me?!""",「这家伙难道是……想把我吃掉吗！？」
,,,,,,,,
Dialog.Chapter5-1-46,,「まずいですね…今すぐにでも脱出しなければっ！」,「まずいですね…今すぐにでも脱出しなければっ！」,「糟糕了……得立刻想辦法脫身才行！」,"""This is bad...we have to get out now!""",「위험하군요… 지금 당장이라도 탈출해야!」,"""This is bad, we have to get out of here!""",「糟糕了……得立刻想办法脱身才行！」
,,,,,,,,
Dialog.Chapter5-1-47,,「――――仕方ありません、しばらくパワーが落ちるので使いたくは無いのですがっ！」,「――――仕方ありません、しばらくパワーが落ちるので使いたくは無いのですがっ！」,「――――沒辦法了，雖然不想用，因為之後力量會暫時下降……！」,"""―――― can't help it, I don't want to use it because the power will be down for a while!""","「――――어쩔 수 없습니다, 잠시 힘이 떨어지니 사용하고 싶지는 않았습니다만!」","""...This leave me with no choice. I'm going to be weakened for a bit and that's why I didn't want to use it, but...""",「――――没办法了，虽然不想用，因为之后力量会暂时下降……！」
,,,,,,,,
Dialog.Chapter5-1-48,Nayuta1-3,那由多の体から紫色のオーラが沸き上がる,那由多の体から紫色のオーラが沸き上がる,那由多的身上湧出紫色的光芒。,A purple aura rises from Nayuta's body.,나유타의 몸에서 보라색 오라가 뿜어져 나온다,Nayuta glowed purple.,那由多的身上涌出紫色的光芒。
,,,,,,,,
Dialog.Chapter5-1-49,,「聖核エネルギー開放ッ、高出力状態―――――――雷神之相！」,「聖核エネルギー開放ッ、高出力状態―――――――雷神之相！」,「聖核能量解放，高輸出狀態――――――雷神之相！」,"""Seikaku energy release, high―power state――――――― thunder god no phase!""","「성핵 에너지 개방, 고출력 상태―――――――뇌신지상!」","""Holy Core energy release! High power mode! Thunderous Avatar!""",「圣核能量解放，高输出状态――――――雷神之相！」
,,,,,,,,
Dialog.Chapter5-1-50,,「汚らわしい化け物がっ！私から離れなさいっ、ハアッッ！！」,「汚らわしい化け物がっ！私から離れなさいっ、ハアッッ！！」,「骯髒的怪物！給我從我身上滾開，哈啊啊！！」,"""You filthy monster! Get away from me, you filthy monster!""","「더러운 괴물이! 저에게서 떨어지십시오, 하아앗!!」","""Get away from me, you filthy monster!""",「肮脏的怪物！给我从我身上滚开，哈啊啊！！」
,,,,,,,,
Dialog.Chapter5-1-51,,那由多は首に纏わりついていた触手を引きちぎり、拘束をほどく,那由多は首に纏わりついていた触手を引きちぎり、拘束をほどく,那由多將纏在自己脖子上的觸手整條扯斷，掙脫了束縛。,Nayuta rips off the tentacles around her neck and unties the restraints.,"나유타는 목에 휘감겨 있던 촉수를 잡아 뜯어내고, 구속을 푼다",Nayuta pulled the tentacles away from her neck and broke free.,那由多将缠在自己脖子上的触手整条扯断，挣脱了束缚。
,地下通路,,,,,,,
Dialog.Chapter5-1-52,,キシャアアアアアッッ！,キシャアアアアアッッ！,嘶呀啊啊啊啊啊！！,Kishaaaaaaaahhhh!,키샤아아아아아악!,Ksssshaaaaaaaaaaaa!,嘶呀啊啊啊啊啊！！
,,,,,,,,
Dialog.Chapter5-1-53,,「――――刀さえ手に入れればこちらのものです。さて、早急にこの怪物を倒してしまいましょう」,「――――刀さえ手に入れればこちらのものです。さて、早急にこの怪物を倒してしまいましょう」,「――――只要把刀拿回來，勝負就已經決定了。那麼，剩下的就是這頭怪物解決掉而已了。」,"""―――― If we can just get our hands on a sword, it's ours. Now, let's defeat this monster ASAP.""","「――――칼만 손에 넣으면 이쪽의 승리입니다. 자, 조속히 이 괴물을 쓰러뜨리도록 하죠」","""...As long as I have a blade, you are nothing to me. Let's kill this one now!""",「――――只要把刀拿回来，胜负就已经决定了。那么，剩下的就是这头怪物解决掉而已了。」
,暗転,,,,,,,
Dialog.Chapter5-1-54,,………キンッ,………キンッ,………鏘——,.........kink,………팅,Clink...,………锵——
,,,,,,,,
Dialog.Chapter5-1-55,那由多,「ふう、これだけの肉片に切り刻んでおけば再生する心配もないでしょう」,「ふう、これだけの肉片に切り刻んでおけば再生する心配もないでしょう」,「呼，碎成這種程度的話應該就不用擔心還會再生了吧。」,"""'Wind, if you chop it up into this many pieces, you won't have to worry about it regenerating.'""","「후우, 이만큼의 살점 조각으로 잘게 썰어두면 재생할 걱정도 없겠죠」","""I don't think we have to worry about respawning if it's cut up like this.""",「呼，碎成这种程度的话应该就不用担心还会再生了吧。」
,,,,,,,,
Dialog.Chapter5-1-56,,「……ぐっ、少し体力を消耗し過ぎました。悔しいですが京を追って深追いするのは危険ですね」,「……ぐっ、少し体力を消耗し過ぎました。悔しいですが京を追って深追いするのは危険ですね」,「……唔，體力消耗得有點過頭了。如果繼續追擊京實在太危險。」,"""......Gosh, I've exhausted my energy a little too much. It's frustrating, but it's dangerous to go after Kei too deep.""","「……크윽, 조금 체력을 너무 소모했습니다. 분하지만 케이를 쫓아 깊이 추격하는 것은 위험하군요」","""...I used up too much of my stamina. This is not ideal, but it's dangerous to keep going to find Kei.""",「……唔，体力消耗得有点过头了。如果继续追击京实在太危险。」
,,,,,,,,
Dialog.Chapter5-1-57,,「…私としたことが失態です、しかしアジトの大まかな位置はわかりました」,「…私としたことが失態です、しかしアジトの大まかな位置はわかりました」,「……真不像我竟然會犯這種錯誤，不過地下據點的大致位置我已經掌握好了。」,"""I'm afraid I've made a mistake, but I have a rough idea of the location of the hideout.""","「…저답지 않게 실수를 했군요, 하지만 아지트의 대략적인 위치는 알았습니다」","""...This is my fault, but now we know where roughly the hideout is.""",「……真不像我竟然会犯这种错误，不过地下据点的大致位置我已经掌握好了。」
,,,,,,,,
Dialog.Chapter5-1-58,,「もうほとんど戦力は残っていないでしょうし…近く、司令部の精鋭聖核戦姫で再びここを制圧します」,「もうほとんど戦力は残っていないでしょうし…近く、司令部の精鋭聖核戦姫で再びここを制圧します」,「對方應該也幾乎沒有戰力剩下了……不久之後，就由司令部的精銳聖核戰姫再來將這裡徹底收復。」,"""There will be very little strength left...and in the near future, the elite of the Seigetsu Student Council will take control of this place again.""","「이제 거의 전력은 남아 있지 않겠죠… 조만간, 사령부의 정예 성핵전희로 다시 이곳을 제압하겠습니다」","""We don't have any troops left... We shall come back with the elite Holy Core Battlemaidens soon.""",「对方应该也几乎没有战力剩下了……不久之后，就由司令部的精锐圣核战姫再来将这里彻底收复。」
,,,,,,,,
,,,,,,,,
,,,,,,,,
Chapter 5-2,注釈,,,,,,,
,,,,,,,,
