Key,Comment,Japanese,Japanese_Steam,Traditional Chinese_Steam,English,Traditional Chinese,Simplified Chinese,English_Steam,Korean_Steam,Simplified Chinese_Steam
Daiya.Fallen1-8,,(手足も…全く感覚が無い……動かせない……っ…),(手足も…全く感覚が無い……動かせない……っ…),（手腳也…完全沒有感覺……無法動彈……）,,(手腳也…完全沒有感覺……動彈不得……嗚…),,(My limbs too... no sensation at all... can't move them... ngh...),(손발도… 전혀 감각이 없어…… 움직일 수 없어……윽…),（手脚也…完全没有感觉……无法动弹……）
,,,,,,,,,,
Daiya.Fallen1-9,,(それでもっ、私は…彼女がやり遂げるまで…屈するわけにはいかないっ……この程度の責め苦など…私は耐えきって見せるッ！),(それでもっ、私は…彼女がやり遂げるまで…屈するわけにはいかないっ……この程度の責め苦など…私は耐えきって見せるッ！),（儘管如此，我…在她完成任務之前…我絕對不能屈服……這種程度的折磨…我一定要忍耐到底！）,,(即使如此，我…不能屈服，直到她完成為止……這種程度的折磨…我會堅持到底的！),,"(Even so, I... until she accomplishes her goal... I cannot submit... This level of torment... I'll endure it all!)","(그래도, 나는… 그녀가 해낼 때까지… 굴복할 수는 없어…… 이 정도 고문 따위… 나는 견뎌내 보이겠다!)",（尽管如此，我…在她完成任务之前…我绝对不能屈服……这种程度的折磨…我一定要忍耐到底！）
,,,,,,,,,,
Daiya.Fallen1-10,那由多,「ふふっ、素敵な恰好ですねダイヤさん。指一本動かせない気分はどうですか？」,「ふふっ、素敵な恰好ですねダイヤさん。指一本動かせない気分はどうですか？」,「呵呵，這身打扮真不錯呢，黛雅小姐。連一根手指都動不了的感覺如何？」,,「呼呼，黛雅小姐，這身打扮真是迷人。無法動彈的感覺如何？」,,"""Fufu, what a lovely appearance, Daiya. How does it feel being unable to move even a single finger?""","「후훗, 멋진 모습이군요 다이아 씨. 손가락 하나 움직일 수 없는 기분은 어떻습니까?」",「呵呵，这身打扮真不错呢，黛雅小姐。连一根手指都动不了的感觉如何？」
,,,,,,,,,,
Daiya.Fallen1-11,ダイヤ,「はあっ、はあっ、悪に下った財団の犬が…私に話しかけるなっ…ッ！」,「はあっ、はあっ、悪に下った財団の犬が…私に話しかけるなっ…ッ！」,「哈、哈啊，投靠了邪惡的財團走狗…不准跟我說話…！」,,「呼呼，呼呼，墮落為邪惡的財團犬…不要對我說話…！」,,"""Haah, haah, you Foundation dog... don't speak to me...!""","「하앗, 하앗, 악에 떨어진 재단의 개가… 나에게 말 걸지 마…윽!」",「哈、哈啊，投靠了邪恶的财团走狗…不准跟我说话…！」
,,,,,,,,,,
Daiya.Fallen1-12,,「私はっ…四肢を奪われようとッ…貴様のような卑劣な輩には屈しない！」,「私はっ…四肢を奪われようとッ…貴様のような卑劣な輩には屈しない！」,「我…就算四肢被奪走…也不會向妳這種卑劣之徒屈服！」,,「我…即使失去四肢…也不會向像你這樣卑劣的傢伙屈服！」,,"""Even if... my limbs are taken... I won't submit to a despicable person like you!""",「나는… 사지를 빼앗기더라도… 네놈 같은 비열한 녀석에게는 굴복하지 않아!」,「我…就算四肢被夺走…也不会向你这种卑劣之徒屈服！」
,,,,,,,,,,
Daiya.Fallen1-13,那由多,「ふふふっ、この状況で強がれるのは流石ダイヤさんですねぇ？並の聖核戦姫なら泣き喚く所ですよ？」,「ふふふっ、この状況で強がれるのは流石ダイヤさんですねぇ？並の聖核戦姫なら泣き喚く所ですよ？」,「呵呵呵，都這種情況了還能逞強，真不愧是黛雅小姐呢？要是普通的聖核戰姫早就哭天喊地了喔？」,,「呼呼呼，即使在這種情況下也能逞強，不愧是黛雅小姐呢？一般的聖核戰姬可是會哭喊的吧？」,,"""Fufufu, being able to act tough in this situation is just like you, Daiya. An ordinary Holy Core Battlemaiden would be crying and screaming by now.""","「후후훗, 이 상황에서 강한 척할 수 있는 것은 역시 다이아 씨군요? 보통 성핵전희라면 울부짖을 겁니다?」",「呵呵呵，都这种情况了还能逞强，真不愧是黛雅小姐呢？要是普通的圣核战姫早就哭天喊地了喔？」
,,,,,,,,,,
Daiya.Fallen1-14,,「まあ、残念ながら貴女がこの状況を打開できる術は万に一つも無いのですが…」,「まあ、残念ながら貴女がこの状況を打開できる術は万に一つも無いのですが…」,「不過，可惜的是，妳能打破這個狀況的機率連萬分之一都沒有…」,,「哎呀，很遺憾，貴女在這種情況下沒有一絲希望可以突破…」,,"""Well, unfortunately there's not even a one-in-a-million chance that you can escape this situation...""","「뭐, 유감스럽게도 당신이 이 상황을 타개할 방법은 만에 하나도 없습니다만…」",「不过，可惜的是，你能打破这个状况的机率连万分之一都没有…」
,,,,,,,,,,
Daiya.Fallen1-15,ダイヤ,「例え私が今、何もできなくとも、それが諦める理由にはならないっ…私が貴様のように悪に堕ちることは無いっ…！」,「例え私が今、何もできなくとも、それが諦める理由にはならないっ…私が貴様のように悪に堕ちることは無いっ…！」,「就算我現在什麼都做不了，也不構成我放棄的理由…我才不會像妳一樣墮入邪惡…！」,,「即使我現在無法做任何事情，這並不是放棄的理由…我不會像你一樣墮落為邪惡的存在！」,,"""Even if I can't do anything now, that's not a reason to give up... I will never fall to evil like you...!""","「설령 내가 지금, 아무것도 할 수 없더라도, 그것이 포기할 이유는 되지 않아… 내가 네놈처럼 악에 떨어질 일은 없어…!」",「就算我现在什么都做不了，也不构成我放弃的理由…我才不会像你一样堕入邪恶…！」
,,,,,,,,,,
Daiya.Fallen1-16,,「いくら体と頭をもてあそばれようと…私は最後まで聖核戦姫だ…っ！」,「いくら体と頭をもてあそばれようと…私は最後まで聖核戦姫だ…っ！」,「無論身體和腦袋被怎麼玩弄…我到最後都是聖核戰姫…！」,,「無論身體和頭腦如何被玩弄…我都會堅持到底，作為聖核戰姬…！」,,"""No matter how much my body and mind are toyed with... I am a Holy Core Battlemaiden to the end...!""",「아무리 몸과 머리를 가지고 놀아도… 나는 마지막까지 성핵전희다…윽!」,「无论身体和脑袋被怎么玩弄…我到最后都是圣核战姫…！」
,,,,,,,,,,
Daiya.Fallen1-17,那由多,「その高潔な精神…素晴らしいです…！しかし貴女はちょっと勘違いしていますね。」,「その高潔な精神…素晴らしいです…！しかし貴女はちょっと勘違いしていますね。」,「那高潔的精神…真是太棒了…！不過妳有點誤會了呢。」,,「那份高尚的精神…太棒了…！但是您有些誤會了。」,,"""That noble spirit... wonderful...! However, you're misunderstanding something.""",「그 고결한 정신… 훌륭합니다…! 하지만 당신은 조금 착각하고 있군요.」,「那高洁的精神…真是太棒了…！不过你有点误会了呢。」
,,,,,,,,,,
Daiya.Fallen1-18,,「今更あなた程度の聖核戦姫を戦力にしたところで意味が無いですから。あなたはいわば…プレゼントですね。」,「今更あなた程度の聖核戦姫を戦力にしたところで意味が無いですから。あなたはいわば…プレゼントですね。」,「事到如今，把妳這種程度的聖核戰姫當作戰力也沒什麼意義。妳可以說…是個禮物呢。」,,「就算現在才把像您這樣程度的聖核戰姬納入戰力也毫無意義。您可以說是…一份禮物吧。」,,"""Creating a Holy Core Battlemaiden of your level into a fighting force now would be meaningless. You are, so to speak... a gift.""",「이제 와서 당신 정도의 성핵전희를 전력으로 삼아봤자 의미가 없으니까요. 당신은 말하자면… 선물입니다.」,「事到如今，把你这种程度的圣核战姫当作战力也没什么意义。你可以说…是个礼物呢。」
,,,,,,,,,,
Daiya.Fallen1-19,ダイヤ,「ぐっ…ぷ、プレゼントッ…？」,「ぐっ…ぷ、プレゼントッ…？」,「嗚…禮、禮物…？」,,「咕…禮、禮物嗎…？」,,"""Guh... G-gift...?!""","「크윽… 프, 프레젠트…?」",「呜…礼、礼物…？」
,,,,,,,,,,
Daiya.Fallen1-20,那由多,「貴女は私のご主人様への愛玩ペットとしてプレゼントになるんですよ…♥そうすれば私もご主人様に褒めてもらえます…♥」,「貴女は私のご主人様への愛玩ペットとしてプレゼントになるんですよ…♥そうすれば私もご主人様に褒めてもらえます…♥」,「妳將要作為獻給我的主人的愛玩寵物，當作禮物喔…♥這樣一來我也能被主人誇獎了…♥」,,「你將成為我主人的愛玩寵物作為禮物呈現給他…♥這樣我也會得到主人的讚美…♥」,,"""You'll become a pet gift for my Master...♥ That way I'll be praised by Master too...♥""",「당신은 나의 주인님께 애완 펫으로서 선물이 되는 거예요…♥ 그러면 나도 주인님께 칭찬받을 수 있습니다…♥」,「你将要作为献给我的主人的爱玩宠物，当作礼物喔…♥这样一来我也能被主人夸奖了…♥」
,,,,,,,,,,
Daiya.Fallen1-21,ダイヤ,「なっ…き、貴様何を言っている…！？」,「なっ…き、貴様何を言っている…！？」,「什…妳、妳在說什麼…！？」,,「咕…你、你在說什麼…！？」,,"""Wha... w-what are you saying...?!""","「뭣… 네, 네놈 무슨 말을 하는 거냐…!?」",「什…你、你在说什么…！？」
,,,,,,,,,,
Daiya.Fallen1-22,那由多,「ですから…貴女は高潔な精神のまま体をご主人様専用のオナホに改造されるんです♥」,「ですから…貴女は高潔な精神のまま体をご主人様専用のオナホに改造されるんです♥」,「所以說…妳將在保有高潔精神的狀態下，身體被改造成主人專用的自慰套♥」,,「所以…您將以高尚的精神被改造成專屬於主人的自慰器♥」,,"""Therefore... you'll be modified into Master's exclusive sex toy while keeping your noble spirit♥""",「그러니까… 당신은 고결한 정신인 채로 몸을 주인님 전용 오나홀로 개조당하는 겁니다♥」,「所以说…你将在保有高洁精神的状态下，身体被改造成主人专用的自慰套♥」
,,,,,,,,,,
Daiya.Fallen1-23,,「普通の聖核戦姫ではオナホになる前に壊れてしまうので…現状私しかあの方の相手が出来ないのです。」,「普通の聖核戦姫ではオナホになる前に壊れてしまうので…現状私しかあの方の相手が出来ないのです。」,「由於普通的聖核戰姫在成為自慰套前就會壞掉了…所以現在只有我能勝任那個大人的對手。」,,「一般的聖核戰姬在成為自慰器之前就會損壞…目前只有我才能成為那位的伴侶。」,,"""Ordinary Holy Core Battlemaidens would break before becoming sex toys... Currently only I can handle that person.""",「평범한 성핵전희로는 오나홀이 되기 전에 망가져버리므로… 현재 저밖에 그분의 상대를 할 수 없습니다.」,「由于普通的圣核战姫在成为自慰套前就会坏掉了…所以现在只有我能胜任那个大人的对手。」
,,,,,,,,,,
Daiya.Fallen1-24,,「でもそれではご主人様が可哀そうですから…無駄に硬いあなたならご主人様のおちんぽにも耐えられるかもしれません。」,「でもそれではご主人様が可哀そうですから…無駄に硬いあなたならご主人様のおちんぽにも耐えられるかもしれません。」,「可是那樣主人太可憐了…像妳這樣異常堅固的個體，或許有機會能承受主人的雞巴喔。」,,「但是這樣對主人可能會很可憐…如果是你這麼堅硬的話，或許可以承受主人的陽具。」,,"""But that would be pitiful for Master... Your uselessly tough body might be able to endure Master's cock.""",「하지만 그러면 주인님이 불쌍하니까… 쓸데없이 단단한 당신이라면 주인님의 자지에도 견딜 수 있을지도 모릅니다.」,「可是那样主人太可怜了…像你这样异常坚固的个体，或许有机会能承受主人的鸡巴喔。」
,,,,,,,,,,
Daiya.Fallen1-25,ダイヤ,「ふざっ…けるなぁ！！怪人なんぞの慰み者になってたまるかっ！！？」,「ふざっ…けるなぁ！！怪人なんぞの慰み者になってたまるかっ！！？」,「開…什麼玩笑！！我怎能淪為區區怪人的玩物！！？」,,「咕…這樣的事情！！成為怪人之類的安慰對象絕對不行！！？」,,"""N-nonsense!! As if I'd become entertainment for some fiend!!""",「웃기지… 마라!! 괴인 따위의 노리개가 될까 보냐!!?」,「开…什么玩笑！！我怎能沦为区区怪人的玩物！！？」
,,,,,,,,,,
Daiya.Fallen1-26,那由多,「ご主人様に向かって“怪人なんぞ”…とは。改造中でなければ首を撥ねる所でしたよ？」,「ご主人様に向かって『怪人なんぞ』…とは。改造中でなければ首を撥ねる所でしたよ？」,「竟敢對主人說出「區區怪人」…要不是妳正在改造中，我早就砍了妳的頭了喔？」,,「對主人說出『怪人之類的』…如果不是在改造中，早就被斬首了吧？」,,"""Calling Master 'some fiend'... If you weren't being modified, I would have taken your head.""",「주인님을 향해 “괴인 따위”…라니. 개조 중이 아니었다면 목을 베었을 겁니다?」,「竟敢对主人说出「区区怪人」…要不是你正在改造中，我早就砍了你的头了喔？」
,Daiya story DLC 1-3,,,,,,,,,
Daiya.Fallen1-27,ダイヤ,「…ッ！そうなるくらいなら舌を噛み切って――――ングッ？！」,「…ッ！そうなるくらいなら舌を噛み切って――――ングッ？！」,「…！與其那樣，我還不如咬舌自盡――――唔唔？！」,,「…！要是這樣的話，寧願咬斷舌頭——啊？！」,,"""...! If that's the case, I'll bite my tongue and... Nguh?!""",「…윽! 그렇게 될 바에는 혀를 깨물고―――― 읍?! 」,「…！与其那样，我还不如咬舌自尽――――唔唔？！」
,,,,,,,,,,
Daiya.Fallen1-28,,口にチューブが突っ込まれ、ダイヤはついに喋る自由すら失ってしまう。,口にチューブが突っ込まれ、ダイヤはついに喋る自由すら失ってしまう。,嘴巴被塞進了管子，黛雅終究連說話的自由都失去了。,,嘴裡被塞入管子，黛雅最終連說話的自由都失去了。,,"A tube was shoved into her mouth, and Daiya finally lost even the freedom to speak.","입에 튜브가 쑤셔 박히고, 다이아는 마침내 말할 자유조차 잃어버린다.",嘴巴被塞进了管子，黛雅终究连说话的自由都失去了。
,,,,,,,,,,
Daiya.Fallen1-29,那由多,「死んでもらっては困りますので……改造を進めていきましょうか。」,「死んでもらっては困りますので……改造を進めていきましょうか。」,「妳死了我會很困擾的……那麼就繼續改造吧。」,,「死掉的話會很困擾……那就繼續進行改造吧。」,,"""It would be troublesome if you died... Let's proceed with the modifications.""",「죽으면 곤란하므로…… 개조를 진행하도록 하죠.」,「你死了我会很困扰的……那么就继续改造吧。」
,,,,,,,,,,
Daiya.Fallen1-30,,「次は体内洗浄ですね…汚いままご主人様にお出しするわけにはいかないので」,「次は体内洗浄ですね…汚いままご主人様にお出しするわけにはいかないので」,「接下來是體內洗淨呢…總不能髒兮兮地把妳獻給主人。」,,「接下來是體內清潔…身體骯髒的話不能呈現給主人看。」,,"""Next is internal cleansing... We can't present you to Master while you're dirty.""",「다음은 체내 세정입니다… 더러운 채로 주인님께 내놓을 수는 없으니까요」,「接下来是体内洗净呢…总不能脏兮兮地把你献给主人。」
,,,,,,,,,,
Daiya.Fallen1-31,ダイヤ,「むぐっ！？んんっ？？？」,「むぐっ！？んんっ？？？」,「唔咕！？嗯嗯？？？」,,「咕咕！？嗯嗯？？？」,,"""Mugu?! Nnn?!?!""",「읍!? 응응???」,「唔咕！？嗯嗯？？？」
,,,,,,,,,,
Daiya.Fallen1-32,,ダイヤは口から無理やり液体を流し込まれ、消化器官が満たされていく.,ダイヤは口から無理やり液体を流し込まれ、消化器官が満たされていく.,黛雅被迫從嘴裡灌入液體，消化器官逐漸被填滿。,,黛雅被強迫灌入液體，消化器官逐漸充滿。,,"Liquid was forcibly poured into Daiya's mouth, filling her digestive system.","다이아는 입으로 억지로 액체를 흘려 넣어져, 소화기관이 채워져 간다.",黛雅被迫从嘴里灌入液体，消化器官逐渐被填满。
,,,,,,,,,,
Daiya.Fallen1-33,那由多,「流石のあなたでも体内は鍛えられないですからね……おっともうお尻から出てきました！」,「流石のあなたでも体内は鍛えられないですからね……おっともうお尻から出てきました！」,「就算是妳，也沒辦法鍛鍊體內呢…哎呀，已經從屁股流出來了！」,,「就算是您也無法鍛煉體內部位呢……哎呀，已經從屁股裡出來了！」,,"""Even you can't train your insides... Oh, it's already coming out from your ass!""",「역시 당신이라도 체내는 단련할 수 없으니까요…… 어이쿠 벌써 엉덩이에서 나왔습니다!」,「就算是你，也没办法锻炼体内呢…哎呀，已经从屁股流出来了！」
,,,,,,,,,,
Daiya.Fallen1-34,ダイヤ,「むぐっ！？ん゛ん゛～～～～♥！？！？」,「むぐっ！？ん゛ん゛～～～～♥！？！？」,「唔咕！？嗯嗯～～～～♥！？！？」,,「咕咕！？嗯嗯～～～～♥！？」,,"""Mugu?! Nnnn...♥?!?!""",「읍!? 응옷 응옷 ~~~~♥!?!?」,「唔咕！？嗯嗯～～～～♥！？！？」
,,,,,,,,,,
Daiya.Fallen1-35,,(な、なんだっ……この甘い液体はっ…無理やり喉の奥に入っていく……っ！？),(な、なんだっ……この甘い液体はっ…無理やり喉の奥に入っていく……っ！？),（這、這是什麼……好甜的液體…被迫灌進喉嚨深處……！？）,,「這、這是什麼……這甜蜜的液體……被強迫灌入喉嚨深處……！？」,,(W-what is... this sweet liquid... forcing its way down my throat...?!),"(뭐, 뭐야…… 이 달콤한 액체는… 억지로 목구멍 안으로 들어가고 있어……윽!?)",（这、这是什么……好甜的液体…被迫灌进喉咙深处……！？）
,,,,,,,,,,
Daiya.Fallen1-36,,(ん゛ん～～～～～！？腸を通って……腹の中に……無理やりっ……！？),(ん゛ん～～～～～！？腸を通って……腹の中に……無理やりっ……！？),（嗯嗯～～～～～！？通過腸道……進到肚子裡……強行地……！？）,,(嗯嗯～～～～～！？經過腸道……進入腹部……被強迫……！？),,(Nnnn?! Through my intestines... into my stomach... forcibly...?!),(응옷 응~~~~~!? 장을 통과해서…… 배 안에…… 억지로……!?),（嗯嗯～～～～～！？通过肠道……进到肚子里……强行地……！？）
,,,,,,,,,,
Daiya.Fallen1-37,那由多,「ふふふっ、媚薬入りの体内改造薬ですよ。貴女を体の中から淫乱に作り変えちゃうらしいですね？」,「ふふふっ、媚薬入りの体内改造薬ですよ。貴女を体の中から淫乱に作り変えちゃうらしいですね？」,「呵呵呵，這是加了媚藥的體內改造藥喔。聽說能把妳從身體內部改造成淫亂的體質呢？」,,「呵呵呵，這是含有媚藥的體內改造藥。看來會把您從內部變得淫蕩呢？」,,"""Fufufu, it's an internal modification drug laced with aphrodisiacs. It seems it will remake you into a slut from the inside.""","「후후훗, 미약이 든 체내 개조약이에요. 당신을 몸속에서부터 음란하게 바꿔버린다고 하네요?」",「呵呵呵，这是加了媚药的体内改造药喔。听说能把你从身体内部改造成淫乱的体质呢？」
,,,,,,,,,,
Daiya.Fallen1-38,ダイヤ,「む゛ふッッ！？ん゛ん゛んんッッ～～～～ッ♥」,「む゛ふッッ！？ん゛ん゛んんッッ～～～～ッ♥」,「唔噗！？嗯嗯嗯嗯～～～～♥」,,「咕噗噗！？嗯嗯嗯嗯噗～～～～♥」,,"""Mufuh?! Nnnnnnn♥""",「읍옷 후읍!? 응옷 응옷 응응윽~~~~윽♥」,「唔噗！？嗯嗯嗯嗯～～～～♥」
,,,,,,,,,,
Daiya.Fallen1-39,,(喉がッ、お腹がッ…焼けるッ……！！お尻の穴もッ……くそおおっ！！),(喉がッ、お腹がッ…焼けるッ……！！お尻の穴もッ……くそおおっ！！),（喉嚨、肚子…都在燃燒……！！屁股的洞也是……可惡！！）,,(喉嚨、肚子……灼熱……！！屁股的洞也……該死！！),,"(My throat, my stomach... burning...!! My asshole too... damn it!!)","(목구멍이, 배가… 타들어가……!! 엉덩이 구멍도…… 젠장!!)",（喉咙、肚子…都在燃烧……！！屁股的洞也是……可恶！！）
,,,,,,,,,,
Daiya.Fallen1-40,那由多,「あらあら…辛いですね…？でも頑張ってくださいね。ご主人様のオナホになるために必要なことですから♥」,「あらあら…辛いですね…？でも頑張ってくださいね。ご主人様のオナホになるために必要なことですから♥」,「哎呀哎呀…很難受對吧…？不過請加油喔。因為這是為了成為主人的自慰套所必需的♥」,,「哎呀哎呀…有點辛苦呢…？但請加油哦。這是成為主人的性玩具所必需的事情呢♥」,,"""Oh my... it's painful, isn't it...?! But please endure it. It's necessary for you to become Master's sex toy♥""",「어머어머… 괴롭군요…? 하지만 힘내세요. 주인님의 오나홀이 되기 위해 필요한 일이니까요♥」,「哎呀哎呀…很难受对吧…？不过请加油喔。因为这是为了成为主人的自慰套所必需的♥」
,,,,,,,,,,
Daiya.Fallen1-41,,「ああ、そうでした……並行しておまんこもしっかりオナホ穴に改造しないといけませんね。」,「ああ、そうでした……並行しておまんこもしっかりオナホ穴に改造しないといけませんね。」,「啊啊，對了……必須同時把小穴也改造成合格的自慰套穴才行呢。」,,「啊，是的……同時也必須好好改造陰道成為性玩具的洞穴呢。」,,"""Ah, that's right... We also need to properly modify your pussy into a hole for the toy at the same time.""","「아아, 그랬었죠…… 병행해서 보지도 제대로 오나홀 구멍으로 개조해야겠군요.」",「啊啊，对了……必须同时把小穴也改造成合格的自慰套穴才行呢。」
,,,,,,,,,,
Daiya.Fallen1-42,,そして那由多はダイヤの下腹部を覆っている機械の出力を上げる。,そして那由多はダイヤの下腹部を覆っている機械の出力を上げる。,接著那由多將覆蓋在黛雅下腹部的機械出力調高。,,然後那由多提高了覆蓋著黛雅下腹部的機械的輸出。,,And Nayuta increased the output of the machine covering Daiya's lower abdomen.,그리고 나유타는 다이아의 하복부를 덮고 있는 기계의 출력을 올린다.,接着那由多将覆盖在黛雅下腹部的机械出力调高。
,,,,,,,,,,
Daiya.Fallen1-43,,キュイイイイイイイイインンッッッ！！！,キュイイイイイイイイインンッッッ！！！,咻咿咿咿咿咿咿咿咿嗯！！！,,咕噗噗噗噗噗噗噗噗噗！！！,,Whirrrrr!,큐이이이이이이이인!!!,咻咿咿咿咿咿咿咿咿嗯！！！
,,,,,,,,,,
Daiya.Fallen1-44,ダイヤ,「む゛ふ゛ッ！？！？ん゛ん゛ん゛ん゛ん゛ん゛！！」,「む゛ふ゛ッ！？！？ん゛ん゛ん゛ん゛ん゛ん゛！！」,「唔噗！？！？嗯嗯嗯嗯嗯嗯嗯嗯！！」,,「咕噗噗噗！？！？嗯噁噁噁噁噁噁！！」,,"""Mufuh?!?! Nnnnnnnn!!""",「읍옷 후옷 읍!?!? 응옷 응옷 응옷 응옷 응옷 응옷 !!」,「唔噗！？！？嗯嗯嗯嗯嗯嗯嗯嗯！！」
,,,,,,,,,,
Daiya.Fallen1-45,,ダイヤの下腹部から子宮にかけて焼けるような快楽が走り、ダイヤは声にならない叫び声をあげる。,ダイヤの下腹部から子宮にかけて焼けるような快楽が走り、ダイヤは声にならない叫び声をあげる。,一股灼燒般的快感從黛雅的下腹部竄向子宮，讓黛雅發出不成聲的尖叫。,,黛雅的下腹部到子宮間湧現灼熱般的快感，她無法發出聲音的尖叫聲。,,"Burning pleasure ran from Daiya's lower abdomen to her womb, and she let out a soundless scream.","다이아의 하복부에서 자궁에 걸쳐 타는 듯한 쾌락이 달려, 다이아는 목소리 없는 비명을 지른다.",一股灼烧般的快感从黛雅的下腹部窜向子宫，让黛雅发出不成声的尖叫。
,,,,,,,,,,
Daiya.Fallen1-46,,(！！！な…んだっ……これはあっ♥……股が……熱いっ……やめろっ……♥！？),(！！！な…んだっ……これはあっ♥……股が……熱いっ……やめろっ……♥！？),（！！！這…是什麼……啊♥……跨下……好燙……住手……♥！？）,,(！！！這……這是什麼……這裡……熱燙燙的……停……♥！？),,(!!! W-what is... this ah♥... my crotch... is hot... stop it...♥?!),(!!! 뭐… 뭐야…… 이건앗♥…… 사타구니가…… 뜨거워… 그만둬……♥!?),（！！！这…是什么……啊♥……跨下……好烫……住手……♥！？）
,,,,,,,,,,
Daiya.Fallen1-47,那由多,「これは特製のおまんこ改造装置です。いくら貴女でもご主人様のおチンポをそのまま入れたらすぐにガバガバになってしまいそうですから。」,「これは特製のおまんこ改造装置です。いくら貴女でもご主人様のおチンポをそのまま入れたらすぐにガバガバになってしまいそうですから。」,「這是特製的小穴改造裝置。就算以妳的能耐，要是直接承受主人的雞巴，恐怕很快就會鬆掉吧。」,,這是特製的陰道改造裝置。就算是您也不能直接將主人的陰莖放進去，否則很快就會變得鬆垮。,,"""This is a special pussy modification device. Even you would become loose immediately if Master's cock entered you as you are.""",「이것은 특제 보지 개조 장치입니다. 아무리 당신이라도 주인님의 자지를 그대로 넣으면 금방 헐렁해질 것 같으니까요.」,「这是特制的小穴改造装置。就算以你的能耐，要是直接承受主人的鸡巴，恐怕很快就会松掉吧。」
,,,,,,,,,,
Daiya.Fallen1-48,,「でも…この装置なら処女のままおまんこを鍛えられるんです！せっかくのプレゼントを機械で傷物にするわけにはいきませんからね。」,「でも…この装置なら処女のままおまんこを鍛えられるんです！せっかくのプレゼントを機械で傷物にするわけにはいきませんからね。」,「不過…用這個裝置的話，就能在處女的狀態下鍛鍊小穴！難得的禮物可不能被機械弄傷了呢。」,,「但是…透過這個裝置，可以在保持處女的情況下鍛鍊陰道！不能讓這份珍貴的禮物被機器損壞。」,,"""But... with this device, we can train your pussy while keeping you a virgin! We can't damage such a precious gift with machinery.""",「하지만… 이 장치라면 처녀인 채로 보지를 단련할 수 있습니다! 모처럼의 선물을 기계로 망가뜨릴 수는 없으니까요.」,「不过…用这个装置的话，就能在处女的状态下锻炼小穴！难得的礼物可不能被机械弄伤了呢。」
,,,,,,,,,,
