Key,Japanese,English,Traditional Chinese,Simplified Chinese,Japanese_Steam,English_Steam,Traditional Chinese_Steam,Simplified Chinese_Steam,Korean_Steam
System.PickTraining,調教方法を選択：,Pick your training:,選擇調教方法：,选择调教方法：,調教方法を選択：,Pick your training:,選擇調教方法：,选择调教方法：,조교 방법 선택:
System.HornyTraining,淫乱調教,Horniness,淫亂調教,淫乱调教,淫乱調教,Horniness,淫亂調教,淫乱调教,음란 조교
System.BrainwashTraining,洗脳調教,Brainwash,洗腦調教,洗脑调教,教育調教,Re-education,教育調教,教育调教,교육 조교
System.HolyCoreTraining,聖核研究,Seikaku Research,聖核研究,圣核研究,聖核研究,Seikaku Research,聖核研究,圣核研究,성핵 연구
System.ResearchPointCost,研究ポイント消耗：,Research Pts Cost:,消耗研究點數：,消耗研究点数：,研究ポイント消耗：,Research Pts Cost:,消耗研究點數：,消耗研究点数：,연구 포인트 소모:
System.ResearchComplete,調教完了,Training Complete,調教結束,调教结束,調教完了,Training Complete,調教結束,调教结束,조교 완료
System.ResearchConditionDaiya,洗脳調教の終わりに解放,,調教結束後開放,调教结束后开放,教育調教の終わりに解放,Unlock after Re-education,調教結束後開放,调教结束后开放,조교 완료 시 해금
System.Back,戻る,Back,退出,退出,戻る,Back,退出,退出,확정
System.Confirm,確定,Confirm,確定,确定,確定,Confirm,確定,确定,설정
System.OptionPanel,設定,Option,設定,设定,設定,Option,設定,设定,공격력:
System.Attack,攻撃力：,ATK: ,攻撃力：,攻撃力：,攻撃力：,ATK: ,攻擊力：,攻撃力：,LV:
System.Level,LV：,LV: ,LV：,LV：,LV：,LV: ,LV：,LV：,체력:
System.HP,体力：,HP: ,HP：,HP：,体力：,HP: ,HP：,HP：,SP:
System.MP,SP：,SP: ,SP：,SP：,SP：,SP: ,SP：,SP：,방어력:
System.Defense,防御力：,DEF: ,防御：,防御：,防御力：,DEF: ,防禦：,防御：,민첩성:
System.Speed,素早さ：,SPD: ,敏捷：,敏捷：,素早さ：,SPD: ,敏捷：,敏捷：,특수기:
System.Skill,特殊技：,Skill: ,技能：,技能：,特殊技：,Skill: ,技能：,技能：,장비
System.Equipment,装備,Equipment,装備,装备,装備,Equipment,裝備,装备,자료
System.CharacterData,資料,Info,資料,资料,資料,Info,資料,资料,육성
System.CharacterUpgrade,育成,Upgrade,育成,育成,育成,Upgrade,育成,育成,레벨 상승
System.LevelUp,レベルアップ,Level up,升級,升级,レベルアップ,Level up,升級,升级,레벨 상한
System.LevelMax,レベル上限,Max,滿級,满级,レベル上限,Max,滿級,满级,자금 비용
System.Cost,資金コスト,Cost,資金消耗,资金消耗,資金コスト,Cost,資金消耗,资金消耗,미개방
System.Locked,未開放,Locked,未開放,未开放,未開放,Locked,未開放,未开放,개방
System.Unlock,解放,Unlock,解放,解放,解放,Unlock,解放,解放,회복
System.Regenerate,回復,Regenerate,回復,回复,回復,Regenerate,回復,回复,회복 비용
System.RegenerateCost,回復コスト,Cost,所需資金,所需资金,回復コスト,Cost,所需資金,所需资金,인벤토리
System.Inventory,インベントリ,Inventory,物品欄,物品栏,インベントリ,Inventory,物品欄,物品栏,SP 소모:
System.SPCost,SP消耗：,SP Cost: ,SP消耗：,SP消耗：,SP消耗：,SP Cost: ,SP消耗：,SP消耗：,효과 대상:
System.EffectTarget,効果対象：,Target: ,効果対象：,効果対象：,効果対象：,Target: ,效果對象：,効果対象：,적 단일
System.EffectEnemy,敵単体,Single,敵単体,敌単体,敵単体,Single,對單體敵人,敌単体,적 (복수)
System.EffectEnemyAoE,敵(複数),AoE,敵(複数),敌(复数),敵(複数),AoE,全體敵人,敌(复数),사용자
System.EffectSelf,使用者,Self,使用者,使用者,使用者,Self,使用者,使用者,아군 전체
System.EffectSelfAoE,味方全体,Teammate (AoE),隊友全体,队友全体,味方全体,Teammate (AoE),隊友全體,队友全体,아군
System.EffectTeam,味方,Teammate,隊友,队友,味方,Teammate,隊友,队友,종류
System.AbilityType,種類,Category,種類,种类,種類,Category,種類,种类,공격
System.AbilityAttack,攻撃,Attack,攻撃,攻撃,攻撃,Attack,攻擊,攻撃,회복
System.AbilityHeal,回復,Heal,回復,回复,回復,Heal,回復,回复,상태
System.AbilityBuff,状態,Buff,状態,状态,状態,Buff,狀態,状态,특수
System.AbilitySpecial,特殊,Special,特殊,特殊,特殊,Special,特殊,特殊,턴
System.Turn,ターン,Turn,回合,回合,ターン,Turn,回合,回合,없음
System.None,なし,None,無,无,なし,None,無,无,차지
System.Cooldown,チャージ,Charge,冷卻,冷却,チャージ,Charge,冷卻,冷却,특수기 미보유
System.AbilityAbsent,特殊技を持っていない,No usable skill,沒有可以用的技能,没有可以用的技能,特殊技を持っていない,No usable skill,沒有可以用的技能,没有可以用的技能,데이터 이상
System.FileCorrupted,データ異常,File corrupted,資料異常,资料异常,データ異常,File corrupted,資料異常,资料异常,저장하기
System.Save,セーブ,Save,保存,保存,セーブ,Save,保存,保存,불러오기
System.LoadFile,ロード,Load,讀取,读取,ロード,Load,讀取,读取,자동저장
System.AutoSave,オートセーブ,Auto Save,自動存檔,自动存档,オートセーブ,Auto Save,自動存檔,自动存档,취소하기
System.Cancel,キャンセル,Cancel,取消,取消,キャンセル,Cancel,取消,取消,
System.ConfirmSave,スロット<color=yellow>{0}</color>にセーブしますか？,Save to file <color=yellow>{0}</color>?,保存到位置<color=yellow>{0}</color>嗎？,保存到位置<color=yellow>{0}</color>吗？,スロット<color=yellow>{0}</color>にセーブしますか？,Save to file <color=yellow>{0}</color>?,保存到位置<color=yellow>{0}</color>嗎？,保存到位置<color=yellow>{0}</color>吗？,슬롯 <color=yellow>{0}</color>에 저장하시겠습니까?
System.ConfirmReplace,スロット<color=yellow>{0}</color>のデータを上書きしますか？,Replace the save file on slot <color=yellow>{0}</color>?,確定要覆蓋掉位置<color=yellow>{0}</color>的存檔嗎？,确定要覆盖掉位置<color=yellow>{0}</color>的存档吗？,スロット<color=yellow>{0}</color>のデータを上書きしますか？,Replace the save file on slot <color=yellow>{0}</color>?,確定要覆蓋掉位置<color=yellow>{0}</color>的存檔嗎？,确定要覆盖掉位置<color=yellow>{0}</color>的存档吗？,슬롯 <color=yellow>{0}</color>의 데이터를 덮어쓰시겠습니까?
System.ConfirmLoad,スロット<color=yellow>{0}</color>をロードしますか？,Load data <color=yellow>{0}</color>?,讀取位置<color=yellow>{0}</color>的存檔？,读取位置<color=yellow>{0}</color>的存档？,スロット<color=yellow>{0}</color>をロードしますか？,Load data <color=yellow>{0}</color>?,讀取位置<color=yellow>{0}</color>的存檔？,读取位置<color=yellow>{0}</color>的存档？,슬롯 <color=yellow>{0}</color>을 불러오시겠습니까?
System.InsertComment,注釈を付ける...,Add note...,加上注釋...,加上注释...,注釈を付ける...,Add note...,加上注釋...,加上注释...,주석 달기...
System.Close,閉じる,Close,關閉,关闭,閉じる,Close,關閉,关闭,닫기
System.NewAbility,特殊技習得！,New ability learned!,獲取新技能！,获取新技能！,特殊技習得！,New ability learned!,獲取新技能！,获取新技能！,특수기 습득!
System.EquipmentType,品質,Quality,品質,品质,品質,Quality,品質,品质,품질
System.EquipmentNormal,普通,Normal,普通,普通,普通,Normal,普通,普通,보통
System.EquipmentRare,逸品,Rare,逸品,逸品,逸品,Rare,逸品,逸品,일품
System.EquipmentHoly,聖核装備,Seikaku Equipment,聖核装備,圣核装备,聖核装備,Seikaku Equipment,聖核裝備,圣核装备,성핵 장비
System.ReturnToTitle,タイトルメニューに戻る,Return to title,回到主菜單,回到主菜单,タイトルメニューに戻る,Return to title,回到主選單,回到主菜单,타이틀 메뉴로 돌아가기
System.Retry,リトライ,Retry,重試,重试,リトライ,Retry,重試,重试,재시도
System.Understood,了解,Understood,了解,了解,了解,Understood,瞭解,了解,확인
System.PanelUnavailable,"未開放
聖核戦姫を捕獲せよ","Not available
Go capture a Seikaku-princess!","未開放
請去抓捕聖核戦姫","未开放
请去抓捕圣核戦姫","未開放
聖核戦姫を捕獲せよ","Not available
Go capture a Seikaku-princess!","未開放
請去抓捕聖核戰姬","未开放
请去抓捕圣核戦姫","미개방
성핵전희를 포획하라"
System.RewardItem,アイテム獲得,Item reward,獲得物品,获得物品,アイテム獲得,Item reward,獲得物品,获得物品,아이템 획득
System.Reward,成果報酬,Reward,報酬,报酬,成果報酬,Reward,報酬,报酬,성과 보수
System.Receive,受取,Accept,接受,接受,受取,Accept,接受,接受,수령
System.Heroin,聖核戦姫,Seikaku-princess,聖核戦姫,圣核戦姫,聖核戦姫,Seikaku-princess,聖核戰姬,圣核戦姫,성핵전희
System.Trapped,{s}を捕獲完了！,{s} captured!,成功捕獲{s}！,成功捕获{s}！,{s}を捕獲完了！,{s} captured!,成功捕獲{s}！,成功捕获{s}！,{s} 포획 완료!
System.KeiDowngrade,「{0}」が下級戦闘員「{1}」に降格されました。,,「{0}」被降級成了「{1}」。,「{0}」被降级成了「{1}」。,「{0}」が下級戦闘員「{1}」に降格されました。,"""{0}"" has been relegated to ""{1}.""",「{0}」被降級成了「{1}」。,「{0}」被降级成了「{1}」。,조교 화면이 업데이트되었습니다
System.TrainPanelUpdate,調教画面がアップデートされました,Training panel have been updated.,調教画面的內容更新了。,调教画面的内容更新了。,調教画面がアップデートされました,Training panel have been updated.,調教畫面的內容更新了。,调教画面的内容更新了。,로그
System.NovelLog,ログ,Log,記錄,记录,ログ,Log,記錄,记录,자동 시작・정지
System.NovelAuto,オート開始・停止,Auto (ON/OFF),自動播放 (ON/OFF),自动播放 (ON/OFF),オート開始・停止,Auto (ON/OFF),自動播放 (ON/OFF),自动播放 (ON/OFF),스킵
System.NovelSkip,スキップ,Skip,跳過,跳过,スキップ,Skip,跳過,跳过,UI 숨기기
System.NovelHide,UI非表示,Hide UI,隱藏UI,隐藏UI,UI非表示,Hide UI,隱藏UI,隐藏UI,
System.NewBattler,{s}をチームに編入することが可能となりました,You can now include {s} into party! ,現在可以把{s}編入進隊伍裡了！,现在可以把{s}编入进队伍里了！,{s}をチームに編入することが可能となりました,You can now include {s} into party! ,現在可以把{s}編入進隊伍裡了！,现在可以把{s}编入进队伍里了！,"{s}, 팀에 편입할 수 있게 되었습니다"
System.NewCoreEquipment,"{s}を獲得しました！
キャラクター育成画面でアイテムを装備できます。","Get new item {s}!
Equip item at Character Building Panel.","獲得裝備: {s}！
可以到角色育成畫面裝備到角色上。","获得装备: {s}！
可以到角色育成画面装备到角色上。","{s}を獲得しました！
キャラクター育成画面でアイテムを装備できます。","Get new item {s}!
Equip item at Character Building Panel.","獲得裝備: {s}！
可以到角色育成畫面裝備到角色上。","获得装备: {s}！
可以到角色育成画面装备到角色上。","{s}, 획득했습니다!
캐릭터 육성 화면에서 아이템을 장비할 수 있습니다."
System.Storage,収納庫,Storage,收納庫,收纳库,収納庫,Storage,收納庫,收纳库,수납고
Systeｍ.Requirement,解放条件:,Requirement: ,解放条件:,解放条件:,解放条件:,Requirement: ,解放條件:,解放条件:,개방 조건:
System.HornyTrained,淫乱調教完了,Horniness Training,淫乱調教完成,淫乱调教完成,淫乱調教完了,Horniness Training,淫亂調教完成,淫乱调教完成,음란 조교 완료
System.NewAbilityTraining,{s}が新しい特殊技を覚えました。,{s} learnt new special ability.,{s}學到新特殊技能了。,{s}学到新特殊技能了。,{s}が新しい特殊技を覚えました。,{s} learnt new special ability.,{s}學到新特殊技能了。,{s}学到新特殊技能了。,"{s}, 새로운 특수기를 익혔습니다."
System.NewRecord,"オペレーションの間にアジトである起き事が発生しました
今記録を見ますか？","During the operation, some event happened in the hideout.
Check the record now?","行動中基地裡發生了一點事情。
現在觀看記錄嗎？","行动中基地里发生了一点事情。
现在观看记录吗？","オペレーションの間にアジトである起き事が発生しました
今記録を見ますか？","During the operation, some event happened in the hideout.
Check the record now?","行動期間基地裡發生了一點事情。
現在觀看記錄嗎？","行动中基地里发生了一点事情。
现在观看记录吗？","오퍼레이션 중에 아지트에서 어떤 일이 발생했습니다
지금 기록을 보시겠습니까?"
System.CheckRecordNow,今見る,Yes,現在觀看,现在观看,今見る,Yes,現在觀看,现在观看,지금 본다
System.CheckRecordLater,後にする,Later,等下才看,等下才看,後にする,Later,稍後觀看,等下才看,추후 확인
System.RecordTutorial,画面左側の「{s}」ボタンで記録を確認できます。,You can check records at [{s}] button.,您可以在左側的「{s}」查看記錄。,您可以在左侧的「{s}」查看记录。,画面左側の「{s}」ボタンで記録を確認できます。,You can check records at [{s}] button.,您可以在左側的「{s}」查看記錄。,您可以在左侧的「{s}」查看记录。,화면 왼쪽의 「{s}」 버튼으로 기록을 확인할 수 있습니다.
System.EndCredit,終わり,,結束,结束,終わり,End,結束,结束,끝
System.BackToTitle,"タイトル画面に戻りますか？
セーブしていないデータが消えます。","Back to title scene?
Unsaved data will be gone forever.",回到主菜單,回到主菜单,"タイトル画面に戻りますか？
セーブしていないデータが消えます。","Back to title scene?
Unsaved data will be gone forever.",回到主選單,回到主菜单,"타이틀 화면으로 돌아가시겠습니까?
저장하지 않은 데이터가 사라집니다."
Memory,回想,Memory,回想,回想,回想,Memory,回想,回想,회상
Memory.Akiho_1,明穂 - 痴漢,Akiho - Chikan,明穗 - 痴漢,明穗 - 痴汉,明穂 - 痴漢,Akiho - Chikan,明穗 - 痴漢,明穗 - 痴汉,아키호 - 치한
Memory.Akiho_2,明穂 - 敗北,Akiho - Defeat,明穗 - 敗北,明穗 - 败北,明穂 - 敗北,Akiho - Defeat,明穗 - 失敗,明穗 - 败北,아키호 - 패배
Memory.Rikka_1,立花 - 身体検査,Rikka - Body check,立花 - 身体検査,立花 - 身体検查,立花 - 身体検査,Rikka - Body check,立花 - 身體檢查,立花 - 身体検查,릿카 - 신체검사
Memory.Erena_1,エレナ - オナニー,Erena - Masturbation,艾蓮娜 - 自慰,艾莲娜 - 自慰,エレナ - オナニー,Erena - Masturbation,艾蓮娜 - 自慰,艾莲娜 - 自慰,엘레나 - 자위
Memory.Erena_2,エレナ - 性奉仕 I,Erena - Sex service I,艾蓮娜 - 性奉仕 I,艾莲娜 - 性奉仕 I,エレナ - 性奉仕 I,Erena - Sex service I,艾蓮娜 - 性侍奉 I,艾莲娜 - 性侍奉 I,엘레나 - 성봉사 I
Memory.Erena_3,エレナ - 性奉仕 II,Erena - Sex service II,艾蓮娜 - 性奉仕 II,艾莲娜 - 性奉仕 II,エレナ - 性奉仕 II,Erena - Sex service II,艾蓮娜 - 性侍奉 II,艾莲娜 - 性侍奉 II,엘레나 - 성봉사 II
Memory.Kei_1,京 - ハッキング,Kei - Hacking,京 - 黑客,京 - 黑客,京 - ハッキング,Kei - Hacking,京 - 黑客,京 - 黑客,케이 - 해킹
Memory.Kei_2,京 - 捕獲,Kei - Captured,京 - 捕獲,京 - 捕获,京 - 捕獲,Kei - Captured,京 - 捕獲,京 - 捕获,케이 - 포획
Memory.Nayuta_1,那由多 - 捕獲,Nayuta - Captured,那由多 - 捕獲,那由多 - 捕获,那由多 - 捕獲,Nayuta - Captured,那由多 - 捕獲,那由多 - 捕获,나유타 - 포획
Memory.Nayuta_2,決戦,Final Battle,決戰,决战,決戦,Final Battle,決戰,决战,결전
Memory.AkihoBrainWash_1,明穂 - おっぱい改造実験 I,Akiho - Tits experiment I,明穗 - 胸部改造實驗 I,明穗 - 胸部改造实验 I,明穂 - おっぱい改造実験 I,Akiho - Tits experiment I,明穗 - 胸部改造實驗 I,明穗 - 胸部改造实验 I,아키호 - 가슴 개조 실험 I
Memory.AkihoBrainWash_2,明穂 - おっぱい改造実験 II,Akiho - Tits experiment II,明穗 - 胸部改造實驗 II,明穗 - 胸部改造实验 II,明穂 - おっぱい改造実験 II,Akiho - Tits experiment II,明穗 - 胸部改造實驗 II,明穗 - 胸部改造实验 II,아키호 - 가슴 개조 실험 II
Memory.AkihoBrainWash_3,明穂 - おっぱい改造実験 III,Akiho - Tits experiment III,明穗 - 胸部改造實驗 III,明穗 - 胸部改造实验 III,明穂 - おっぱい改造実験 III,Akiho - Tits experiment III,明穗 - 胸部改造實驗 III,明穗 - 胸部改造实验 III,아키호 - 가슴 개조 실험 III
Memory.AkihoCore_1,明穂 - 聖核研究 I,Akiho - Seikaku Research I,明穗 - 聖核研究 I,明穗 - 圣核研究 I,明穂 - 聖核研究 I,Akiho - Seikaku Research I,明穗 - 聖核研究 I,明穗 - 圣核研究 I,아키호 - 성핵 연구 I
Memory.AkihoCore_2,明穂 - 聖核研究 II,Akiho - Seikaku Research II,明穗 - 聖核研究 II,明穗 - 圣核研究 II,明穂 - 聖核研究 II,Akiho - Seikaku Research II,明穗 - 聖核研究 II,明穗 - 圣核研究 II,아키호 - 성핵 연구 II
Memory.AkihoHorny_1,明穂 - 性奉仕 I,Akiho - Sex service I,明穗 - 性侍奉 I,明穗 - 性侍奉 I,明穂 - 性奉仕 I,Akiho - Sex service I,明穗 - 性侍奉 I,明穗 - 性侍奉 I,아키호 - 성봉사 I
Memory.AkihoHorny_2,明穂 - 性奉仕 II,Akiho - Sex service II,明穗 - 性侍奉 II,明穗 - 性侍奉 II,明穂 - 性奉仕 II,Akiho - Sex service II,明穗 - 性侍奉 II,明穗 - 性侍奉 II,아키호 - 성봉사 II
Memory.RikkaBrainWash_1,立花 - 戦闘員化 I,Rikka - Normalization I,立花 - 戰鬥員化 I,立花 - 战斗员化 I,立花 - 戦闘員化 I,Rikka - Normalization I,立花 - 戰鬥員化 I,立花 - 战斗员化 I,릿카 - 전투원화 I
Memory.RikkaBrainWash_2,立花 - 戦闘員化 II,Rikka - Normalization II,立花 - 戰鬥員化 III,立花 - 战斗员化 III,立花 - 戦闘員化 II,Rikka - Normalization II,立花 - 戰鬥員化 III,立花 - 战斗员化 III,릿카 - 전투원화 II
Memory.RikkaBrainWash_3,立花 - 戦闘員化 III,Rikka - Normalization III,立花 - 戰鬥員化 III,立花 - 战斗员化 III,立花 - 戦闘員化 III,Rikka - Normalization III,立花 - 戰鬥員化 III,立花 - 战斗员化 III,릿카 - 전투원화 III
Memory.RikkaCore_1,立花 - 聖核研究 I,Rikka - Seikaku Research I,立花 - 聖核研究 I,立花 - 圣核研究 I,立花 - 聖核研究 I,Rikka - Seikaku Research I,立花 - 聖核研究 I,立花 - 圣核研究 I,릿카 - 성핵 연구 I
Memory.RikkaCore_2,立花 - 聖核研究 II,Rikka - Seikaku Research II,立花 - 聖核研究 II,立花 - 圣核研究 II,立花 - 聖核研究 II,Rikka - Seikaku Research II,立花 - 聖核研究 II,立花 - 圣核研究 II,릿카 - 성핵 연구 II
Memory.RikkaHorny_1,立花 - オナニーショー I,Rikka - Masturbation Show I,立花 - 自慰節目 I,立花 - 自慰节目 I,立花 - オナニーショー I,Rikka - Masturbation Show I,立花 - 自慰節目 I,立花 - 自慰节目 I,릿카 - 자위 쇼 I
Memory.RikkaHorny_2,立花 - オナニーショー II,Rikka - Masturbation Show II,立花 - 自慰節目 II,立花 - 自慰节目 II,立花 - オナニーショー II,Rikka - Masturbation Show II,立花 - 自慰節目 II,立花 - 自慰节目 II,릿카 - 자위 쇼 II
Memory.ErenaBrainWash_1,エレナ - 家畜化 I,Erena - Domestication I,艾蓮娜 - 家畜化 I,艾莲娜 - 家畜化 I,エレナ - 家畜化 I,Erena - Domestication I,艾蓮娜 - 家畜化 I,艾莲娜 - 家畜化 I,엘레나 - 가축화 I
Memory.ErenaBrainWash_2,エレナ - 家畜化 II,Erena - Domestication II,艾蓮娜 - 家畜化 II,艾莲娜 - 家畜化 II,エレナ - 家畜化 II,Erena - Domestication II,艾蓮娜 - 家畜化 II,艾莲娜 - 家畜化 II,엘레나 - 가축화 II
Memory.ErenaBrainWash_3,エレナ - 家畜化 III,Erena - Domestication III,艾蓮娜 - 家畜化 III,艾莲娜 - 家畜化 III,エレナ - 家畜化 III,Erena - Domestication III,艾蓮娜 - 家畜化 III,艾莲娜 - 家畜化 III,엘레나 - 가축화 III
Memory.ErenaCore_1,エレナ - 聖核研究 I,Erena - Seikaku Research I,艾蓮娜 - 聖核研究 I,艾莲娜 - 圣核研究 I,エレナ - 聖核研究 I,Erena - Seikaku Research I,艾蓮娜 - 聖核研究 I,艾莲娜 - 圣核研究 I,엘레나 - 성핵 연구 I
Memory.ErenaCore_2,エレナ - 聖核研究 II,Erena - Seikaku Research II,艾蓮娜 - 聖核研究 II,艾莲娜 - 圣核研究 II,エレナ - 聖核研究 II,Erena - Seikaku Research II,艾蓮娜 - 聖核研究 II,艾莲娜 - 圣核研究 II,엘레나 - 성핵 연구 II
Memory.ErenaHorny_1,エレナ - AVデビュー I,Erena - Porn Star Debut I,艾蓮娜 - AV出道 I,艾莲娜 - AV出道 I,エレナ - AVデビュー I,Erena - Porn Star Debut I,艾蓮娜 - AV出道 I,艾莲娜 - AV出道 I,엘레나 - AV 데뷔 I
Memory.ErenaHorny_2,エレナ - AVデビュー II,Erena - Porn Star Debut II,艾蓮娜 - AV出道 II,艾莲娜 - AV出道 II,エレナ - AVデビュー II,Erena - Porn Star Debut II,艾蓮娜 - AV出道 II,艾莲娜 - AV出道 II,엘레나 - AV 데뷔 II
Memory.KeiBrainWash_1,京 - 洗脳調教 I,Kei - Brainwash Sex I,京 - 洗腦調教 I,京 - 洗脑调教 I,京 - 教育調教 I,Kei - Re-education Sex I,京 - 教育調教 I,京 - 教育调教 I,케이 - 교육 조교 I
Memory.KeiBrainWash_2,京 - 洗脳調教 II,Kei - Brainwash Sex II,京 - 洗腦調教 II,京 - 洗脑调教 II,京 - 教育調教 II,Kei - Re-education Sex II,京 - 教育調教 II,京 - 教育调教 II,케이 - 교육 조교 II
Memory.KeiBrainWash_3,京 - 洗脳調教 III,Kei - Brainwash Sex III,京 - 洗腦調教 III,京 - 洗脑调教 III,京 - 教育調教 III,Kei - Re-education Sex III,京 - 教育調教 III,京 - 教育调教 III,케이 - 교육 조교 III
Memory.KeiCore_1,京 - 聖核研究 I,Kei - Seikaku Research I,京 - 聖核研究 I,京 - 圣核研究 I,京 - 聖核研究 I,Kei - Seikaku Research I,京 - 聖核研究 I,京 - 圣核研究 I,케이 - 성핵 연구 I
Memory.KeiCore_2,京 - 聖核研究 II,Kei - Seikaku Research II,京 - 聖核研究 II,京 - 圣核研究 II,京 - 聖核研究 II,Kei - Seikaku Research II,京 - 聖核研究 II,京 - 圣核研究 II,케이 - 성핵 연구 II
Memory.KeiHorny_1,京 - エロ配信 I,Kei - Livestream I,京 - 成人直播 I,京 - 成人直播 I,京 - エロ配信 I,Kei - Livestream I,京 - 成人直播 I,京 - 成人直播 I,케이 - 에로 방송 I
Memory.KeiHorny_2,京 - エロ配信 II,Kei - Livestream II,京 - 成人直播 II,京 - 成人直播 II,京 - エロ配信 II,Kei - Livestream II,京 - 成人直播 II,京 - 成人直播 II,케이 - 에로 방송 II
Memory.NayutaBrainWash_1,那由多 - 聖核回収 I,Nayuta - Seikaku Drain I,那由多 - 聖核回收 I,那由多 - 圣核回收 I,那由多 - 聖核回収 I,Nayuta - Seikaku Drain I,那由多 - 聖核回收 I,那由多 - 圣核回收 I,나유타 - 성핵 회수 I
Memory.NayutaBrainWash_2,那由多 - 聖核回収 II,Nayuta - Seikaku Drain II,那由多 - 聖核回收 II,那由多 - 圣核回收 II,那由多 - 聖核回収 II,Nayuta - Seikaku Drain II,那由多 - 聖核回收 II,那由多 - 圣核回收 II,나유타 - 성핵 회수 II
Memory.NayutaBrainWash_3,那由多 - 聖核回収 III,Nayuta - Seikaku Drain III,那由多 - 聖核回收 III,那由多 - 圣核回收 III,那由多 - 聖核回収 III,Nayuta - Seikaku Drain III,那由多 - 聖核回收 III,那由多 - 圣核回收 III,나유타 - 성핵 회수 III
Memory.NayutaCore_1,那由多 - 聖核研究 I,Nayuta - Seikaku Research I,那由多 - 聖核研究 I,那由多 - 圣核研究 I,那由多 - 聖核研究 I,Nayuta - Seikaku Research I,那由多 - 聖核研究 I,那由多 - 圣核研究 I,나유타 - 성핵 연구 I
Memory.NayutaCore_2,那由多 - 聖核研究 II,Nayuta - Seikaku Research II,那由多 - 聖核研究 II,那由多 - 圣核研究 II,那由多 - 聖核研究 II,Nayuta - Seikaku Research II,那由多 - 聖核研究 II,那由多 - 圣核研究 II,나유타 - 성핵 연구 II
Memory.NayutaHorny_1,那由多 - VIP招待 I,Nayuta - VIP Service I,那由多 - VIP服務 I,那由多 - VIP服务 I,那由多 - VIP招待 I,Nayuta - VIP Service I,那由多 - VIP服務 I,那由多 - VIP服务 I,나유타 - VIP 초대 I
Memory.NayutaHorny_2,那由多 - VIP招待 II,Nayuta - VIP Service II,那由多 - VIP服務 II,那由多 - VIP服务 II,那由多 - VIP招待 II,Nayuta - VIP Service II,那由多 - VIP服務 II,那由多 - VIP服务 II,나유타 - VIP 초대 II
Memory.AkihoPaizuri,明穂のパイズリ奉仕,Akiho's Tit Fucking,明穗的乳交服務,明穗的乳交服务,明穂のパイズリ奉仕,Akiho's Tit Fucking,明穗的乳交服務,明穗的乳交服务,아키호의 파이즈리 봉사
Memory.CloneTask,クローンの通常業務,Clones' Daily Task,克隆人的日常業務,克隆人的日常业务,クローンの通常業務,Clones' Daily Task,克隆人的日常業務,克隆人的日常业务,클론의 통상 업무
Memory.Nursery,変身ヒロイン苗床化,Seedbed of Magical Girls,變身女主的苗床化,变身女主的苗床化,変身ヒロイン苗床化,Seedbed of Magical Girls,變身女主的苗床化,变身女主的苗床化,변신 히로인 묘상화
