Key,Comment,Japanese,Japanese_Steam,Traditional Chinese_Steam,English,English_Steam,Korean_Steam,Simplified Chinese_Steam
,,,,,,,,
Dialog.Chapter3-1-6,,「戦闘能力も並みの聖核戦姫を遥かに凌ぎ、先日の戦闘ではものの一分でこちらの戦闘員の半数近くが戦闘不能にされました」,「戦闘能力も並みの聖核戦姫を遥かに凌ぎ、先日の戦闘ではものの一分でこちらの戦闘員の半数近くが戦闘不能にされました」,「其戰鬥能力也遠超一般聖核戰姬，在日前的交戰中，不到一分鐘，我方戰鬥員便有近半數遭到制伏。」,"""Her combat capability far surpasses that of ordinary Seikaku princesses, and in a recent battle, nearly half of our combatants were disarmed in a single minute.""","""Her power is far beyond the average Holy Core Battlemaiden, and rendered nearly half of our soldiers useless in less than a minute.""","「전투 능력도 보통 성핵전희를 훨씬 능가하며, 얼마 전 전투에서는 불과 1분 만에 이쪽 전투원의 절반 가까이가 전투 불능이 되었습니다」",「其战斗能力也远超一般圣核战姬，在日前的交战中，不到一分钟，我方战斗员便有近半数遭到制伏。」
,,,,,,,,
Dialog.Chapter3-1-7,,「更にコンピュータによるシミュレーションでは、彼女を捕縛するには水無瀬六花の強化クローン兵が100体以上必要になるようです」,「更にコンピュータによるシミュレーションでは、彼女を捕縛するには水無瀬六花の強化クローン兵が100体以上必要になるようです」,「此外，根據電腦模擬推算，要捕獲她，至少需要動用100具以上的水無瀨六花克隆兵力。」,"""Furthermore, according to computer simulations, it would take more than 100 of Minase Rikka's enhanced clone soldiers to capture her.""","""Based on our simulations, it would require more than a hundred enhanced clone soldiers of Rikka Minase.""","「게다가 컴퓨터 시뮬레이션에서는, 그녀를 포획하기 위해서는 미나세 릿카의 강화 클론 병사가 100체 이상 필요하다고 합니다」",「此外，根据电脑模拟推算，要捕获她，至少需要动用100具以上的水无濑六花克隆兵力。」
,,,,,,,,
Dialog.Chapter3-1-8,,「……つまるところ、まともに戦ったらどう転んでも勝ち目はないという事です」,「……つまるところ、まともに戦ったらどう転んでも勝ち目はないという事です」,「……換句話說，只要是正面交戰，不管怎麼打我們都毫無勝算。」,"""......The bottom line is that if we fight a real fight, we won't win.""","""...This means if we were to face them head-on, our defeat would be assured.""","「……결론적으로 말하자면, 정면으로 싸우면 어떻게 되든 승산은 없다는 것입니다」",「……换句话说，只要是正面交战，不管怎么打我们都毫无胜算。」
,,,,,,,,
Dialog.Chapter3-1-9,,「そして現在クローン005号が学園に潜入していますが、<br>更に悪いことに一週間程でこちらに対する大規模攻撃が行われるようです」,「そして現在クローン005号がレギオンに潜入していますが、<br>更に悪いことに一週間程でこちらに対する大規模攻撃が行われるようです」,「而更糟的是，根據目前克隆005號潛入軍團內部獲得的情報，<br>約一週後對方就會對我方發動大規模攻勢。」,"""And what's worse, now clone No.005 has infiltrated the academy, and it looks like there will be a major attack on us in about a week.""","""Clone 005 has infiltrated the Legion.<br>What's worse, they're about to launch a large-scale attack on us in about a week.""","「그리고 현재 클론 005호가 레기온에 잠입해 있습니다만, <br>설상가상으로 일주일 정도 후에 이쪽에 대한 대규모 공격이 있을 것 같습니다」",「而更糟的是，根据目前克隆005号潜入军团内部获得的情报，<br>约一周后对方就会对我方发动大规模攻势。」
,,,,,,,,
Dialog.Chapter3-1-10,SEL,………,………,………,.........,...,………,………
,,,,,,,,
Dialog.Chapter3-1-11,戦闘員,「………ドクターの手腕に期待しています。―――！、今005号から連絡が入りました！」,「………ドクターの手腕に期待しています。―――！、今005号から連絡が入りました！」,「………接下來就靠博士您的能力了。―――！005號剛傳來聯絡！」,"""I'm looking forward to seeing what Doctor can do.  ―――! Wait we just got a call from No.005!""","""I'm looking forward to what the doc can do... We have established contact with 005!""","「………닥터의 수완에 기대하고 있습니다. ―――!, 지금 005호로부터 연락이 들어왔습니다!」",「………接下来就靠博士您的能力了。―――！、005号刚传来联络！」
,,,,,,,,
Dialog.Chapter3-1-12,005号(六花制服通信),「―――お久しぶりです、ドクター。」,「―――お久しぶりです、ドクター。」,「――好久不見了，博士。」,"""――― It's been a long time, Doctor.""","""Long time no see, doc.""","「―――오랜만입니다, 닥터.」",「――好久不见了，博士。」
,,,,,,,,
Dialog.Chapter3-1-13,005号(通信),「―――水無瀬六花として聖月女学園に潜入していました。005号です。」,「―――水無瀬六花としてホーリーコア・レギオンに潜入していました。005号です。」,「――我是正在以水無瀨六花的身分潛入聖核軍團的005號。」,"""―――I infiltrated Seigetsu Girl Academy as Minase Rikka, I am No.005.""","""I am 005, infiltrating the Holy Core Legion as Rikka Minase.""",「―――미나세 릿카로서 홀리코어 레기온에 잠입해 있었습니다. 005호입니다.」,「――我是正在以水无濑六花的身分潜入圣核军团的005号。」
,,,,,,,,
Dialog.Chapter3-1-14,,「…清藤エレナと生徒会の動向を探っていたのですが、エレナについて面白い情報を入手しました」,「…清藤エレナと司令部の動向を探っていたのですが、エレナについて面白い情報を入手しました」,「……我一直在調查清藤艾蓮娜與司令部的動向，而關於艾蓮娜，我得到了一個有趣的情報。」,"""...I've been trying to find out what's going on with Erena Seidō and the student council, and I've gotten some interesting information about Erena.""","""...I have been looking for intel on Elena Kiyofuji and the Command Center, and I came across some interesting information on Elena.""","「…세이토 엘레나와 사령부의 동향을 살피고 있었습니다만, 엘레나에 대해 흥미로운 정보를 입수했습니다」",「……我一直在调查清藤艾莲娜与司令部的动向，而关于艾莲娜，我得到了一个有趣的情报。」
,,,,,,,,
Dialog.Chapter3-1-15,,「役に立つかはわかりませんが、この情報が清藤エレナの突破口になるかもしれません――――」,「役に立つかはわかりませんが、この情報が清藤エレナの突破口になるかもしれません――――」,「雖然不確定是否派得上用場，但這份情報……也許會成為突破清藤艾蓮娜的關鍵――――」,"""I don't know if this will help, but this information could be a breakthrough for Seidō Erena: ――――""","""I don't know if it'll help, but it might be the info you need to get past Elena Kiyofuji...""","「도움이 될지는 모르겠습니다만, 이 정보가 세이토 엘레나의 돌파구가 될지도 모릅니다――――」",「虽然不确定是否派得上用场，但这份情报……也许会成为突破清藤艾莲娜的关键――――」
,,,,,,,,
,生徒会室,,,,,,,
Dialog.Chapter3-1-16,,翌日、聖月女学園生徒会にて―――,翌日、ホーリーコア・レギオン司令部にて―――,翌日，於「聖核軍團」司令部―――,"The next day, at the Student Council of the Seigetsu Girl Academy ――――.","The next day, at the Holy Core Legion Command Center...","다음날, 홀리코어 레기온 사령부에서―――",翌日，于圣核军团司令部―――
,,,,,,,,
Dialog.Chapter3-1-17,エレナ(制服),「―――そして複数班に分かれ、財団地下アジトがあると思われる場所を全戦力で同時に攻略します」,「―――そして複数班に分かれ、財団地下アジトがあると思われる場所を全戦力で同時に攻略します」,「―――然後你們將會分成數個小隊，對所有疑似藏有財團地下基地的點採取同步攻略。」,"""――― split up into multiple teams to simultaneously attack the location where the Foundation's underground hideout is believed to be, with all forces at their disposal.""","""...Split into multiple teams to attack all the locations thought to be the Foundation's underground hideouts with everything we've got.""","「―――그리고 여러 반으로 나누어, 재단 지하 아지트가 있을 것으로 생각되는 장소를 전 전력으로 동시에 공략합니다」",「―――然后你们将会分成数个小队，对所有疑似藏有财团地下据点的点采取同步攻略。」
,,,,,,,,
Dialog.Chapter3-1-18,エレナ,「作戦決行は一週間後の午前9時からです。皆さんそれまでに十分な準備をお願いします。」,「作戦決行は一週間後の午前9時からです。皆さんそれまでに十分な準備をお願いします。」,「作戰將於一週後上午9點開始。請各位在此之前做好充分準備。」,"""The operation will begin at 9:00 a.m. one week from now. Everyone should be fully prepared by then.""","""The operation will take place at 9 a.m. in one week. Please make the necessary preparations by then.""",「작전 결행은 일주일 후 오전 9시부터입니다. 여러분은 그때까지 충분한 준비를 부탁합니다.」,「作战将于一周后上午9点开始。请各位在此之前做好充分准备。」
,,,,,,,,
Dialog.Chapter3-1-19,エレナ,「……それでは本日の臨時会議を終了します。」,「……それでは本日の臨時会議を終了します。」,「……那麼，本次臨時會議到此結束。」,"""...... then we will adjourn today's special meeting.""","""...The emergency meeting today ends here.""",「……그럼 오늘의 임시 회의를 종료합니다.」,「……那么，本次临时会议到此结束。」
,,,,,,,,
Dialog.Chapter3-1-20,,(やれやれ、この忙しい時期にこんなめんどうな仕事をすることになるとは…),(やれやれ、この忙しい時期にこんなめんどうな仕事をすることになるとは…),（唉，真是的，沒想到偏偏在這種忙得要命的時候遇上這麼麻煩的工作……）,"(Good grief, I never thought I would have to do such a tedious job at this busy time of the year...)","(Sigh, I can't believe we have to deal with this during such a busy period...)","(이런이런, 이 바쁜 시기에 이런 귀찮은 일을 하게 되다니…)",（唉，真是的，没想到偏偏在这种忙得要命的时候遇上这么麻烦的工作……）
,,,,,,,,
Dialog.Chapter3-1-21,,(まあいい機会です、後顧の憂いはここで断ってしまいましょう。),(まあいい機会です、後顧の憂いはここで断ってしまいましょう。),（不過也好，就趁這次機會，把後顧之憂徹底斬斷吧。）,"(Well, good opportunity, let's turn down the retrospective here.)","(Well, this is a good chance to end them once and for all, so we don't have to worry about them ever again.)","(뭐 좋은 기회입니다, 후환은 여기서 끊어버립시다.)",（不过也好，就趁这次机会，把后顾之忧彻底斩断吧。）
,,,,,,,,
Dialog.Chapter3-1-22,,エレナが思索にふけっていると、突然誰もいない空間から声が聞こえる,エレナが思索にふけっていると、突然誰もいない空間から声が聞こえる,正當艾蓮娜沉浸在思緒之中時，空無一人的空間裡，忽然傳來聲音——,Erena is lost in contemplation when suddenly she hears a voice from an empty space.,"While contemplating, Elena suddenly heard a voice in the space that was only supposed to be occupied by her and her alone.","엘레나가 사색에 잠겨 있자, 갑자기 아무도 없는 공간에서 목소리가 들린다",正当艾莲娜沉浸在思绪之中时，空无一人的空间里，忽然传来声音——
,,,,,,,,
Dialog.Chapter3-1-23,???,「あーあー、もしもしー、ケイだよ。エレナそこにいるよね？」,「あーあー、もしもしー、ケイだよ。エレナそこにいるよね？」,「喂—喂—聽得到嗎～？我是京。艾蓮娜在那邊對吧？」,"""Uh―oh, hello, it's Kei. Erena, you're there, right?""","""Hello? This is Kei. You're there, right? Elena?""","「아~아~, 여보세요~, 케이야. 엘레나 거기 있지?」",「喂—喂—，听得到吗～？我是京。艾莲娜在那边对吧？」
,,,,,,,,
Dialog.Chapter3-1-24,エレナ,「……………！？」,「……………！？」,「……………！？」,"""...............!""","""...?!""",「……………!?」,「……………！？」
,,,,,,,,
Dialog.Chapter3-1-25,猫宮京,「おーい、聞こえてるでしょ？はやくホログラムつけてよ。ハッキングして勝手に部屋覗いてもいいんだよ？」,「おーい、聞こえてるでしょ？はやくホログラムつけてよ。ハッキングして勝手に部屋覗いてもいいんだよ？」,「喂～你一定聽到了吧？快幫我把全息影像打開。不然我也可以駭進去、擅自偷看房間的喔？」,"""Hey, I know you can hear me. Quick, turn on the hologram. I can hack in and peek in your room without your permission, okay?""","""Hey, you can hear me, right? Turn on your hologram, or I'm going to hack into it and look at your room!""","「어~이, 들리지? 빨리 홀로그램 켜줘. 해킹해서 멋대로 방 훔쳐봐도 괜찮아?」",「喂～，你一定听到了吧？快帮我把全息影像打开。不然我也可以骇进去、擅自偷看房间的喔？」
,,,,,,,,
Dialog.Chapter3-1-26,エレナ,「……猫宮さんですか…？……あなたが連絡してくるとは珍しいですね…。」,「……猫宮さんですか…？……あなたが連絡してくるとは珍しいですね…。」,「……是貓宮小姐嗎……？……您會主動聯絡，還真是少見……。」,"""...... are you Ms.Nekomiya...? It's unusual for ...... you to contact me...""","""Nekomiya? It's rare to hear from you.""",「……네코미야 양입니까…? ……당신이 연락해 오다니 드문 일이군요….」,「……是猫宫小姐吗……？……您会主动联络，还真是少见……。」
,,,,,,,,
Dialog.Chapter3-1-27,,そして立体ホログラム映像が映し出される,そして立体ホログラム映像が映し出される,隨後，立體全息影像被投射了出來。,Then a three-dimensional holographic image is projected.,A three-dimensional hologram started playing.,그리고 입체 홀로그램 영상이 비친다,随后，立体全息影像被投射了出来。
,,,,,,,,
Dialog.Chapter3-1-28,京(制服　通信),「こほん、やぁ久しぶりエレナ。元気でやってる？」,「こほん、やぁ久しぶりエレナ。元気でやってる？」,「咳咳，好久不見，艾蓮娜。最近還好嗎？」,"""Hey, Erena, how are you doing?""","""Ahem. Long time no see, Elena. How are you?""","「크흠, 오랜만이야 엘레나. 잘 지내?」",「咳咳，好久不见，艾莲娜。最近还好吗？」
,,,,,,,,
Dialog.Chapter3-1-29,エレナ,「ええお陰様で……ところであなたはそろそろ学園に来たらどうですか…？……、今日で40日連続不登校なようですが」,「ええお陰様で……ところであなたはそろそろ司令部に顔を出したらどうですか？既に半年以上誰も貴女と接触が出来ていません。」,「託您的福一切順利…話說，您是不是也差不多回司令部該露個面了？已經超過半年沒有人能聯絡上您了。」,"""Yes thanks to you. By the way why don't you come to the school ...? You've been away from school for 40 days straight today.""","""Fine, thank you... How about finally showing up at the Command Center? No one here has had any contact with you for six months now.""",「네 덕분에…… 그런데 당신은 슬슬 사령부에 얼굴을 비추는 게 어떻습니까? 이미 반년 이상 아무도 당신과 접촉하지 못했습니다.」,「托您的福一切顺利…话说，您是不是也差不多回司令部该露个面了？已经超过半年没有人能联络上您了。」
,,,,,,,,
Dialog.Chapter3-1-30,京,「あーもうそんなに。まあ公欠にしといてよ。今は聖核戦姫のエネルギーの研究とかで忙しいんだよね」,「あーもうそんなに。まあ公欠にしといてよ。今は聖核エネルギーの研究とかで忙しいんだよね」,「啊，已經過那麼久了啊。就當作公假幫我記一下嘛。現在我正忙著研究聖核能源之類的東西呢。」,"""Oh, no, not so much. Well, leave it as a public absence. I'm busy researching energy for the Seikaku Princess.""","""Ah, well... Just think of me as on official leave. I'm busy with Holy Core energy research right now.""",「아~ 벌써 그렇게 됐나. 뭐 공결로 해둬. 지금은 성핵 에너지 연구 같은 걸로 바쁘거든」,「啊，已经过那么久了啊。就当作公假帮我记一下嘛。现在我正忙着研究圣核能源之类的东西呢。」
,,,,,,,,
Dialog.Chapter3-1-31,エレナ,「……まあいいでしょう。あなたには設備とかいろいろと世話になったので」,「……まあいいでしょう。あなたにはいろいろとお世話になったので」,「……算了，好吧。畢竟我也受過你不少照顧。」,"""......Well, that's okay. You've taken care of our equipment and everything.""","""I suppose so. After all, we do owe you big time.""",「……뭐 좋습니다. 당신에게는 여러 가지로 신세를 졌으니」,「……算了，好吧。毕竟我也受过你不少照顾。」
,,,,,,,,
Dialog.Chapter3-1-32,エレナ,「それで、何の用があって私に電話をかけてきたのですか？」,「それで、何の用があって私に電話をかけてきたのですか？」,「那麼，您打電話給我是有什麼事呢？」,"""So, what brings you to call me?""","""So why did you call me for?""","「그래서, 무슨 용무로 저에게 전화를 걸었습니까?」",「那么，您打电话给我是有什么事呢？」
,,,,,,,,
Dialog.Chapter3-1-33,京,「近いうちに財団に対して生徒会は大規模な攻撃をするでしょ？」,「……司令部は近いうちに財団に対して大規模な攻撃をするでしょ？」,「……司令部最近不是打算對財團發動大規模攻擊嗎？」,"""In the near future, the student council will launch a major attack against the Foundation, right?""","""...You're about to launch a large-scale attack on the Foundation soon, aren't you?""",「……사령부는 조만간 재단에 대해 대규모 공격을 할 거지?」,「……司令部最近不是打算对财团发动大规模攻击吗？」
,,,,,,,,
Dialog.Chapter3-1-34,エレナ,「………なぜ貴女がそれを知っているのですか…？先ほどの臨時生徒会で決まったばかりの事なのですが…」,「………なぜ貴女がそれを知っているのですか…？先ほどの臨時役員会で決まったばかりの事なのですが…」,「………妳為什麼會知道這件事…？這可是剛剛在臨時幹部會議上才決定的……」,"""......... How do you know that...? It was just decided at a special student council meeting...""","""...Why do you know that? We only just decided that at an urgent board meeting...""",「………왜 당신이 그것을 알고 있습니까…? 방금 전 임시 임원회에서 막 결정된 일입니다만…」,「………你为什么会知道这件事…？这可是刚刚在临时干部会议上才决定的……」
,,,,,,,,
Dialog.Chapter3-1-35,京,「まあ財団については私の監視対象の一つだからね。最近の行動から推測するに、そろそろ生徒会が動くんじゃないかなって」,「まあ財団については私の監視対象の一つだからね。最近の行動から推測するに、そろそろ司令部が動くんじゃないかなって」,「嗯，墮落財團本來就是我的監視對象之一。從他們最近的行動來看，我就推測——司令部差不多也該開始行動了。」,"""'Well, as for the Foundation, it's one of the things I've been keeping an eye on. Based on recent activity, I'm guessing that it's time for the student council to make a move.""","""Foundation is one of the things that I'm keeping my eyes on. Based on their recent movements, I figured the Command Center would do something soon.""","「뭐 재단에 대해서는 나의 감시 대상 중 하나니까. 최근 행동으로 추측하건대, 슬슬 사령부가 움직이지 않을까 해서」",「嗯，堕落财团本来就是我的监视对象之一。从他们最近的行动来看，我就推测——司令部差不多也该开始行动了。」
,,,,,,,,
Dialog.Chapter3-1-36,エレナ,「相変わらず察しがいいですね……。その通りです。今から一週間後、生徒会の全戦力を持って残党の地下アジトを一掃します」,「相変わらず察しがいいですね……。その通りです。今から一週間後、ホーリーコア・レギオン司令部の全戦力を持って残党の地下アジトを一掃します」,「您一如既往很敏銳呢……。沒錯。從現在起一週後，我們會動員『聖核軍團』司令部的全部戰力，把殘黨的地下基地徹底掃平。」,"""You are as perceptive as ever. ...... That's right. One week from now, we will wipe out the underground hideouts of the remnants with the full might of the student council.""","""Observant as usual... Indeed. One week from now, the entire Holy Core Legion Command Center will descend on the secret headquarters of the remnants.""","「여전히 눈치가 빠르시군요……. 그 말대로입니다. 지금부터 일주일 후, 홀리코어 레기온 사령부의 전 전력을 동원하여 잔당의 지하 아지트를 일소할 겁니다」",「您一如既往很敏锐呢……。没错。从现在起一周后，我们会动员圣核军团司令部的全部战力，把残党的地下据点彻底扫平。」
,,,,,,,,
Dialog.Chapter3-1-37,京,「……う～ん、なんていうかな。これは私の直感なんだけど…その作戦考え直した方がいいかも」,「……う～ん、なんていうかな。これは私の直感なんだけど…その作戦考え直した方がいいかも」,「……嗯——該怎麼說呢。這是我的直覺啦……那個作戰還是重新考慮一下比較好。」」,"""...... hmmm, what can I say. This is just my gut feeling... but maybe you should rethink that strategy.""","""Hmmm. How do I say this... It's just a hunch, but you should probably reconsider.""","「……음~, 뭐라고 할까. 이건 내 직감인데… 그 작전 다시 생각하는 게 좋을지도」",「……嗯——该怎么说呢。这是我的直觉啦……那个作战还是重新考虑一下比较好。」」
,,,,,,,,
Dialog.Chapter3-1-38,,「いや、そうでなくても生徒会長が帰ってくるまで様子を見た方がいい気がする」,「いや、そうでなくてもレギオンの総司令が帰ってくるまで様子を見た方がいい気がする」,「不，就算不是那樣，我覺得還是等軍團的總司令回來之前，先觀望一下情況比較好。」,"""'No, even if you didn't, I feel like I should wait and see how things go until the student council president gets back.'""","""Actually, scratch that. I think it would be better to wait until the Legion's Commander returns before you take action.""","「아니, 그렇지 않더라도 레기온 총사령관이 돌아올 때까지 상황을 보는 게 좋을 것 같아」",「不，就算不是那样，我觉得还是等军团的总司令回来之前，先观望一下情况比较好。」
,,,,,,,,
Dialog.Chapter3-1-39,エレナ,「……生徒会長を？財団の残党ごときにあの大きな戦力が必要だと？」,「……総司令を？財団の残党ごときにあの大きな戦力が必要だと？」,「……總司令？對付區區財團的殘黨也需要那麼大的戰力嗎？」,"""...... the student council president? You think we need a force that big for what's left of the Foundation?""","""The Commander? Do we need that kind of power to deal with what's left of the Foundation?""",「……총사령관을? 재단 잔당 따위에 그 큰 전력이 필요하다고요?」,「……总司令？对付区区财团的残党也需要那么大的战力吗？」
,,,,,,,,
Dialog.Chapter3-1-40,京,「まあ正面から戦えばエレナ一人でも半日もあれば壊滅させられると思うけど…」,「まあ正面から戦えばエレナ一人でも半日もあれば壊滅させられると思うけど…」,「嘛，如果正面交戰的話，我覺得就算只派艾蓮娜一個人，半天內也能把他們殲滅吧……」,"""Well, if we fight them head-on, I think Erena alone could destroy them in half a day...""","""If you confront them head-on, I bet you can devastate them in less than a day.""",「뭐 정면으로 싸우면 엘레나 혼자라도 반나절이면 괴멸시킬 수 있다고 생각하지만…」,「嘛，如果正面交战的话，我觉得就算只派艾莲娜一个人，半天内也能把他们歼灭吧……」
,,,,,,,,
Dialog.Chapter3-1-41,,「少なくとも最近の財団の行動パターンは明らかに以前と違う。新人とはいえ聖核戦姫が誘拐されるなんてことはこれまで無かったし」,「少なくとも最近の財団の行動パターンは明らかに以前と違う。新人とはいえ聖核戦姫が誘拐されるなんてことはこれまで無かったし」,「至少最近財團的行動模式明顯和以前不同。雖説只是新人，聖核戰姫被綁架這種事以前從來沒有發生過。」,"""But the Foundation's recent pattern of behavior is clearly different from what it used to be. There has never been a kidnapping of the Seikaku Princess, even though she is a newcomer.""","""But the Foundation's recent actions have been very different from before. I mean, they haven't attempted to kidnap a Holy Core Battlemaiden before. I know she's new, but still...""",「적어도 최근 재단의 행동 패턴은 명백히 이전과 달라. 신인이라고는 해도 성핵전희가 유괴되는 일은 지금까지 없었고」,「至少最近财团的行动模式明显和以前不同。虽说只是新人，圣核战姫被绑架这种事以前从来没有发生过。」
,,,,,,,,
Dialog.Chapter3-1-42,,「……こういうのは追い詰められた時が一番恐ろしいっていうし。確実に仕留められるまで準備した方がいい」,「……こういうのは追い詰められた時が一番恐ろしいっていうし。確実に仕留められるまで準備した方がいい」,「……不是都說，人被逼到絕境的時候才是最可怕的嗎。我們還是準備到能確實解決掉他們為止比較好。」,"""They say these people are the most terrifying when they're cornered. You better be prepared until you're sure you've got them.""","""When you leave them with no other options, they might get really serious. I think it's better if you prepare until you're more than certain that you can wipe them out.""",「……이런 건 궁지에 몰렸을 때가 가장 무섭다고 하잖아. 확실히 끝낼 수 있을 때까지 준비하는 게 좋아」,「……不是都说，人被逼到绝境的时候才是最可怕的吗。我们还是准备到能确实解决掉他们为止比较好。」
,,,,,,,,
Dialog.Chapter3-1-43,エレナ,「…心配のし過ぎでは？あの小さな組織にこちらの全戦力を投入するのです。むしろ過剰戦力でしょう」,「…心配のし過ぎでは？あの小さな組織にこちらの全戦力を投入するのです。むしろ過剰戦力でしょう」,「……您未免也太多慮了吧？我們可是要把這邊的全部戰力投入到那個小小的組織上耶。嚴格說起來這是過剩戰力了吧。」,"""You worry too much, don't you? We are going to put all our forces into that small organization. It's more like overstrength.""","""Aren't you overthinking it? Throwing everything we have at that puny organization? That's overkill.""",「…걱정이 지나친 것 아닙니까? 저 작은 조직에 이쪽의 전 전력을 투입하는 겁니다. 오히려 과잉 전력이겠죠」,「……您未免也太多虑了吧？我们可是要把这边的全部战力投入到那个小小的组织上耶。严格说起来这是过剩战力了吧。」
,,,,,,,,
Dialog.Chapter3-1-44,,「そして生徒会長不在時に起きた問題は私の責任で対処します」,「そして総司令不在時に起きた問題は私の責任で対処します」,「而且總司令不在期間發生的問題，全都由我負責處理。」,"""And any problems that arise in the absence of the student council president are my responsibility to deal with.""","""It'll be my responsibility for anything that happens while the Commander is away.""",「그리고 총사령관 부재 시에 일어난 문제는 제 책임으로 대처합니다」,「而且总司令不在期间发生的问题，全都由我负责处理。」
,,,,,,,,
Dialog.Chapter3-1-45,,「生徒会長に比べて、私では財団相手に力不足でしょうか？」,「総司令に比べて、私では財団相手に力不足でしょうか？」,「跟總司令相比，難道由我來應付財團還不夠格嗎？」,"""Am I not a strong enough opponent for the Foundation compared to the student council president?""","""Compared to the Commander, am I not good enough to fight the Foundation?""","「총사령관과 비교하면, 저로서는 재단 상대로 힘이 부족하다는 건가요?」",「跟总司令相比，难道由我来应付财团还不够格吗？」
,,,,,,,,
Dialog.Chapter3-1-46,京,「…まあ、エレナの強さは全然うたがってないけどさ…」,「…まあ、エレナの強さは全然うたがってないけどさ…」,「……嘛，我倒是完全不懷疑艾蓮娜的實力啦……」,"""Well, I'm not at all doubting Erena's strength...""","""I'm not doubting your strength, but...""","「…뭐, 엘레나의 강함은 전혀 의심하지 않지만…」",「……嘛，我倒是完全不怀疑艾莲娜的实力啦……」
,,,,,,,,
Dialog.Chapter3-1-47,,その時、ピコンという音と共に執務室のモニターに連絡が入る,その時、ピコンという音と共に司令部のモニターに連絡が入る,這時，伴隨著「叮」的一聲，司令部的螢幕上跳出了聯絡畫面。,"At that moment, a beeping sound is heard on the monitor in the office.",The monitor of the Command Center beeped with a message from them.,"그때, 삐콘 하는 소리와 함께 사령부 모니터에 연락이 들어온다",这时，伴随着「叮」的一声，司令部的萤幕上跳出了联络画面。
,,,,,,,,
Dialog.Chapter3-1-48,エレナ,「―――――！すみません、京さん。理事長から呼び出しがありました。そろそろ会話を終了します」,「―――――！すみません、京さん。レギオンの後援議員から呼び出しがありました。そろそろ会話を終了します」,「——！不好意思，京小姐。我這邊收到軍團後援議員的召見通知了。差不多該結束通話了。」,"""―――――! Excuse me, Kei-san. I have received a call from the board chairman. It's time to end this conversation.""","""...Sorry, Kei. The logistics legislator from Legion is calling me. I need to go.""","「―――――! 죄송합니다, 케이 양. 레기온의 후원 의원으로부터 호출이 있었습니다. 슬슬 대화를 종료하겠습니다」",「——！不好意思，京小姐。我这边收到军团后援议员的召见通知了。差不多该结束通话了。」
,,,,,,,,
