Key,Comment,Japanese,English,Traditional Chinese,Simplified Chinese,Japanese_Steam,English_Steam,Traditional Chinese_Steam,Simplified Chinese_Steam,Korean_Steam
Dialog.Tutorial-1-6,【005号】,「これから貴方の補佐と警護を担当します、秘密結社【フォーレン財団】所属、クローン戦闘員005号です。5号とお呼びください。」,"「I am the clone fighter 005 of the secret society ""Forren Foundation"", please call me 005.」",「我是現在開始擔任您的助理兼保安的、秘密結社【福倫財團】所屬、克隆戰斗員005號。請稱呼我為5號。」,「我是现在开始担任您的助理兼保安的、秘密结社【福伦财团】所属、克隆战斗员005号。请称呼我为5号。」,「これから貴方の補佐と警護を担当します、秘密結社【フォーレン財団】所属、クローン戦闘員005号です。5号とお呼びください。」,"""I am Clone Soldier 005 from the Forren Foundation, a secret organization. I will be your adviser and bodyguard from now on. Please call me 005.""",「我從現在開始擔任您的助理兼保鑣，所屬秘密結社【墮落財團】－－克隆戰鬥員005號。請稱呼我為5號。」,「我从现在开始担任您的助理兼保镳，所属秘密结社【堕落财团】－－克隆战斗员005号。请称呼我为5号。」,"「지금부터 당신의 보좌와 경호를 담당합니다, 비밀결사 【폴른 재단】 소속, 클론 전투원 005호입니다. 5호라고 불러주십시오.」"
Dialog.Tutorial-1-7,,「――貴方の事はなんとお呼びすればいいでしょうか？」,「What should I call you?」,「請問該怎麼稱呼您？」,「请问该怎么称呼您？」,「――貴方の事はなんとお呼びすればいいでしょうか？」,"""How should I address you?""",「請問該怎麼稱呼您？」,「请问该怎么称呼您？」,「――귀하를 어떻게 호칭하면 되겠습니까?」
,,,,,,,,,,
Choice.Tutorial-1-7(1),【選択肢】SEL1,「…」,「...」,「…」,「…」,「…」,"""...""",「…」,「…」,「…」
Choice.Tutorial-1-7(2),【選択肢】SEL2,「好きに呼んでもらって構わない。」,「Whatever you want.」,「隨便你。」,「随便你。」,「好きに呼んでもらって構わない。」,"""Whatever you want.""",「隨便你。」,「随便妳。」,「마음대로 불러도 상관없다.」
,,,,,,,,,,
Dialog.Tutorial-1-8,【005号】,「では“ドクター”と呼ばせていただきます。」,"「Well, I will call you 'Doctor.'」",「那麼，請容我稱呼您為”博士”。」,「那么，请容我称呼您为”博士”。」,「では『ドクター』と呼ばせていただきます。」,"""I shall call you 'Doc.'""",「那麼，請容我稱呼您為『博士』。」,「那么，请容我称呼您为”博士”。」,「그럼 “닥터”라고 부르겠습니다.」
,,,,,,,,,,
Dialog.Tutorial-1-9,,「―――それでは早速私達の支部のアジトに案内します。」,「―――Let me take you to our branch's hideout.」,「―――那麼請讓我帶您去財團的隱蔽點。」,「―――那么请让我带您去财团的隐蔽点。」,「―――それでは早速私達の支部のアジトに案内します。」,"""Let us hurry to our branch hideout.""",「―――那麼請讓我帶您去財團的基地。」,「―――那么请让我带您去财团的基地。」,「―――그럼 바로 저희 지부의 아지트로 안내하겠습니다.」
,,,,,,,,,,
Dialog.Tutorial-1-10,,暗闇の中、更に複雑な道を通り5号の背中についていく,"In the dark, I follow the back of 005 through more complicated paths.",在黑暗中，我沿著5號的身影在複雜的道路中穿梭。,在黑暗中，我沿著5号的身影在复杂的道路中穿梭。,暗闇の中、更に複雑な道を通り5号の背中についていく,"In the dark, the silhouette followed 005 through a series of complex passages.",在黑暗中，我沿著5號的身影在複雜的道路中穿梭。,在黑暗中，我沿著5号的身影在复杂的道路中穿梭。,"어둠 속, 더욱 복잡한 길을 지나 5호의 등을 따라간다"
,,,,,,,,,,
,背景：ホーム,,,,,,,,,
Dialog.Tutorial-1-11,【005号】,「―――ここが我々フォーレン財団のアジトです。」,"「―――This is where we, the Forren Foundation, live.」",「―――這裡就是我們福倫財團的據點。」,「―――这里就是我们福伦财团的据点。」,「―――ここが我々フォーレン財団のアジトです。」,"""This is Forren Foundation's hideout.""",「―――這裡就是我們墮落財團的基地。」,「―――这里就是我们堕落财团的基地。」,「―――여기가 저희 폴른 재단의 아지트입니다.」
,,,,,,,,,,
Choice.Tutorial-1-11(1),【選択肢】SEL,「…アジトにしては随分と閑散としているな…。」,「It's pretty deserted for a hideout...」,「…作為據點好像有點荒蕪啊…。」,「…作为据点好像有点荒芜啊…。」,「…アジトにしては随分と閑散としているな…。」,"""For a secret hideout, this place looks way too empty.""",「…作為基地好像有點荒蕪啊…。」,「…作为基地好像有点荒芜啊…。」,「…아지트치고는 꽤 썰렁하군….」
,,,,,,,,,,
Dialog.Tutorial-1-12,【005号】,「…組織に人手が足りないのでドクターのような研究者にもこんな現場の管理の仕事が回って来たわけです。」,"「...The organization is understaffed, so a researcher like Doctor has been given this kind of field management job.」",「…由於組織嚴重的人手不足，所以連像博士這樣的研究人員也被安排了據點的管理工作。」,「…由于组织严重的人手不足，所以连像博士这样的研究人员也被安排了据点的管理工作。」,「…組織に人手が足りないのでドクターのような研究者にもこんな現場の管理の仕事が回って来たわけです。」,"""...We don't have enough people, which is why a researcher like you is here to manage this place.""",「…由於組織嚴重的人手不足，所以連像博士這樣的研究人員也被安排了據點的管理工作。」,「…由于组织严重的人手不足，所以连像博士这样的研究人员也被安排了据点的管理工作。」,「…조직에 인력이 부족하여 닥터 같은 연구자에게도 이런 현장 관리 업무가 돌아온 것입니다.」
,,,,,,,,,,
Dialog.Tutorial-1-13,,「ご存じないかもしれませんが、組織の状況は非常に悪いです。もはや壊滅寸前、今すぐに状況を打開しなければ組織に未来はないでしょう。」,"「You may not know this, but the organization is in very bad shape. We are on the verge of destruction, and if we don't get out of this situation now, there will be no future us.」",「您可能已經知道了、組織現在的狀態非常糟糕。如果不立刻解決問題，我們組織沒有未來。」,「您可能已经知道了、组织现在的状态非常糟糕。如果不立刻解决问题，我们组织没有未来。」,「ご存じないかもしれませんが、組織の状況は非常に悪いです。もはや壊滅寸前、今すぐに状況を打開しなければ組織に未来はないでしょう。」,"""Perhaps you aren't aware, but the Foundation is in very bad shape. Close to shutting down, in fact. If we can't get out of this mess, there is no future for us.""",「相信您應該已經知道，目前組織狀態非常糟糕。如果不立刻解決問題，組織將會沒有未來。」,「您可能已经知道了、组织现在的状态非常糟糕。如果不立刻解决问题，我们组织没有未来。」,"「모르실 수도 있겠습니다만, 조직의 상황은 매우 나쁩니다. 이미 괴멸 직전, 지금 당장 상황을 타개하지 않으면 조직에 미래는 없을 것입니다.」"
,,,,,,,,,,
Dialog.Tutorial-1-14,,「―――そして私たちの組織が直面している最大の問題がこちらです」,「――― and here is the biggest problem we're currently facing.」,「―――然後組織現在面對的最大問題就是這個」,「―――然后组织现在面对的最大问题就是这个」,「―――そして私たちの組織が直面している最大の問題がこちらです」,"""And this is the biggest issue we are currently facing.",「―――然後組織現在面對的最大問題就是這個」,「―――然后组织现在面对的最大问题就是这个」,「―――그리고 저희 조직이 직면한 가장 큰 문제가 이쪽입니다」
,,,,,,,,,,
,ここからチュートリアル戦闘画面,,,,,,,,,
,,,,,,,,,,
Dialog.Tutorial-1-15,,モニターに一つの映像が映し出される,An image appears on the monitor.,熒幕開始顯示影像,荧幕开始显示影像,モニターに一つの映像が映し出される,A video plays on the screen.,螢幕開始播放影像,荧幕开始显示影像,모니터에 하나의 영상이 비친다
,,,,,,,,,,
Dialog.Tutorial-2-1,【005号】,「これは先日発生した私達の部隊の戦闘の様子です。」,「This is a picture of a battle that occurred the other day.」,「這是之前發生的戰鬥的記錄影像。」,「这是之前发生的战斗的记录影像。」,「これは先日発生した私達の部隊の戦闘の様子です。」,"""This is a battle that our soldiers partook in a few days ago.""",「這是之前發生的戰鬥的記錄影像。」,「这是之前发生的战斗的记录影像。」,「이것은 얼마 전 발생한 저희 부대의 전투 모습입니다.」
,,,,,,,,,,
Dialog.Tutorial-2-2,【触手怪人】【戦闘員】,「「クソッ　敵は小娘二人だ！お前たち何をやっている！」」,"「Damn it, aren’t the enemy just two little girls!? What the hell are you guys doing!」",「「可惡，敵人不就是兩個姑娘嗎！你們到底在幹什麼？」」,「「可恶，敌人不就是两个姑娘吗！你们到底在干什么？」」,「「クソッ　敵は聖核戦姫二人だ！お前たち何をやっている！」」,"""'There are just two Holy Core Battlemaidens! What are you doing?'""",「「可惡，敵人不就是兩個姑娘嗎！你們到底在幹什麼？」」,「「可恶，敌人不就是两个姑娘吗！你们到底在干什么？」」,"「「크윽, 적은 성핵전희 두 명이다! 너희들 뭘 하고 있는 거냐!」」"
,,,,,,,,,,
Dialog.Tutorial-2-3,【???(明穂)】,「ほらほら～！そんなんじゃ私達には勝てないよっ！」,「Hey! You can never beat us just like that!」,「喂喂喂～！這樣下去的話是贏不了我們的喲！」,「喂喂喂～！这样下去的话是赢不了我们的哟！」,「ほらほら～！そんなんじゃ私達には勝てないよっ！」,"""You can't beat us like that!""",「喂喂喂～！這樣下去的話是贏不了我們的喲！」,「喂喂喂～！这样下去的话是赢不了我们的哟！」,「자자~! 그래선 우리한테 못 이겨!」
,,,,,,,,,,
Dialog.Tutorial-2-4,【???(六花)】,「明穂、油断し過ぎ。遊びじゃないんだから…」,"「Akiho, you are too careless. This is not a game...」",「明穗、太過大意了。我們不是在玩耍…」,「明穗、太过大意了。我们不是在玩耍…」,「明穂、油断し過ぎ。遊びじゃないんだから…」,"""Akiho, don't let your guard down. This is not a game!""",「明穗，太過粗心了。我們可不是在玩耍…」,「明穗，太过大意了。我们不是在玩耍…」,"「아키호, 너무 방심하고 있어. 노는 게 아니라니까…」"
,,,,,,,,,,
Dialog.Tutorial-2-5,【明穂】,「ふふっ、ごめんごめん。でも六花と私ならこんな奴らに負けるわけないよねっ！」,"「Pfft, sorry, sorry. But with Rikka and I, there's no way we can lose to these guys!」",「哈哈、不好意思啦。但是我和六花不可能會輸給這樣的對手啦！」,「哈哈、不好意思啦。但是我和六花不可能会输给这样的对手啦！」,「ふふっ、ごめんごめん。でも六花と私ならこんな奴らに負けるわけないよねっ！」,"""Heh, sorry. But Rikka, there's no way the two of us will lose!""",「哈哈，不好意思啦。但是我和六花不可能會輸給這樣的對手啦！」,「哈哈，不好意思啦。但是我和六花不可能会输给这样的对手啦！」,"「후훗, 미안 미안. 하지만 릿카랑 내가 있으면 이런 녀석들한테 질 리가 없잖아!」"
,,,,,,,,,,
Dialog.Tutorial-2-6,【六花】,「…まあそれはそう。よし明穂、一気に残りを片付けようか」,"「Well, I can't disagree. All right, Akiho, let's get the rest done in one fell swoop.」",「…也是。好了明穗、一口氣將剩下的都解決掉吧」,「…也是。好了明穗、一口气将剩下的都解决掉吧」,「…まあそれはそう。よし明穂、一気に残りを片付けようか」,"""...That's true. Let's take care of this quickly!""",「…也是。好了明穗，一口氣將剩下的都解決掉吧」,「…也是。好了明穗，一口气将剩下的都解决掉吧」,"「…뭐, 그건 그렇지. 좋아 아키호, 단숨에 나머지를 처리하자.」"
,,,,,,,,,,
Dialog.Tutorial-2-7,【触手怪人】,「グゥッ、小娘共が調子に乗りおって！返り討ちにしてくれるわっ！」,"「Gosh, you little pussies are getting carried away! I'm going to get back at you!」",「唔、小姑娘們竟然敢小瞧我們！讓你知道我的厲害！」,「唔、小姑娘们竟然敢小瞧我们！让你知道我的厉害！」,「グゥッ、コスプレ女共が調子に乗りおって！返り討ちにしてくれるわっ！」,"""Don't get too cocky, you cosplayers! We'll get you!""",「唔、小姑娘們竟然敢小瞧我們！讓妳知道我的厲害！」,「唔、小姑娘们竟然敢小瞧我们！让你知道我的厉害！」,"「크으윽, 코스프레 계집들이 까불기는! 네년들을 박살 내주마!」"
,,,,,,,,,,
,,【戦闘開始】,【戦闘開始】,【戦闘開始】,【戦闘開始】,【戦闘開始】,[Combat Starts],【戰鬥開始】,【战斗开始】,【전투 시작】
Dialog.Tutorial-3-1,,戦闘の基本の説明します。,Let's talk about the basics of combat,現在開始說明基本的戰鬥系統。,现在开始说明基本的战斗系统。,戦闘の基本の説明します。,Here are the combat basics.,現在開始說明基本的戰鬥系統。,现在开始说明基本的战斗系统。,전투의 기본 설명을 하겠습니다.
Dialog.Tutorial-3-2,,本作の戦闘システムは、ターン制のコマンドバトルとなっています。,The combat system in this game is a turn-based command battle,本作品的戰斗是回合製的指令型系統。,本作品的战斗是回合制的指令型系统。,本作の戦闘システムは、ターン制のコマンドバトルとなっています。,This game features a turn-based command combat sytem.,本作品的戰鬥是回合製的指令型系統。,本作品的战斗是回合制的指令型系统。,"본 게임의 전투 시스템은, 턴제 커맨드 배틀입니다."
Dialog.Tutorial-3-3,,順番は行動速度によって決まり、行動速度が高いキャラから行動を選択できます。,Character's action order is determined by their speed stat,角色的行動順序由角色的速度決定、由行動速度高的角色開始行動。,角色的行动顺序由角色的速度决定、由行动速度高的角色开始行动。,順番は行動速度によって決まり、行動速度が高いキャラから行動を選択できます。,"The order is determined by speed, so characters with higher speed will take actions first.",角色的行動順序由角色的速度決定、由行動速度高的角色開始行動。,角色的行动顺序由角色的速度决定、由行动速度高的角色开始行动。,"순서는 행동 속도에 따라 정해지며, 행동 속도가 높은 캐릭터부터 행동을 선택할 수 있습니다."
Dialog.Tutorial-3-4,,キャラクターが取れる行動は4種類あります。,There are four types of actions a character can take,角色能進行的指令有四種。,角色能进行的指令有四种。,キャラクターが取れる行動は4種類あります。,There are 4 actions to choose from.,角色能進行的指令有四種。,角色能进行的指令有四种。,캐릭터가 취할 수 있는 행동은 4종류입니다.
Dialog.Tutorial-3-5,,「攻撃」基本的な攻撃手段です。攻撃者と相手のレベルでダメージが影響されます。,[Attack] is the basic means of attack. Damage is also affected by the level different of the attacker and the opponent.,「攻撃」基本的攻擊手段。攻擊者和目標的等級差距會影響傷害值。,「攻撃」基本的攻击手段。攻击者和目标的等级差距会影响伤害值。,「攻撃」基本的な攻撃手段です。攻撃者と相手のレベルでダメージが影響されます。,"""Attack"": Launches a simple attack at the enemy. Damage is determined by the attacker's level and the target's level.",「攻擊」基本的攻擊手段。攻擊者和目標的等級差距會影響傷害值。,「攻撃」基本的攻击手段。攻击者和目标的等级差距会影响伤害值。,「공격」 기본적인 공격 수단입니다. 공격자와 상대의 레벨에 따라 데미지가 영향받습니다.
Dialog.Tutorial-3-6,,今回は相手の方が圧倒的にレベルが上なので、あまりダメージを与えられないでしょう。,"This time, the opponent is much higher level than you, so you will not be able to do much damage",這次的對手等級比你們高很多、應該造成不了多少傷害。,这次的对手等级比你们高很多、应该造成不了多少伤害。,今回は相手の方が圧倒的にレベルが上なので、あまりダメージを与えられないでしょう。,"The target's level is very high, so the attacker will deal very little damage.",這次的對手等級高非常多，應該造成不了多少傷害。,这次的对手等级高非常多，应该造成不了多少伤害。,"이번에는 상대 쪽이 압도적으로 레벨이 높으므로, 그다지 데미지를 줄 수 없을 것입니다."
Dialog.Tutorial-3-7,,「特殊技」SPを消費して、キャラクターの固有スキルを発動できます。,[Skill] SP can be consumed to activate a character's unique skills,「特殊技」消費SP、發動角色的固有技能。,「特殊技」消费SP、发动角色的固有技能。,「特殊技」SPを消費して、キャラクターの固有スキルを発動できます。,"""Special"": Triggers the character's special skill by spending SP.",「技能」消費SP，發動角色的固有技能。,「技能」消费SP，发动角色的固有技能。,"「특수」 SP를 소비하여, 캐릭터의 특수기 고유 스킬을 발동할 수 있습니다."
Dialog.Tutorial-3-8,,特殊技はレベルアップなどで習得できます。,Unique Skill can be learned by leveling up and other means,角色能通過升級來獲得新技能。,角色能通过升级来获得新技能。,特殊技はレベルアップなどで習得できます。,Specials can be learned after leveling up.,角色能通過升級來獲得新技能。,角色能通过升级来获得新技能。,특수기는 레벨 상승 등으로 습득할 수 있습니다.
Dialog.Tutorial-3-9,,「アイテム」はキャラのターンを消費して使用できます。,[Item] can be used by consuming a character's turn,「物品」消費角色的回合來使用物品。,「物品」消费角色的回合来使用物品。,「アイテム」はキャラのターンを消費して使用できます。,"""Items"": Use an item during the character's turn.",「物品」消費角色的回合來使用物品。,「物品」消费角色的回合来使用物品。,「도구」는 캐릭터의 턴을 소비하여 사용할 수 있습니다.
Dialog.Tutorial-3-10,,「待機」でSPを回復できます。,SP can be recovered by [Idle],「待機」能夠回復SP。,「待机」能够回复SP。,「待機」でSPを回復できます。,"""Pass"": Restores SP.",「待機」能夠回復SP。,「待机」能够回复SP。,「대기」로 SP를 회복할 수 있습니다.
Dialog.Tutorial-3-11,,ショートカットキーはそれぞれ「Ｚ」「Ｘ」「Ｃ」「Ｖ」となります。,"The shortcut key for each command are [Z], [X], [C] and [V]",指令的快捷鍵是「Ｚ」「Ｘ」「Ｃ」和「Ｖ」。,指令的快捷键是「Ｚ」「Ｘ」「Ｃ」和「Ｖ」。,ショートカットキーはそれぞれ「Ｚ」「Ｘ」「Ｃ」「Ｖ」となります。,"The shortcut keys are Z, X, C, and V, respectively.",指令的快捷鍵是「Ｚ」「Ｘ」「Ｃ」和「Ｖ」。,指令的快捷键是「Ｚ」「Ｘ」「Ｃ」和「Ｖ」。,단축키는 각각 「Ｚ」 「Ｘ」 「Ｃ」 「Ｖ」입니다.
Dialog.Tutorial-3-12,,では、実際に戦ってみましょう。,"Now, let's actually fight",那麼實際戰鬥看看吧！,那么实际战斗看看吧！,では、実際に戦ってみましょう。,Now let's return to combat.,那麼實際戰鬥看看吧！,那么实际战斗看看吧！,"그럼, 실제로 싸워봅시다."
,,【戦闘終了】,【戦闘終了】,【戦闘終了】,【戦闘终了】,【戦闘終了】,[Combat Ends],【戰鬥結束】,【战斗结束】,【전투 종료】
,,,,,,,,,,
Dialog.Tutorial-4-1,【触手怪人】【戦闘員】,「「「ぐはっ」」」,「「Gah!」」,「「「咕哈！！」」」,「「「咕哈！！」」」,「「「ぐはっ」」」,"""Ughhh!""",「「「咕哈！！」」」,「「「咕哈！！」」」,「「「크헉」」」
,,,,,,,,,,
Dialog.Tutorial-4-2,【明穂】,「あれ、もう終わり？あんなに威勢良かったのに…ちょっと残念」,"「Oh, is that it? You were so bossy... it's a bit of a shame.」",「嗯、這就完了嗎？明明剛才還那麼有氣勢的說…有點失望耶」,「嗯、这就完了吗？明明刚才还那么有气势的说…有点失望耶」,「あれ、もう終わり？あんなに威勢良かったのに…ちょっと残念」,"""Over already? You were so full of it... What a shame.""",「哎呀？這就結束了嗎？明明剛才還那麼有氣勢的說…有點失望耶」,「哎呀？这就完了吗？明明刚才还那么有气势的说…有点失望耶」,"「어라, 벌써 끝? 그렇게 기세등등하더니… 좀 아쉽네」"
,,,,,,,,,,
Dialog.Tutorial-4-3,【六花】,「最近出てくる怪人もどんどん弱くなってるし…もうわかったでしょ？あなた達じゃ私達には勝てない。そろそろ諦めた方がいい」,「The monsters that have been coming out lately are getting weaker and weaker... you should've figured that out already. You can't beat us. It's time to give up.」,「最近出現的怪人越來越弱了…你們已經明白了吧？你們是打不贏我們的。是時候放棄了吧」,「最近出现的怪人越来越弱了…你们已经明白了吧？你们是打不赢我们的。是时候放弃了吧」,「最近出てくる怪人もどんどん弱くなってるし…もうわかったでしょ？あなた達じゃ私達には勝てない。そろそろ諦めた方がいい」,"""The recent monsters were getting weaker too. You know what that means, right? You can't beat us, so just give up already.""",「最近出現的怪人越來越弱了…你們應該明白了吧？你們是打不贏我們的。是時候放棄吧」,「最近出现的怪人越来越弱了…你们已经明白了吧？你们是打不赢我们的。是时候放弃了吧」,「최근에 등장하는 괴인들도 점점 약해지고 있고… 이제 알았지? 당신들로는 우리에게 이길 수 없어. 슬슬 포기하는 게 좋아」
,,,,,,,,,,
Dialog.Tutorial-4-4,【明穂】,「まあ、また悪いことをしようとしても、私たちがもう一回懲らしめるだけなんだけどね☆」,"「Well, if they try to do something bad again, we'll just punish them one more time☆.」",「嘛，就算你們再嘗試做壞事，也就是再次被我們懲罰而已啦☆」,「嘛，就算你们再尝试做坏事，也就是再次被我们惩罚而已啦☆」,「まあ、また悪いことをしようとしても、私たちがもう一回懲らしめるだけなんだけどね☆」,"""And if you try to do bad things again, we'll just come back and punish you again.""",「嘛，就算你們再嘗試做壞事，也就是再次被我們懲罰而已啦☆」,「嘛，就算你们再尝试做坏事，也就是再次被我们惩罚而已啦☆」,"「뭐, 또 나쁜 짓하려고 해도, 우리가 다시 혼내줄 뿐이지만☆」"
,,,,,,,,,,
Dialog.Tutorial-4-5,【六花(制服)】,「そういうわけで…私たちは学校行くから」,「Anyways... we're going to school.」,「那就這樣…我們要去學校了」,「那就这样…我们要去学校了」,「そういうわけで…私たちは司令部に行くから」,"""And... We'll go to the Command Center.""",「那就這樣…我們要回司令部了」,「那就这样…我们要回去司令部了」,「그런 이유로… 우린 사령부로 갈 테니까」
,,,,,,,,,,
Dialog.Tutorial-4-6,【明穂(制服)】,「もう悪いことしちゃだめだよ～☆」,「Don't do anything bad again~ (wink)」,「不可以再做壞事了喔～☆」,「不可以再做坏事了喔～☆」,「もう悪いことしちゃだめだよ～☆」,"""So don't be bad!""",「不可以再做壞事了喔～☆」,「不可以再做坏事了喔～☆」,「이제 나쁜 짓하면 안 돼~☆」
,,,,,,,,,,
,映像終了,,,,,,,,,
,背景：ホーム画面,,,,,,,,,
Dialog.Tutorial-4-7,【005号】,「――――というのが私たちの組織の現状です。」,「―――― is the current status of our organization.」,「――――這就是我們組織的現狀。」,「――――这就是我们组织的现状。」,「――――というのが私たちの組織の現状です。」,"""...And that's where the organization stands.""",「――――這就是我們組織的現狀。」,「――――这就是我们组织的现状。」,「――――라는 것이 저희 조직의 현황입니다.」
Dialog.Tutorial-4-8,,「強い怪人は既にほとんど彼女たちに倒されました。」,「Most of the stronger monsters have already been defeated by them.」,「比較強的怪人已經幾乎被她們殲滅了。」,「比较强的怪人已经几乎被她们歼灭了。」,「強い怪人は既にほとんど彼女たちに倒されました。」,"""They have already defeated our powerful monsters.""",「比較強的怪人已經幾乎被她們殲滅了。」,「比较强的怪人已经几乎被她们歼灭了。」,「강한 괴인은 이미 거의 그녀들에게 쓰러졌습니다.」
Dialog.Tutorial-4-9,,「彼女達と同等の力を持った聖核戦姫が何人も存在し、中には一人で一国の支部を数時間で壊滅させるような圧倒的な強さを持つ聖核戦姫も存在します。」,"「There are a number of Holy Core Battlemaidenes who are as powerful as these women, some of whom are so overwhelmingly strong that a single person can destroy a country in a matter of hours.」",「擁有和她們匹敵的力量的聖核戰姬還有幾位、其中一人甚至擁有單憑一人滅掉整個組織支部的能力。」,「拥有和她们匹敌的力量的圣核战姬还有几位、其中一人甚至拥有单凭一人灭掉整个组织支部的能力。」,「彼女達と同等の力を持った聖核戦姫が何人も存在し、中には一人で一国の支部を数時間で壊滅させるような圧倒的な強さを持つ聖核戦姫も存在します。」,"""There are several other Holy Core Battlemaidens as powerful as them, and some of them have powers capable of devastating a country's branch in a matter of hours.""",「還有好幾位力量相同的聖核戰姬，而其中一位甚至單憑一人就可以滅掉整個組織分部的能力。」,「拥有和她们匹敌的力量的圣核战姬还有几位，其中一人甚至拥有单凭一人灭掉整个组织支部的能力。」,"「그녀들과 동등한 힘을 가진 성핵전희가 몇 명이나 존재하며, 중에는 혼자서 한 나라의 지부를 몇 시간 만에 괴멸시키는 압도적인 힘을 가진 성핵전희도 존재합니다.」"
,,,,,,,,,,
Dialog.Tutorial-4-10,005号,「ドクターへの本部からの指令は彼女ら聖核戦姫の殲滅です。彼女らを圧倒する怪人を作り、支部の再建を果たしてください」,"「Doctor, the order from headquarters to you is to destroy the Holy Core Battlemaidenes. Create a monster that can overwhelm them and rebuild the branch.」",「組織給博士您的任務是對聖核戰姬們的殲滅。請把她們打倒，建立怪人軍隊然後把支部重建起來。」,「组织给博士您的任务是对圣核战姬们的歼灭。请把她们打倒，建立怪人军队然后把支部重建起来。」,「ドクターへの本部からの指令は彼女ら聖核戦姫の殲滅です。彼女らを圧倒する怪人を作り、支部の再建を果たしてください」,"""The top brass wants you to destroy the Holy Core Battlemaidens by creating monsters that can overpower them, and then rebuild the branch.""",「組織給博士您的任務是對聖核戰姬們的殲滅。請把她們打倒，建立怪人軍隊然後把分部重新建立起來。」,「组织给博士您的任务是对圣核战姬们的歼灭。请把她们打倒，建立怪人军队然后把支部重建起来。」,"「닥터에게 내려진 본부의 지령은 그녀들, 성핵전희의 괴멸입니다. 그녀들을 압도하는 괴인을 만들어, 지부의 재건을 완수해 주십시오」"
,,,,,,,,,,
Dialog.Tutorial-4-10(1),,「……面白い」,「...... interesting.」,「……有趣」,「……有趣」,「……面白い」,"""...Intriguing.""",「……有趣」,「……有趣」,「……흥미롭군.」
,,,,,,,,,,
