 ,Comment,Japanese,Japanese_Steam,Traditional Chinese_Steam,Traditional Chinese,English,English_Steam,Korean_Steam,Simplified Chinese_Steam
Dialog.Chapter2-1-8,,六花は意を決して学園へ向かうのだった。,六花は意を決して司令部へ向かうのだった。,六花下定決心，朝著總部走去。,六花下定決心，朝著學園走去。,Rikka went to the school with all her heart.,Rikka made up her mind and headed for the Command Center.,릿카는 마음을 굳게 먹고 사령부로 향하는 것이었다.,六花下定决心，朝着总部走去。
,,,,,,,,,
Dialog.Chapter2-1-9,生徒会室,聖月女学園生徒会室にて,対怪人特殊防衛組織　“ホーリーコア・レギオン”司令部にて,在對怪人特殊防衛組織「聖核軍團」司令部——,聖月女學園學生會室內,In the Student Council Room at Seigetsu Girl Academy,"At the Command Center of Holy Core Legion, a special organization for combating monsters...",대 괴인 특수 방위 조직 “홀리코어 레기온” 사령부에서,在对怪人特殊防卫组织「圣核军团」司令部——
,,,,,,,,,
Dialog.Chapter2-1-10,エレナ,「――――――それで、1週間前から明穂さんの様子がおかしく、家にもいなかったと。話はそれで終わりですか？」,「――――――それで、1週間前から明穂さんの様子がおかしく、家にもいなかったと。話はそれで終わりですか？」,「――――――您是說，明穗小姐從一週前開始行蹤不明，家裡也找不到她。妳想說的就這麼多嗎？」,「――――――您是說，明穗同學從一週前開始行蹤不明，家裡也找不到她。你想説的就這麽多嗎？」,"「―――――― So, you said that Akiho had been acting strangely for a seedy period of time and was not at home. Is that the end of your story?」","""...So you're saying that Akiho has been acting strange since a week ago, and she hasn't been home? Is that it?""","「――――――그래서, 1주일 전부터 아키호 양의 상태가 이상하고, 집에도 없었다고. 이야기는 그걸로 끝인가요?」",「――――――您是说，明穗小姐从一周前开始行踪不明，家里也找不到她。妳想说的就这么多吗？」
,,,,,,,,,
Dialog.Chapter2-1-11,六花,「はい、エレナ先輩…。それで、どうにか生徒会の方で捜索隊を…！」,「はい、エレナ先輩…。それで、どうにか司令部の方で捜索隊を…！」,「是的，艾蓮娜前輩……所以，能不能請聖核軍團組織搜查隊……！」,「是的，艾蓮娜學姐……所以，能不能請學生會組織搜查隊……！」,"「Yes, Erena-senpai... Please make student council to get a search party...!」","""Yes, Elena. And... If the Command Center can launch a search party...""","「네, 엘레나 선배…. 그래서, 어떻게든 사령부 쪽에서 수색대를…!」",「是的，艾莲娜前辈……所以，能不能请圣核军团组织搜查队……！」
,,,,,,,,,
Dialog.Chapter2-1-12,エレナ,「…そうですか。」,「…そうですか。」,「…這樣啊。」,「…這樣啊。」,「I see.」,"""Right.""",「…그렇군요.」,「…这样啊。」
,,,,,,,,,
Dialog.Chapter2-1-13,,「…残念ですが、今はその件は対応できません。」,「…残念ですが、今はその件は対応できません。」,「…很遺憾，我們目前沒辦法處理這件事情。」,「…很遺憾，我們目前沒辦法處理這件事情。」,"「...I'm sorry, but I can't deal with that right now.」","""Unfortunately, we are unable to deal with that right now.""","「…유감이지만, 지금은 그 건에 대응할 수 없습니다.」",「…很遗憾，我们目前没办法处理这件事情。」
,,,,,,,,,
Dialog.Chapter2-1-14,六花,「っ、どうして！」,「っ、どうして！」,「為，為什麼！」,「為，為什麼！」,「Why?」,"""W-Why?""","「읏, 어째서죠!」",「为，为什么！」
,,,,,,,,,
Dialog.Chapter2-1-15,エレナ,「………時間が無いので簡潔に説明します。」,「………時間が無いので簡潔に説明します。」,「………我沒什麼時間，我就長話短說吧。」,「………我沒什麼時間，我就長話短說吧。」,「I'll try to keep this brief since I don't have much time for stuff like this.」,"""...I don't have a lot of time, so I'll make it simple.""",「………시간이 없으니 간결하게 설명하겠습니다.」,「………我没什么时间，我就长话短说吧。」
,,,,,,,,,
Dialog.Chapter2-1-16,,「私達聖月生徒会は財団以外にもやるべき仕事が多いのです…。私達は強大な力を持っているが故、ただ悪者を倒してヒーローごっこをしていればいいわけではありません。」,「私達司令部は財団以外にもやるべき仕事が多いのです…。私達は強大な力を持っているが故、ただ悪者を倒してヒーローごっこをしていればいいわけではありません。」,「我們聖核軍團除了對抗財團之外，還有許多必須處理的事務……因為我們擁有強大的力量，並不能只是單純地扮演英雄，打倒壞人而已。」,「我們聖月學生會除了對抗財團之外，還有許多必須處理的事務……正因為我們擁有強大的力量，並不能只是單純地扮演英雄，打倒壞人而已。」,"「We, the Seigetsu Student Council, have a lot of work to do besides the Foundation.... We are a powerful force, and it is not enough just to defeat the bad guys and play hero.」","""We at the Command Center has a lot of work in addition to dealing with the Foundation... We are very powerful, therefore we can't simply just play heroes and defeat the bad guys.""","「저희 사령부는 재단 외에도 해야 할 일이 많습니다…. 저희는 강대한 힘을 가졌기에, 그저 악당을 쓰러뜨리고 히어로 놀이를 하면 되는 것이 아닙니다.」",「我们圣核军团除了对抗财团之外，还有许多必须处理的事务……因为我们拥有强大的力量，并不能只是单纯地扮演英雄，打倒坏人而已。」
,,,,,,,,,
Dialog.Chapter2-1-17,,「それに、ここ聖月女学園は各地の聖核戦姫のグループの総本山であり、政治や経済、更に海外へも大きな影響力があります。」,「ホーリーコア・レギオンはもはやただの聖核戦姫の集まりではありません、政治や経済、更に海外へも大きな影響力があります。」,「此外，聖核軍團作為各地聖核戰姬的總部，對政治、經濟，甚至海外局勢都有著深遠的影響力。」,「此外，這座聖月女學園作為各地聖核戰姬的總部，對政治、經濟，甚至海外局勢都有著深遠的影響力。」,"「Moreover, this Academy is the headquarters of a group of Seikaku Princess from all over the world, and has great influence in politics, economics, and even abroad.」","""The Holy Core Legion is not just a place where Holy Core Battlemaidens gather. It has influence over politics, economy, and even overseas.""","「홀리코어 레기온은 이제 단순한 성핵전희의 모임이 아닙니다, 정치나 경제, 나아가 해외에도 큰 영향력이 있습니다.」",「此外，圣核军团作为各地圣核战姬的总部，对政治、经济，甚至海外局势都有着深远的影响力。」
,,,,,,,,,
Dialog.Chapter2-1-18,,「そして、もはやあの組織は壊滅寸前。生徒会長不在の今、その程度の事で昔のように財団ごときにかまっている時間は私達にはありません。」,「そして、もはやあの組織は壊滅寸前。総司令が不在の今、その程度の事で昔のように財団ごときにかまっている時間は私達にはありません。」,「而且，財團現在已經名存實亡了。現在總司令又不在，光是這種程度的事，我們已經沒有沒時間理他們。」,「更何況現在財團已經瀕臨滅絕了。在學生會長不在的現在，我們已經沒有閒工夫像從前那樣，把時間浪費在財團這種程度的小角色身上了。」,"「And now that Forren Foundation is on the verge of destruction. Without the student council president, we don't have the time to be bothered with them like we used to be.」","""And the Foundation is on the brink of falling apart anyway. With the Commander not here, we don't have time to focus on the Foundation over something so trivial like we used to do.""","「그리고, 이제 그 조직은 괴멸 직전. 총사령관이 부재중인 지금, 그 정도 일로 예전처럼 재단 따위에 신경 쓸 시간은 저희에게 없습니다.」",「而且，财团现在已经名存实亡了。现在总司令又不在，光是这种程度的事，我们已经没有没时间理他们。」
,,,,,,,,,
Dialog.Chapter2-1-19,六花,「っ、…その程度って！」,「っ、…その程度って！」,「…妳說 『這種程度』！」,「額、…你說 ‘這種程度’是什麼意思！」,「... what did you said?」,"""T-Trivial...""","「읏, …그 정도라뇨!」",「…妳说 『这种程度』！」
,,,,,,,,,
Dialog.Chapter2-1-20,エレナ,「…あらかた活動が辛くなってどこかで遊びまわっているのでは？いくら仲が良いとは言え心配のし過ぎではないでしょうか。」,「…あらかた活動が辛くなってどこかで遊びまわっているのでは？いくら仲が良いとは言え心配のし過ぎではないでしょうか。」,「…她或許只是覺得活動太累，跑到哪裡去玩了吧？就算妳們關係再好，也未免太過杞人憂天了。」,「…她或許只是覺得活動太累，跑到哪裡去玩了吧？就算你們關係再好，也未免太過杞人憂天了。」,"「...I suspect that all the activities have become too painful for her and she's are playing around somewhere. I think you are worrying too much, despite how close you two were.」","""Are you sure she's not just slacking off somewhere because the work has been too hard? I know you're good friends, but maybe you worry too much.""",「…대강 활동이 힘들어져서 어딘가에서 놀고 있는 건 아닌지? 아무리 사이가 좋다고는 하지만 걱정이 지나친 것 아닙니까.」,「…她或许只是觉得活动太累，跑到哪里去玩了吧？就算妳们关系再好，也未免太过杞人忧天了。」
,,,,,,,,,
Dialog.Chapter2-1-21,六花,「でもっ！明穂は―――」,「でもっ！明穂は―――」,「但是！明穗她———」,「但是！明穗她———」,「But..! No way Akiho is...」,"""But Akiho...""",「하지만! 아키호는―――」,「但是！明穗她———」
,,,,,,,,,
Dialog.Chapter2-1-22,エレナ,「……そうですね、しばらく六花さんは公休という事にしましょう。業務の手続きはこちらでしておくので、明穂さんの件は全て貴女に任せます。」,「……そうですね、しばらく六花さんは公休という事にしましょう。業務の手続きはこちらでしておくので、明穂さんの件は全て貴女に任せます。」,「……這樣吧，六花小姐您就先暫時放假吧。我們會處理相關的手續，明穗的事，就全權交給妳了。」,「……這樣吧，六花同學就先暫時放假吧。我們會處理相關的手續，明穗同學的事，就全權交給你了。」,"「I will leave everything to you. I'll take care of the business procedures here, so you can take care of everything regarding Akiho-san.」","""I see. Why don't you take some time off, then? We will deal with the paperwork so you can focus on finding Akiho.""","「……알겠어요, 당분간 릿카 양은 공무 휴가로 처리하죠. 업무 절차는 이쪽에서 해둘 테니, 아키호 양의 건은 전부 당신에게 맡기겠습니다.」",「……这样吧，六花小姐您就先暂时放假吧。我们会处理相关的手续，明穗的事，就全权交给妳了。」
,,,,,,,,,
Dialog.Chapter2-1-23,,「―――心配しないでください。事態が大きくなるようでしたら生徒会で対処します。そうならないように貴女には期待をしていますよ？」,「―――心配しないでください。事態が大きくなるようでしたら司令部で対処します。そうならないように貴女には期待をしていますよ？」,「———請放心。如果事情真的鬧大了，聖核軍團會出面處理。不過，我期待妳能讓事態不會發展到那種地步。」,「———請放心。如果事情真的鬧大了，學生會會出面處理。不過，我期待你能讓事態不至於發展到那種地步哦？」,"「Don't worry. If the situation becomes more serious, the student council will take care of it. We're counting on you to make sure that doesn't happen.」","""Please don't worry. The Command Center will get involved if things get worse, but we expect you to take care of it before it gets there.""",「―――걱정하지 마세요. 사태가 커지면 사령부에서 대처하겠습니다. 그렇게 되지 않도록 당신에게 기대하고 있겠어요?」,「———请放心。如果事情真的闹大了，圣核军团会出面处理。不过，我期待妳能让事态不会发展到那种地步。」
,,,,,,,,,
Dialog.Chapter2-1-24,六花,「…っ――――わかりました。忙しい中すみません…―――失礼します。」,「…っ――――わかりました。忙しい中すみません…―――失礼します。」,「……我明白了。打擾您繁忙的時間，真的很抱歉……失禮了。」,「……我明白了。打擾您繁忙的時間，真的很抱歉……失禮了。」,「...I...I―――― I understand. I'm sorry to bother you...―――Excuse me.」,"""...Understood. Sorry to have disturbed you.""",「…읏――――알겠습니다. 바쁘신 와중에 죄송합니다…―――실례하겠습니다.」,「……我明白了。打扰您繁忙的时间，真的很抱歉……失礼了。」
,,,,,,,,,
Dialog.Chapter2-1-25,,そういうと、六花は心ならずな表情で高貴な香りのする生徒会室を後にするのだった。,そういうと、六花は心ならずな表情で高貴な香りのする司令部を後にするのだった。,六花露出不甘的神情，離開了瀰漫著高貴氣息的司令部。,六花露出不甘的神情，離開了瀰漫著高貴氣息的學生會室。,"With that, Rikka left the noble-smelling student council room with an absent-minded expression on her face.",Rikka left the fragrance-filled Command Center reluctantly.,"그렇게 말하며, 릿카는 마지못한 표정으로 고귀한 향기가 나는 사령부를 뒤로하는 것이었다.",六花露出不甘的神情，离开了弥漫着高贵气息的司令部。
,,,,,,,,,
Dialog.Chapter2-1-26,,夜の街にて,夜の街にて,夜晚的街道上,夜晚的街道上,In the city at night,"At night, on the streets...",밤의 거리에서,夜晚的街道上
,,,,,,,,,
Dialog.Chapter2-1-27,六花,「―――生徒会は頼りにならないか…」,「―――司令部は頼りにならないか…」,「……司令部指望不上嗎……」,「———學生會指望不上嗎……」,「―――― the student council is unreliable...」,"""...The Command Center is no use.""",「―――사령부는 의지할 수 없나…」,「……司令部指望不上吗……」
,,,,,,,,,
Dialog.Chapter2-1-28,,「……明穂を探すにしても手がかりはないし、どうすれば…」,「……明穂を探すにしても手がかりはないし、どうすれば…」,「……必須要找到明穗，卻沒有任何線索，該怎麼辦才好……」,「……必須要找到明穗，卻沒有任何線索，該怎麼辦才好……」,"「......I don't have a clue as to how to find Akiho, so what can I do...」","""I don't know where to start looking for her. What should I...""","「……아키호를 찾는다고 해도 단서가 없고, 어떡하면…」",「……必须要找到明穗，却没有任何线索，该怎么办才好……」
,,,,,,,,,
Dialog.Chapter2-1-29,,その時、六花のスマホからピコンと電子音が響く,その時、六花のスマホからピコンと電子音が響く,就在這時，六花的手機發出了「嗶叮」的電子提示音。,就在這時，六花的手機發出了「嗶叮」的電子提示音。,"At that moment, a beeping electronic sound echoes from Rikka's phone.",Rikka's smartphone beeped.,"그때, 릿카의 스마트폰에서 삐콩 하고 전자음이 울린다",就在这时，六花的手机发出了「哔叮」的电子提示音。
,,,,,,,,,
Dialog.Chapter2-1-30,六花,「―――！」,「―――！」,「―――！」,「―――！」,「...!」,"""...!""",「―――!」,「―――！」
,,,,,,,,,
Dialog.Chapter2-1-31,,直ぐにスマホを取り出し通知を確認する,直ぐにスマホを取り出し通知を確認する,六花立刻拿出手機，查看通知內容。,六花立刻拿出手機，查看通知內容。,Rikka immediately take out her phone and check your notifications.,She took out her phone and looked at the notification.,즉시 스마트폰을 꺼내 알림을 확인한다,六花立刻拿出手机，查看通知内容。
,,,,,,,,,
Dialog.Chapter2-1-32,,メッセージ：笹谷明穂は確保した。明日14時、〇〇ビルの〇〇号室に来い。他言すれば彼女の命は保障しない,メッセージ：笹谷明穂は確保した。明日14時、〇〇ビルの〇〇号室に来い。他言すれば彼女の命は保障しない,訊息內容：「笹谷明穗已被我們控制。明天14點，到○○大樓的○○號房來。如果敢對外聲張，她的性命可就不保了。」,訊息內容：「笹谷明穗已被我們控制。明天14點，到○○大樓的○○號房來。如果敢對外聲張，她的性命可就不保了。」,"Message: Sasaya Akiho is captured. Come to room ** of the ** building at 14:00 tomorrow. If you talk to anyone else, her life is not guaranteed.",Message: Akiho Sasaya is in our custody. Come to Room XX in YY Building tomorrow at 14:00. We cannot guarantee her life if we determine that the information has been leaked.,"메시지: 사사야 아키호는 확보했다. 내일 14시, 〇〇빌딩 〇〇호실로 와라. 다른 사람에게 말하면 그녀의 목숨은 보장하지 않는다",讯息内容：「笹谷明穗已被我们控制。明天14点，到○○大楼的○○号房来。如果敢对外声张，她的性命可就不保了。」
,,,,,,,,,
Dialog.Chapter2-1-33,,明穂とのチャットにはこれまでの会話履歴と比べて明らかに異質な、恐ろしい現実を告げる脅迫文が届いていた,明穂とのチャットにはこれまでの会話履歴と比べて明らかに異質な、恐ろしい現実を告げる脅迫文が届いていた,在與明穗的聊天記錄中，赫然出現了一條與以往對話風格截然不同的訊息——一封透露出恐怖現實的威脅信。,在與明穗的聊天記錄中，赫然出現了一條與以往對話風格截然不同的訊息——一封透露出恐怖現實的威脅信。,The chat with Akiho had received a threatening message that was clearly different and more frighteningly realistic than the previous conversation history.,"Compared to her chat history with Akiho, this was clearly a ransom note that indicated what terrible things might have happened to Akiho.","아키호와의 채팅에는 지금까지의 대화 기록과 비교해 명백히 이질적인, 끔찍한 현실을 알리는 협박문이 도착해 있었다",在与明穗的聊天记录中，赫然出现了一条与以往对话风格截然不同的讯息——一封透露出恐怖现实的威胁信。
,,,,,,,,,
Dialog.Chapter2-1-34,六花,「―――明穂っ！」,「―――明穂っ！」,「―――明穗！」,「―――明穗！」,「Akiho!」,"""Akiho...""",「―――아키호!」,「―――明穗！」
,,,,,,,,,
Dialog.Chapter2-1-35,,都市の空はすっかり日が落ち暗くなり、夜の冷たい風が六花の肌を這った,都市の空はすっかり日が落ち暗くなり、夜の冷たい風が六花の肌を這った,城市的天空早已完全暗下來，夜晚冰冷的風輕輕掠過六花的肌膚。,城市的天空早已完全暗下來，夜晚冰冷的風輕輕掠過六花的肌膚。,"The city sky was darkening with the setting sun, and the cold night wind crawled across Rikka's skin.",The sun had gone down in the city sky while the cold breeze of the night caressed Rikka.,"도시의 하늘은 완전히 해가 져 어두워졌고, 밤의 차가운 바람이 릿카의 피부를 스쳤다",城市的天空早已完全暗下来，夜晚冰冷的风轻轻掠过六花的肌肤。
,,,,,,,,,
Chapter 2-2,注釈,,,,,,,,
,高層ビル(日中),,,,,,,,
Dialog.Chapter2-2-1,六花,「…ここがそのビル…か」,「…ここがそのビル…か」,「…這裡就是指定的大樓嗎…」,「…這裡就是指定的大樓嗎…」,「.. So this is the building.」,"""This must be the building...""",「…여기가 그 빌딩…인가」,「…这里就是指定的大楼吗…」
,,,,,,,,,
Dialog.Chapter2-2-2,,六花は指定されたビルの前に来ていた,六花は指定されたビルの前に来ていた,六花站在指定的大樓前，抬頭望著那棟沉默矗立的建築。,六花站在指定的大樓前，抬頭望著那棟沉默矗立的建築。,Rikka came to the front of the designated building.,Rikka arrived at the building mentioned in the message.,릿카는 지정된 빌딩 앞에 와 있었다,六花站在指定的大楼前，擡头望着那栋沉默矗立的建筑。
,,,,,,,,,
Dialog.Chapter2-2-3,,(どう考えても罠だけど…明穂を人質に取られてる以上しょうがない…),(どう考えても罠だけど…明穂を人質に取られてる以上しょうがない…),（無論怎麼想，這都是個陷阱……但明穗被當成了人質，我別無選擇……）,（無論怎麼想，這都是個陷阱……但明穗被當成了人質，我別無選擇……）,(It's a trap no matter how I think about it... but it can't be helped as long as they have Akiho as a hostage...),"(This has to be a trap, but if they have Akiho, I have to take the risk...)",(어떻게 생각해도 함정이지만… 아키호를 인질로 잡혀있는 이상 어쩔 수 없어…),（无论怎么想，这都是个陷阱……但明穗被当成了人质，我别无选择……）
,,,,,,,,,
Dialog.Chapter2-2-4,,すると背後から何者かに声がかけれらる,すると背後から何者かに声がかけれらる,就在這時，身後突然傳來某人的聲音。,就在這時，身後突然傳來某人的聲音。,Someone calls out to her from behind.,A voice rang out from behind her.,그러자 등 뒤에서 누군가가 말을 걸어온다,就在这时，身后突然传来某人的声音。
,,,,,,,,,
Dialog.Chapter2-2-5,???,「お待ちしていました、水無瀬六花。」,「お待ちしていました、水無瀬六花。」,「久等了，水無瀬六花。」,「久等了，水無瀬六花。」,"「We have been waiting for you, Minase Rikka.」","""We have been waiting for you, Rikka Minase.""","「기다리고 있었습니다, 미나세 릿카.」",「久等了，水无瀬六花。」
,,,,,,,,,
Dialog.Chapter2-2-6,六花,「……あんたは…。財団の女戦闘員か」,「……あんたは…。財団の女戦闘員か」,「……妳是……財團的女戰鬥員」,「……你是……財團的女戰鬥員」,「...... you are.... Are you a female combatant for the Foundation?」,"""...You're a soldier from the Foundation.""",「……너는…. 재단의 여성 전투원인가」,「……妳是……财团的女战斗员」
,,,,,,,,,
Dialog.Chapter2-2-7,???,「はい、戦闘員005号です。ただ今より“オリジナル”を案内します。」,「はい、戦闘員005号です。ただ今より“オリジナル”を案内します。」,「沒錯，我是戰鬥員005號。現在負責執行‘原型’的帶路任務。」,「沒錯，我是戰鬥員005號。現在負責執行‘原型’的帶路任務。」,"「Yes, I am Combatant No.005. Come with me, Original.」","""Yes, I am Soldier 005. I will be guiding you, the 'Original'.""","「네, 전투원 005호입니다. 지금부터 “오리지널”을 안내하겠습니다.」",「没错，我是战斗员005号。现在负责执行‘原型’的带路任务。」
,,,,,,,,,
Dialog.Chapter2-2-8,六花,「―――ちょっと待って、オリジナル…？それってどういう意味…？」,「―――ちょっと待って、オリジナル…？それってどういう意味…？」,「———等一下，『原型』…？這是什麼意思…？」,「———等一下，‘原型’…？這是什麼意思…？」,"「―――Wait a minute, Original...? What does that even mean...?」","""...The Original? What does that mean?""","「―――잠깐 기다려, 오리지널…? 그게 무슨 의미…?」",「———等一下，『原型』…？这是什么意思…？」
,,,,,,,,,
Dialog.Chapter2-2-9,005号,「おや、気づいていなかったのですね。ではお伝えします。」,「おや、気づいていなかったのですね。ではお伝えします。」,「哦？原來您還沒察覺嗎？那就讓我來告訴妳吧。」,「哦？原來您還沒察覺嗎？那就讓我來告訴你吧。」,"「Ah, so you didn't notice. Alright let me tell you.」","""You haven't noticed? I shall explain.""","「어머, 눈치채지 못하셨군요. 그럼 알려드리겠습니다.」",「哦？原来您还没察觉吗？那就让我来告诉妳吧。」
,,,,,,,,,
Dialog.Chapter2-2-10,,「財団のクローン戦闘員は全てあなた“水無瀬六花”の遺伝情報を基に作成されています」,「財団のクローン戦闘員は全てあなた“水無瀬六花”の遺伝情報を基に作成されています」,「財團的克隆戰鬥員，全部是以妳的遺傳資訊——水無瀬六花的基因為基礎製作的。」,「財團的克隆戰鬥員，全部是以你的遺傳資訊——水無瀬六花的基因為基礎製作的。」,"「All of the Foundation's cloned fighters are based on the genetic information of you, Minase Rikka.」","""All the clone soldiers of the Foundation are created from the DNA of Rikka Minase... You.""",「재단의 클론 전투원은 전부 당신 “미나세 릿카”의 유전 정보를 바탕으로 만들어졌습니다」,「财团的克隆战斗员，全部是以妳的遗传资讯——水无瀬六花的基因为基础制作的。」
,,,,,,,,,
Dialog.Chapter2-2-11,六花,「…………そう。あなた達には妙に嫌な感じがしてたけど…そういう事だったんだ」,「…………そう。あなた達には妙に嫌な感じがしてたけど…そういう事だったんだ」,「…………原來如此。我一直從妳們身上本能的感受到一種讓人不舒服的感覺…原來是這樣啊。」,「…………原來如此。我一直從你們身上本能的感受到一種讓人不舒服的感覺…原來是這樣啊。」,"「'............ yeah. I've had a strange, bad feeling about you guys... so that's what it was all about.」","""...I see. That must be why I already dislike you the moment I saw you.""",「…………그래. 당신들에게 묘하게 싫은 느낌이 들었는데… 그런 거였구나」,「…………原来如此。我一直从妳们身上本能的感受到一种让人不舒服的感觉…原来是这样啊。」
,,,,,,,,,
Dialog.Chapter2-2-12,005号,「おや、意外と驚かないのですね。」,「おや、意外と驚かないのですね。」,「哦？沒想到您竟然不太驚訝呢。」,「哦？沒想到您竟然不太驚訝呢。」,"「Gosh, you're not that surprised.」","""You're not surprised.""","「어머, 의외로 놀라지 않으시는군요.」",「哦？没想到您竟然不太惊讶呢。」
,,,,,,,,,
Dialog.Chapter2-2-13,六花,「別に、私は私だし。それに私のクローンにしては弱すぎてがっかり。何人いても私の敵じゃない」,「別に、私は私だし。それに私のクローンにしては弱すぎてがっかり。何人いても私の敵じゃない」,「沒什麼，我還是我自己。而且妳們作為我的克隆也太弱了吧，太讓人失望了。這種程度不管來多少都不是我的對手。」,「沒什麼，我還是我自己。而且你們作為我的克隆也太弱了吧，太讓人失望了。這種程度不管來多少都不是我的對手。」,"「Nothing serious. I'm just me. And I'm disappointed that you're too weak to be my clone. No matter how many of them there are, You guys are no match for me.」","""Not really, I am me. And I'm disappointed that my clones are so weak. I can take on as many of you as I want.""","「딱히, 나는 나고. 게다가 내 클론치고는 너무 약해서 실망이야. 몇 명이 있든 내 적이 아니지」",「没什么，我还是我自己。而且妳们作为我的克隆也太弱了吧，太让人失望了。这种程度不管来多少都不是我的对手。」
,,,,,,,,,
Dialog.Chapter2-2-14,六花,「とっとと話を進めよう。あなた達の要求は何？明穂はどこにいる？」,「とっとと話を進めよう。あなた達の要求は何？明穂はどこにいる？」,「快點進入正題吧。妳們的要求是什麼？明穗在哪裡？」,「快點進入正題吧。你們的要求是什麼？明穗在哪裡？」,「Let's move the conversation. What do you guys want? Where is Akiho?」,"""Let's cut to the chase. What do you want? Where is Akiho?""",「빨리 이야기를 진행하자. 당신들의 요구는 뭐야? 아키호는 어디에 있어?」,「快点进入正题吧。妳们的要求是什么？明穗在哪里？」
,,,,,,,,,
