Key,Comment,Japanese,English,Traditional Chinese,Simplified Chinese,Japanese_Steam,English_Steam,Traditional Chinese_Steam,Simplified Chinese_Steam,Korean_Steam
Dialog.Chapter1-1-18,六花,「…………。そうだね。明穂ならもう大丈夫だと思う。ただ油断はしないで。危なくなったらすぐ呼んで。」,"「............. Yes, that's right. I think Akiho will be fine now. Just be on your guard. Call me as soon as you are in danger.」",「…………。也是呢。明穗的話應該沒問題的。但是千萬不要大意。感覺到危險的話要立刻聯繫我。」,「…………。也是呢。明穗的话应该没问题的。但是千万不要大意。感觉到危险的话要立刻联系我。」,「…………。そうだね。明穂ならもう大丈夫だと思う。ただ油断はしないで。危なくなったらすぐ呼んで。」,"""...Right. I think you can do it, but don't get too cocky. Let me know immediately when things go south.""",「…………也是呢。明穗的話應該沒問題的。但是千萬不要大意。感覺到危險的話要立刻聯繫我。」,「…………也是呢。明穗的话应该没问题的。但是千万不要大意。感觉到危险的话要立刻联系我。」,「…………. 그렇네. 아키호라면 이제 괜찮을 것 같아. 단지 방심은 하지 마. 위험해지면 바로 불러.」
,,,,,,,,,,
Dialog.Chapter1-1-19,明穂,「オッケー！六花のことは頼りにしてるから！」,「Okay! I'm counting on you too Rikka!」,「OKAY！我最信任六花了！」,「OKAY！我最信任六花了！」,「オッケー！六花のことは頼りにしてるから！」,"""Sure! I knew I could count on you!""",「當然！我最信任六花了！」,「OKAY！我最信任六花了！」,「오케이! 릿카는 의지하고 있으니까!」
,,,,,,,,,,
Dialog.Chapter1-1-20,六花,「…うん。じゃあ私は帰るから。また明日」,"「Alright, I'm going home. See you tomorrow.」",「…嗯。好那我先回去了。明天見」,「…嗯。好那我先回去了。明天见」,「…うん。じゃあ私は帰るから。また明日」,"""...I'm leaving. See you tomorrow.""",「…嗯。好那我先回去了。明天見」,「…嗯。好那我先回去了。明天见」,「…응. 그럼 난 돌아갈게. 내일 또 보자」
,,,,,,,,,,
Dialog.Chapter1-1-21,明穂,「またね！」,「See you!」,「再見！」,「再见！」,「またね！」,"""See you!""",「再見！」,「再见！」,「또 봐!」
,,,,,,,,,,
,帰りの電車の中,,,,,,,,,
,電車の車内　夜,,,,,,,,,
Dialog.Chapter1-1-22,明穂,「ふぅ、今日も遅くなっちゃった…」,"「Phew, it's getting late again today...」",「呼、今天也弄得好遲啊…」,「呼、今天也弄得好迟啊…」,「ふぅ、今日も遅くなっちゃった…」,"""It's getting late...""",「呼，今天也弄得好晚啊…」,「呼，今天也弄得好迟啊…」,"「후우, 오늘도 늦어졌네…」"
,,,,,,,,,,
Dialog.Chapter1-1-23,,明穂は自宅に帰るためいつもの電車に乗っていた。,Akiho was taking her usual train to go home.,明穗坐上了回家的電車。,明穗坐上了回家的电车。,明穂は自宅に帰るためいつもの電車に乗っていた。,Akiho took the train that she always takes to go home.,明穗坐上了回家的電車。,明穗坐上了回家的电车。,아키호는 집으로 돌아가기 위해 평소 타던 전철을 타고 있었다.
,,,,,,,,,,
Dialog.Chapter1-1-24,明穂,(…この時間にしては人が多いような？),(...seems like a lot of people for this time of day?),(…都這個時間了人怎麼這麼多啊？),(…都这个时间了人怎么这么多啊？),(…この時間にしては人が多いような？),(...It's usually not this crowded at this hour...),(…都這個時間了人怎麼這麼多啊？),(…都这个时间了人怎么这么多啊？),(…이 시간치고는 사람이 많은 것 같은데?)
,,,,,,,,,,
Dialog.Chapter1-1-25,,普段は空いていて座れていた電車が、今日は壁に体をあずけて立たなければいけないほど人で溢れて混雑している。,"The train, which was usually empty with seats, is crowded today with so many people that you have to stand with your body against the wall.",平時總是能夠找到位子坐下的電車、今天不止被迫得站著而且混雜得整個人只好貼著電車的門。,平时总是能够找到位子坐下的电车、今天不止被迫得站著而且混杂得整个人只好贴著电车的门。,普段は空いていて座れていた電車が、今日は壁に体をあずけて立たなければいけないほど人で溢れて混雑している。,"The train is usually empty at this time of the day, but there were so many people today that she had to stand near the wall.",平時總是能夠找到位子坐下的電車，今天不止被迫得站著而且人多得只好貼著電車的門。,平时总是能够找到位子坐下的电车，今天不止被迫得站著而且混杂得整个人只好贴著电车的门。,"평소에는 비어 있어서 앉을 수 있었던 전철이, 오늘은 벽에 몸을 기대고 서 있어야 할 정도로 사람들로 붐비고 있었다."
,,,,,,,,,,
Dialog.Chapter1-1-26,明穂,(うぅ～最悪…。こんなに混んでるなら、あんなに遊ばないで早く帰ればよかったかも),"(Ugh~ that sucks.... If it was this crowded, maybe I should have gone home earlier instead of hanging out too much)",(嗚～好糟糕…。早知道會變成這樣的話我就別玩到那麼晚早點回家了),(呜～好糟糕…。早知道会变成这样的话我就别玩到那么晚早点回家了),(うぅ～最悪…。こんなに混んでるなら、あんなに遊ばないで早く帰ればよかったかも),"(Ugh, this sucks. If I knew this I wouldn't have stayed out so late.)",(嗚～好討厭…。早知道會變成這樣的話，我就不會玩到那麼晚，而是早點回家了),(呜～好討厭…。早知道会变成这样的话，我就别玩到那么晚早点回家了),"(우우~ 최악…. 이렇게 붐빌 줄 알았으면, 그렇게 놀지 말고 빨리 돌아올걸 그랬나)"
,,,,,,,,,,
Dialog.Chapter1-1-27,,電車に揺られる明穂は自分の胸に違和感を感じた。,"Swaying on the train, Akiho felt a sense of discomfort in her own chest.",隨著電車一起晃動的明穗感受到來自胸部的違和感。,随著电车一起晃动的明穗感受到来自胸部的违和感。,電車に揺られる明穂は自分の胸に違和感を感じた。,Akiho felt something weird on her chest as she swayed with the train.,隨著電車一起晃動的明穗感受到來自胸部的違和感。,随著电车一起晃动的明穗感受到来自胸部的违和感。,전철에 흔들리는 아키호는 자신의 가슴에 위화감을 느꼈다.
,,,,,,,,,,
Dialog.Chapter1-1-28,明穂,(…？ちょっと何か当たってるような),(...? I think I hit on something a little bit),(…？感覺好像碰到什麼了),(…？感觉好像碰到什么了),(…？ちょっと何か当たってるような),(Huh? Something is touching me...),(…？感覺好像碰到什麼了),(…？感觉好像碰到什么了),(…? 뭔가 좀 닿는 것 같은데)
,,,,,,,,,,
Dialog.Chapter1-1-29,,後ろにいたスーツを着たサラリーマンのような男の右手が、後ろから明穂の胸をすりすりと撫でている,"The right hand of the man behind him, who looks like a businessman in a suit, is rubbing and stroking Akiho's breast from behind.",站在後方的西裝男的右手、從身後一直在撫摸明穗的胸部,站在后方的西装男的右手、从身后一直在抚摸明穗的胸部,後ろにいたスーツを着たサラリーマンのような男の右手が、後ろから明穂の胸をすりすりと撫でている,The right hand of the man in a business suit behind her was caressing her chest from behind.,站在後方的西裝男的右手，站在身後一直在撫摸明穂的胸部。,站在后方的西装男的右手，从身后一直在抚摸明穂的胸部,"뒤에 있던 정장을 입은 샐러리맨 같은 남자의 오른손이, 뒤에서 아키호의 가슴을 스윽스윽 쓰다듬고 있다"
,,,,,,,,,,
Dialog.Chapter1-1-30,明穂,(っ！、気のせいじゃない…),(Huh..! So it's not just my imagination...),(額！、不是錯覺…),(额！、不是错觉…),(っ！、気のせいじゃない…),"(Ugh, I wasn't hallucinating!)",(！不是錯覺…),(！不是错觉…),"(읏!, 기분 탓이 아니야…)"
,,,,,,,,,,
Dialog.Chapter1-1-31,,明穂は顔を真っ赤にして声を振り絞る,Akiho's face turns red and her voice is strained,明穗面紅耳赤的擠出聲音,明穗面红耳赤的挤出声音,明穂は顔を真っ赤にして声を振り絞る,Akiho blushed and spoke up.,明穗面紅耳赤的擠出聲音。,明穗面红耳赤的挤出声音,아키호는 얼굴을 새빨갛게 붉히며 목소리를 쥐어짜 낸다
,,,,,,,,,,
Dialog.Chapter1-1-32,明穂,「…っ、やめてくださいっ」,"「Hey, stop.. stop that!」",「…請、請不要這樣！」,「…请、请不要这样！」,「…っ、やめてくださいっ」,"""P-Please stop.""",「…請、請不要這樣！」,「…请、请不要这样！」,"「…읏, 그만하세요」"
,,,,,,,,,,
Dialog.Chapter1-1-33,男,「……………」,「...............」,「……………」,「……………」,「……………」,"""...""",「……………」,「……………」,「……………」
,Akiho 1-1,,,,,,,,,
Dialog.Chapter1-1-34,,男は明穂の声を気にかけず、右手が明穂の胸を鷲掴みにした,"The man did not care about what Akiho said, his right hand grabbed Akiho's breast.",男人對此根本不以為意、右手用力的抓住了明穗的整個胸部,男人对此根本不以为意、右手用力的抓住了明穗的整个胸部,男は明穂の声を気にかけず、右手が明穂の胸を鷲掴みにした,The man didn't notice her words and grabbed her breast.,男人對此根本不以為意，反而右手用力的抓住了明穗的整個胸部。,男人对此根本不以为意，右手用力的抓住了明穗的整个胸部,"남자는 아키호의 목소리에 아랑곳하지 않고, 오른손으로 아키호의 가슴을 움켜쥐었다"
,,,,,,,,,,
Dialog.Chapter1-1-35,明穂,「ひぁっ！―――っ！」,「Hee―!」,「呀啊！——！」,「呀啊！——！」,「ひぁっ！―――っ！」,"""Aghhhhhh!""",「呀啊！——！」,「呀啊！——！」,「히약!―――읏!」
,,,,,,,,,,
Dialog.Chapter1-1-36,,男は明穂の胸をつかむだけでなく更にやわやわと揉み始める,The man not only grabs Akiho's breasts but also starts rubbing them slowly.,男人不僅抓住了明穗的胸，還開始柔軟的揉了起來。,男人不仅抓住了明穗的胸，还开始柔软的揉了起来。,男は明穂の胸をつかむだけでなく更にやわやわと揉み始める,"The man didn't stop, and started fondling her instead.",男人不僅抓住了明穗的胸，還開始輕柔的揉了起來。,男人不仅抓住了明穗的胸，还开始柔软的揉了起来。,남자는 아키호의 가슴을 잡는 것에 그치지 않고 더욱 부드럽게 주무르기 시작한다
,,,,,,,,,,
Dialog.Chapter1-1-37,明穂,(うぅ、最悪っ、どうにかしないと―――),"(Ugh, that sucks, I have to do something...)",（額... 不行，我得想想辦法——）,（额... 不行，我得想想办法——）,(うぅ、最悪っ、どうにかしないと―――),(This sucks. I have to do something about it...),（嗚... 不行，我得想想辦法——）,（嗚... 不行，我得想想办法——）,"(우우, 최악, 어떻게든 해야―――)"
,,,,,,,,,,
Dialog.Chapter1-1-38,明穂,「…っ、誰かっ！助けてっ！この人痴漢です！」,「A... anyone? Help! This man is a pervert!」,「…呃，誰來幫幫我！這個人是色狼！」,「…呃，谁来帮帮我！这个人是色狼！」,「…っ、誰かっ！助けてっ！この人痴漢です！」,"""S-Someone help! This man is touching me!""",「…誰來幫幫我！這個人是色狼！」,「…谁来帮帮我！这个人是色狼！」,"「…읏, 누구 없어요! 도와주세요! 이 사람 치한이에요!」"
,,,,,,,,,,
Dialog.Chapter1-1-39,,しかし、混雑した車内の誰一人として明穂の声に反応することは無かった。,"However, no one in the crowded car responded to Akiho's voice.",然而，擁擠的車廂內，沒有一個人對明穗的呼救聲做出反應。,然而，拥挤的车厢内，没有一个人对明穗的呼救声做出反应。,しかし、混雑した車内の誰一人として明穂の声に反応することは無かった。,But no one on the crowded train took action.,然而，擁擠的車廂內，沒有一個人對明穗的呼救聲做出反應。,然而，拥挤的车厢内，没有一个人对明穗的呼救声做出反应。,"하지만, 붐비는 차내의 누구 한 사람도 아키호의 목소리에 반응하지 않았다."
,,,,,,,,,,
Dialog.Chapter1-1-40,明穂,(――どうして誰も何もしてくれないのっ！？),(――Why doesn't anyone do anything!),（――為什麼沒有人願意幫忙！？）,（――为什么没有人愿意帮忙！？）,(――どうして誰も何もしてくれないのっ！？),(Why isn't anyone helping me?!),（――為什麼沒有人願意幫忙！？）,（――为什么没有人愿意帮忙！？）,(――어째서 아무도 아무것도 안 해주는 거야!?)
,,,,,,,,,,
Dialog.Chapter1-1-41,,その間に男の手の動きはどんどん大胆になり、制服越しに激しく明穂の乳房を弄ぶ。,"Meanwhile, the man's hand movements become bolder and bolder, violently playing with Akiho's breasts through her uniform.",就在這段時間裡，男人的手越來越大膽，隔著制服猛烈地玩弄明穗的胸部。,就在这段时间里，男人的手越来越大胆，隔著制服猛烈地玩弄明穗的胸部。,その間に男の手の動きはどんどん大胆になり、服越しに激しく明穂の乳房を弄ぶ。,The man became bolder and started to play with her breast through her clothes.,就在這段時間裡，男人的手越來越大膽，隔著制服猛烈地玩弄明穗的胸部。,就在这段时间里，男人的手越来越大胆，隔著制服猛烈地玩弄明穗的胸部。,"그 사이 남자의 손놀림은 점점 대담해져, 옷 위로 격렬하게 아키호의 유방을 희롱한다."
,Akiho 1-2,,,,,,,,,
Dialog.Chapter1-1-42,明穂,「ひゃうっ、んっ♥、やめてくださいっ、やめて！」,"「Hyaa, hmmm ♥, please don't, don't!」",「呀嗚っ，嗯っ♥，請住手，住手！」,「呀呜っ，嗯っ♥，请住手，住手！」,「ひゃうっ、んっ♥、やめてくださいっ、やめて！」,"""Hnnn♥ P-Please stop! Stop!""",「呀嗚，嗯♥請住手，住手！」,「呀呜，嗯♥请住手，住手！」,"「히야웃, 응읏♥, 그만하세요, 그만!」"
,,,,,,,,,,
Dialog.Chapter1-1-43,,男の指の先がぐにぐにと執拗に乳首を弄りまわし、胸の先端から背筋に向かってぞくぞくとした感覚が走る。,"The tips of the man's fingers play with the nipples, squirming and relentlessly, and a creeping sensation runs from the tips of my breasts down her spine.",男人的指尖黏膩地、不斷地玩弄著乳頭，從胸部的頂端到背脊，傳來一陣陣顫慄的感覺。,男人的指尖黏腻地、不断地玩弄著乳头，从胸部的顶端到背脊，传来一阵阵颤栗的感觉。,男の指の先がぐにぐにと執拗に乳首を弄りまわし、胸の先端から背筋に向かってぞくぞくとした感覚が走る。,"The man's fingertips found her nipple and played with it, sending shivers down her spine.",男人的指尖黏膩地、不斷地玩弄著乳頭，從胸部的頂端到背脊，傳來一陣陣顫慄的感覺。,男人的指尖黏腻地、不断地玩弄著乳头，从胸部的顶端到背脊，传来一阵阵颤栗的感觉。,"남자의 손가락 끝이 질척하게 집요하게 유두를 희롱하고, 가슴 끝에서 등줄기로 짜릿한 감각이 흐른다."
,,,,,,,,,,
Dialog.Chapter1-1-44,明穂,「ふぁっ♥、やぁ、んっ♥」,"「Hhhhhh♥, oh no, hmmm♥」",「啊♥、不要、嗯♥」,「啊♥、不要、嗯♥」,「ふぁっ♥、やぁ、んっ♥」,"""Haaa... Nnnn...♥""",「啊♥、不要、嗯♥」,「啊♥、不要、嗯♥」,"「팟♥, 야아, 응읏♥」"
,,,,,,,,,,
