Key,Comment,Japanese,Japanese_Steam,Traditional Chinese_Steam,English,Korean_Steam,English_Steam,Simplified Chinese_Steam
Dialog.Chapter4-1-10,,「今クローンや怪人等の戦力を増強すれば、武力で学園の聖核戦姫を制圧することも不可能ではありません」,「今クローンや怪人等の戦力を増強すれば、武力でレギオンの聖核戦姫を制圧することも不可能ではありません」,「現在只要強化克隆人與怪人的戰力，要用武力鎮壓軍團的聖核戰姫姑且也不是不可能。」,"""If we now increase our forces of clones, monsters, etc., it is not impossible for us to subdue the school's Seikaku Princess by force of arms.""","「지금 클론이나 괴인 등의 전력을 증강하면, 무력으로 레기온의 성핵전희를 제압하는 것도 불가능하지 않습니다」","""If we can improve our ranks with clones and monsters, it's not impossible to suppress Holy Core Battlemaidens by force.""",「现在只要强化克隆人与怪人的战力，要用武力镇压军团的圣核战姫姑且也不是不可能。」
,,,,,,,,
Dialog.Chapter4-1-11,,「清藤エレナは財閥の生まれで政界、財界にコネクションがあります。上手く利用すれば彼らも利用できるでしょう」,「また清藤エレナは財閥の生まれで政界、財界にコネクションがあります。上手く利用すれば彼らも利用できるでしょう」,「另外，清藤艾蓮娜出身財閥，在政界、財界都有管道。如果運用得當，那些人也能被我們利用。」,"""Erena Seidō was born into a zaibatsu and has connections in the political and business worlds. If we use her well, we will be able to take advantage of them.""","「또한 세이토 엘레나는 재벌 출신으로 정계, 재계에 인맥이 있습니다. 잘 이용하면 그들도 이용할 수 있을 것입니다」","""Elena Kiyofuji came from a rich family, so we can use their connections to politics and finances if we have to.""",「另外，清藤艾莲娜出身财阀，在政界、财界都有管道。如果运用得当，那些人也能被我们利用。」
,,,,,,,,
Dialog.Chapter4-1-11(1),選択肢,「ご苦労。引き続き生徒会の動向を探ってくれ」,「ご苦労。引き続きレギオンの動向を探ってくれ」,「辛苦了。今後也請妳繼續調查軍團的動向吧。」,"""Thank you for your time. Keep me posted on what the student council is up to.""",「수고했다. 계속해서 레기온의 동향을 살피도록」,"""Thank you. Please keep an eye on the Legion and report back.""",「辛苦了。今后也请你继续调查军团的动向吧。」
,,,,,,,,
Dialog.Chapter4-1-12,005号,「了解しました。引き続き潜入を継続します」,「了解しました。引き続き潜入を継続します」,「了解，我會持續潛入行動。」,"""We will continue to infiltrate. We will continue to infiltrate.""",「알겠습니다. 계속해서 잠입을 지속하겠습니다」,"""Understood. I will keep infiltrating.""",「了解，我会持续潜入行动。」
,,,,,,,,
,,,,,,,,
,,,,,,,,
Dialog.Chapter4-1-12(1),選択肢,絶望的な状況だったが、これで少しは落ち着いたか……,絶望的な状況だったが、これで少しは落ち着いたか……,之前雖然是那樣絕望的狀況，這下總算稍微穩住一點了……,"It was a hopeless situation, but now things have calmed down a bit ......","절망적인 상황이었지만, 이걸로 조금은 진정되었나……",The desperate situation had been alleviated somewhat when...,之前虽然是那样绝望的状况，这下总算稍微稳住一点了……
,,,,,,,,
Dialog.Chapter4-1-13,,その時、モニターに連絡が入る,その時、モニターに連絡が入る,這時，監視螢幕上跳出了新的聯絡畫面。,"At that point, the monitor is contacted.","그때, 모니터에 연락이 들어온다",The monitor beeped.,这时，监视萤幕上跳出了新的联络画面。
,,,,,,,,
Dialog.Chapter4-1-14,戦闘員(通信),「連絡します！現在アジトの制御システムがサイバー攻撃を受けています！」,「連絡します！現在アジトの制御システムがサイバー攻撃を受けています！」,「報告！目前基地的控制系統正遭受網路攻擊！」,"""Contact! The control system of our hideout is currently under cyber attack!""",「연락합니다! 현재 아지트 제어 시스템이 사이버 공격을 받고 있습니다!」,"""We have an emergency! The hideout's control system is under cyberattack!""",「报告！目前据点的控制系统正遭受网路攻击！」
,,,,,,,,
Dialog.Chapter4-1-14(1),選択肢,……被害の状況は？,……被害の状況は？,……損害狀況如何？,...... What is the status of the damage?,……피해 상황은?,How is the situation?,……损害状况如何？
,,,,,,,,
Dialog.Chapter4-1-15,戦闘員(通信),「アジト内の第7区域で停電！、防衛用トラップが誤作動を起こしています！」,「アジト内の第7区域で停電！、防衛用トラップが誤作動を起こしています！」,「基地內第7區停電！防禦用陷阱發生錯誤而作動了！」,"""Power outage in Area 7 inside the hideout! The defensive traps are malfunctioning!""","「아지트 내 제7구역에서 정전!, 방어용 트랩이 오작동을 일으키고 있습니다!」","""Area 7 is out of power! The defense traps are triggering erroneously!""",「据点内第7区停电！防御用陷阱发生误发！」
,,,,,,,,
Dialog.Chapter4-1-15(1),選択肢,了解した。今復旧させる,了解した。今復旧させる,了解。我現在就進行復原。,Understood. We'll get it back up now.,알겠다. 지금 복구시키겠다,Got it. I will bring it back online.,了解。我现在就进行复原。
,,,,,,,,
Dialog.Chapter4-1-16,黒→背景通路,その時、別の戦闘員から新たな連絡が入る,その時、別の戦闘員から新たな連絡が入る,就在那時，又有來自另一名戰鬥員的聯絡傳來。,"At that moment, a new call comes in from another fighter.","그때, 다른 전투원으로부터 새로운 연락이 들어온다",Another soldier sent a message.,就在那时，又有来自另一名战斗员的联络传来。
,,,,,,,,
Dialog.Chapter4-1-17,戦闘員2(通信),「連絡！アジト内の第3区域がハッキングされました！笑気ガスが漏れて戦闘員複数名が行動不能状態に！」,「連絡！アジト内の第3区域がハッキングされました！笑気ガスが漏れて戦闘員複数名が行動不能状態に！」,「報告！基地內第3區遭到入侵！笑氣外洩，已有多名戰鬥員失去行動能力！」,"""Contact! Area 3 in the hideout has been hacked! Several fighters have been rendered inoperable by a laughing gas leak!""",「연락! 아지트 내 제3구역이 해킹되었습니다! 웃음 가스가 누출되어 전투원 여러 명이 행동 불능 상태에!」,"""Emergency! Area 3 is hacked! There is a laughing gas leak and several soldiers are incapacitated!""",「报告！据点内第3区遭到入侵！笑气外泄，已有多名战斗员失去行动能力！」
,,,,,,,,
Dialog.Chapter4-1-18,戦闘員3(通信),「連絡します！第4区域で隔壁が勝手に閉まり、戦闘員およびクローン兵が計20名ほど閉じ込められました！」,「連絡します！第4区域で隔壁が勝手に閉まり、戦闘員およびクローン兵が計20名ほど閉じ込められました！」,「報告！第4區的隔離門自動關閉，約有20名戰鬥員與克隆兵被困在裡面！」,"""Attention! A bulkhead has closed on its own in sector 4, trapping a total of about 20 combatants and clone soldiers!""","「연락합니다! 제4구역에서 격벽이 멋대로 닫혀, 전투원 및 클론 병사가 총 20명 정도 갇혔습니다!」","""Emergency! Area 4 blocked itself off, about 20 soldiers and clones are trapped inside!""",「报告！第4区的隔离门自动关闭，约有20名战斗员与克隆兵被困在里面！」
,,,,,,,,
Dialog.Chapter4-1-19,戦闘員4(通信),「連絡！第10区域でも―――――――――」,「連絡！第10区域でも―――――――――」,「報告！第10區也―――――――――」,"""Contact! Also in District 10: ―――――――――""",「연락! 제10구역에서도―――――――――」,"""Emergency! Area 10...""",「报告！第10区也―――――――――」
,,,,,,,,
Dialog.Chapter4-1-20,,(……………),(……………),（……………）,(...............),(……………),(...),（……………）
,,,,,,,,
Dialog.Chapter4-1-21,,(これだけ秘匿性が高くセキュリティの強い財団地下アジトにサイバー攻撃だと？),(これだけ秘匿性が高くセキュリティの強い財団地下アジトにサイバー攻撃だと？),（這座財團的地下基地保密程度這麼高，資安也極為嚴密，竟然還會遭到網路攻擊？）,"(A cyber attack on the Foundation's underground hideout, which is so secretive and secure?)",(이렇게 기밀성이 높고 보안이 강한 재단 지하 아지트에 사이버 공격이라고?),"(The hideout is highly secretive and has extremely well-designed security, but to come under a cyberattack...)",（这座财团的地下据点保密程度这么高，安防也极为严密，竟然还会遭到网路攻击？）
,,,,,,,,
Dialog.Chapter4-1-22,,(現在聖月生徒会は麻痺していてこんな事は出来ないはず。どこかの組織が…？),(現在レギオン司令部は麻痺していてこんな事は出来ないはず。どこかの組織が…？),（照理說現在的軍團司令部早就癱瘓，不可能做出這種事。究竟是哪個組織……？）,(Currently the Seigetsu Student Council is paralyzed and should not be able to do this. Some organization...?),(현재 레기온 사령부는 마비되어 이런 일은 할 수 없을 터. 어디 다른 조직이…?),(The Legion's Command Center should have been too paralyzed to pull off something like this...),（照理说现在的军团司令部早就瘫痪，不可能做出这种事。究竟是哪个组织……？）
,,,,,,,,
Dialog.Chapter4-1-23,,その時、新たに連絡が入る,その時、新たに連絡が入る,就在那時，又有新的聯絡傳來。,Then a new call comes in.,"그때, 새롭게 연락이 들어온다",Another message came through.,就在那时，又有新的联络传来。
,,,,,,,,
Dialog.Chapter4-1-24,戦闘員,「連絡します！サイバー攻撃の首謀者と見られる人物から連絡が！そちらにつないでもよろしいでしょうか！」,「連絡します！サイバー攻撃の首謀者と見られる人物から連絡が！そちらにつないでもよろしいでしょうか！」,「報告！疑似這次網路攻擊的主謀者主動聯繫！是否為您接入畫面？」,"""'Contact! We've been contacted by the person we believe to be the mastermind of the cyber attack! May I put you through?""",「연락합니다! 사이버 공격의 주모자로 보이는 인물로부터 연락이! 그쪽으로 연결해도 괜찮겠습니까!」,"""The culprit of the cyberattack is attempting to contact us! Should I connect them?""",「报告！疑似这次网路攻击的主谋者主动联系！是否为您接入画面？」
,,,,,,,,
Dialog.Chapter4-1-24(1),選択肢,構わない。つないでくれ,構わない。つないでくれ,沒關係，接進來吧。,I don't care. Just plug it in.,상관없다. 연결해라,"Yes, don't worry.",没关系，接进来吧。
,,,,,,,,
Dialog.Chapter4-1-25,京(通信),そしてホログラムに一人の少女の姿が映し出される,そしてホログラムに一人の少女の姿が映し出される,接著，全像投影上浮現出一名少女的身影。,Then a hologram shows the image of a girl.,그리고 홀로그램에 한 소녀의 모습이 비친다,The hologram of a girl came alive.,接着，全像投影上浮现出一名少女的身影。
,,,,,,,,
Dialog.Chapter4-1-26,猫宮京(通信),「あ～聞こえてる？」,「あ～聞こえてる？」,「啊～有聽到嗎？」,"""Oh, can you hear me?""",「아~ 들려?」,"""Can you hear me?""",「啊～有听到吗？」
,,,,,,,,
Dialog.Chapter4-1-27,,「そっちの一番深い所は電波が届きにくいし……セキュリティが硬くて入れなかったんだよね」,「そっちの一番深い所は電波が届きにくいし……セキュリティが硬くて入れなかったんだよね」,「你們那邊最深處網路超難連進去的……而且你們的資安也硬得要命，我可是好不容易才鑽進來呢。」,"""The deepest part over there is hard to get a signal, and ...... security was so rigid that I couldn't get in.""",「거기 가장 깊은 곳은 전파가 잘 안 닿고…… 보안이 단단해서 못 들어갔거든」,"""It's hard to reach the deepest part, the security is too strong.""",「你们那边最深处网路超难连进去的……而且你们的资安也硬得要命，我可是好不容易才钻进来呢。」
,,,,,,,,
Dialog.Chapter4-1-28,,「………こっちの要求は単純。誘拐した聖核戦姫を全員解放する事」,「………こっちの要求は単純。誘拐した聖核戦姫を全員解放する事」,「………我們這邊的要求很單純。把被你們綁走的所有聖核戰姫，全都給我放了。」,"""......... Our demands are simple. Release all the kidnapped Seikaku Princesses.""",「………이쪽의 요구는 단순해. 유괴한 성핵전희를 전부 해방하는 것」,"""I only have one simple request: release all the kidnapped Holy Core Battlemaidens.""",「………我们这边的要求很单纯。把被你们绑走的所有圣核战姫，全都给我放了。」
,,,,,,,,
Dialog.Chapter4-1-29,,「誘拐したのは多分3人かな？学園にスパイが混じってるっぽいし…」,「誘拐したのは多分3人かな？レギオン内部にスパイが混じってるっぽいし…」,「被你們抓走的大概有三個人吧？看起來軍團內部也混進你們的間諜了……」,"""Maybe it was three people who kidnapped him? It seems like there are spies mixed in with the academy...""",「유괴한 건 아마 3명인가? 레기온 내부에 스파이가 섞여 있는 것 같고…」,"""I think you kidnapped three of them? And there's probably a Foundation spy in the Legion...""",「被你们抓走的大概有三个人吧？看起来军团内部也混进你们的间谍了……」
,,,,,,,,
Dialog.Chapter4-1-30,,「どうやってエレナ先輩を捕まえたのか知らないけど…、あなた達のことは私もちょっと見くびっていたかもね」,「どうやってエレナ先輩を捕まえたのか知らないけど…、あなた達のことは私もちょっと見くびっていたかもね」,「我是不知道你們是怎麼抓到艾蓮娜前輩的啦……不過，我可能也有點小看你們了呢。」,"""I don't know how you caught Erena senior...but I may have underestimated you guys a bit myself.""","「어떻게 엘레나 선배를 잡았는지 모르겠지만…, 너희들에 대해선 나도 좀 얕보고 있었을지도 모르겠네」","""I don't know how you caught Elena, maybe I underestimated you.""",「我是不知道你们是怎么抓到艾莲娜前辈的啦……不过，我可能也有点小看你们了呢。」
,,,,,,,,
Dialog.Chapter4-1-31,,「というわけで、誘拐した聖核戦姫の子達を全員解放するまで攻撃を続けるから。覚悟してね？」,「というわけで、誘拐した聖核戦姫を全員解放するまで攻撃を続けるから。覚悟してね？」,「總之，在你們把所有被綁走的聖核戰姫全部放回來之前，我會一直持續攻擊。請你做好心理準備喔？」,"""So, I will continue to attack you until you release all the kidnapped children of the Seikaku Princesses. You must be prepared for that, okay?""","「그런 이유로, 유괴한 성핵전희를 전부 해방할 때까지 공격을 계속할 테니까. 각오해?」","""Anyway, I will keep attacking until you release the kidnapped Holy Core Battlemaidens. Do you understand?""",「总之，在你们把所有被绑走的圣核战姫全部放回来之前，我会一直持续攻击。请你做好心理准备喔？」
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Chapter 4-2,注釈,,,,,,,
Dialog.Chapter4-2-1,,―――財団地下アジトにて,―――財団地下アジトにて,―――在財團的地下基地內,――― in the underground hideout of the foundation,―――재단 지하 아지트에서,At the underground Foundation hideout...,―――在财团的地下据点内
,,,,,,,,
Dialog.Chapter4-2-2,,アジトには猫宮京によるサイバー攻撃が続いていた,アジトには猫宮京によるサイバー攻撃が続いていた,基地正持續遭到貓宮京的網路攻擊。,Cyber attacks by Nekomiya Kei continued at the hideout.,아지트에는 네코미야 케이에 의한 사이버 공격이 계속되고 있었다,Kei Nekomiya kept attacking the hideout's control system.,据点正持续遭到猫宫京的网路攻击。
,,,,,,,,
Dialog.Chapter4-2-3,005号(通信),「―――アジトにサイバー攻撃を行っている者について現在わかっていることをお伝えします」,「―――アジトにサイバー攻撃を行っている者について現在わかっていることをお伝えします」,「―――現在將我們所掌握到的對本基地發動網路攻擊者的情報報告給您。」,――― Here is what we know now about who is carrying out the cyber―attack on the safe house.,「―――아지트에 사이버 공격을 하고 있는 자에 대해 현재 알고 있는 것을 알려드리겠습니다」,"""This is what we currently know about the culprit behind the continued cyberattacks.""",「―――现在将我们所掌握到的对本据点发动网路攻击者的情报报告给您。」
,,,,,,,,
Dialog.Chapter4-2-4,,「彼女の名前は“猫宮京”、一応聖月学園に所属する生徒のようですが…」,「彼女の名前は『猫宮京』、一応レギオンに所属する聖核戦姫のようですが…」,「她的名字是『貓宮京』，名義上似乎是隸屬於軍團的聖核戰姫……」,"Her name is Nekomiya Kei, and she seems to be a student at Seigetsu Gakuen.","「그녀의 이름은 “네코미야 케이”, 일단 레기온에 소속된 성핵전희인 것 같습니다만…」","""Her name is Kei Nekomiya, and she is a Holy Core Battlemaiden, but...""",「她的名字是「猫宫京」，名义上似乎是隶属于军团的圣核战姫……」
,,,,,,,,
Dialog.Chapter4-2-5,,「調査の結果、住所不明で最後に学校に来たのは3か月以上前、他生徒に聞いても情報は得られませんでした」,「調査の結果、住所不明で最後に司令部に来たのは3か月以上前、他職員に聞いても情報は得られませんでした」,「調查結果顯示，她的住所不明，最後一次來司令部已經是三個月前的事了，向其他職員打聽也完全得不到她的相關資訊。」,"The investigation revealed that he had no known address and had last been at the school more than three months ago, and no information was available when asked by other students.""","「조사 결과, 주소 불명으로 마지막으로 사령부에 온 것은 3개월 이상 전, 다른 직원에게 물어도 정보는 얻을 수 없었습니다」","""Our investigation did not find an address, and she had not been to the Command Center in three months. No additional information was obtained from their staff.""",「调查结果显示，她的住所不明，最后一次来司令部已经是三个月前的事了，向其他职员打听也完全得不到她的相关资讯。」
,,,,,,,,
Dialog.Chapter4-2-6,,「聖核戦姫に変身できるようですが、戦闘記録は一切なく本人の戦闘能力は不明です」,「現状彼女の戦闘記録は一切なく本人の戦闘能力は不明です」,「目前沒有任何她的戰鬥紀錄，本人的戰鬥能力不明。」,"She seems to be able to transform into a Seikaku Princess, but there is no record of any battles and her combat ability is unknown.",「현재 그녀의 전투 기록은 일절 없으며 본인의 전투 능력은 불명입니다」,"""Currently, we do not have any combat records on her, and we do not know her capabilities.""",「目前没有任何她的战斗纪录，本人的战斗能力不明。」
,,,,,,,,
Dialog.Chapter4-2-6(1),SEL,わかった。話は変わるが005号は帰還してくれ。どうやら彼女君の存在に気が付いているようだ,わかった。……話は変わるが005号は帰還してくれ。どうやら彼女は君の存在に気が付いているようだ,我知道了。話説，005號麻煩妳先撤退吧。看來她已經察覺到妳的存在了。,"Okay, I'll do it. On a different note, 005 should return. Apparently, she's aware of your presence.",알았다. ……이야기를 전환해서 005호는 귀환하도록. 아무래도 그녀는 너의 존재를 눈치챈 것 같다,"Got it. First, you need to come back. I think she somehow found out about you.""",我知道了。话说，005号麻烦你先撤退吧。看来她已经察觉到你的存在了。
,,,,,,,,
Dialog.Chapter4-2-7,005号,「！、何故それが…？……わかりました、すぐに帰還します」,「！、？……わかりました、すぐに帰還します」,「！ ？……了解，我立刻返回。」,"""! Why is that...? ...... Okay, we'll be back soon.""","「!, ?……알겠습니다, 즉시 귀환하겠습니다」","""?! Understood, I will return at once.""",「！ ？……了解，我立刻返回。」
,,,,,,,,
Dialog.Chapter4-2-8,戦闘員(通信),「報告します！既に施設に10億円以上の被害が出ています！全力で復旧に当たっていますが復旧の見通しは立っていません…！」,「報告します！既に施設に10億円以上の被害が出ています！全力で復旧に当たっていますが復旧の見通しは立っていません…！」,「報告！目前設施已經造成超過10億日圓的損失！雖然正全力進行復原作業，但目前尚看不到復原的明確時間……！」,"'Report! There has already been over 1 billion yen in damage to the facility! We are doing everything we can to restore the facility, but there is no prospect of restoration...!""",「보고합니다! 이미 시설에 10억 엔 이상의 피해가 발생했습니다! 전력으로 복구에 임하고 있습니다만 복구 전망은 서지 않고 있습니다…!」,"""Report! We have suffered more than one billion yen in losses! We have been doing our best to restore the system, but we do not have a schedule.""",「报告！目前设施已经造成超过10亿日圆的损失！虽然正全力进行复原作业，但目前尚看不到复原的明确时间……！」
,,,,,,,,
Dialog.Chapter4-2-9,,「復旧したところが再びハッキングされいたちごっこに…」,「復旧したところが再びハッキングされいたちごっこに…」,「好不容易修好的區域又再度被駭入，完全是在玩追逐遊戲……」,"""The place that was restored was hacked again, and we're back at it...""",「복구한 곳이 다시 해킹당해 다람쥐 쳇바퀴 돌 듯…」,"""Whatever we were able to restore, she hacked into it immediately...""",「好不容易修好的区域又再度被骇入，完全是在玩追逐游戏……」
,,,,,,,,
Dialog.Chapter4-2-9(1),SEL,……どうやらこちらから行動を起こす必要がありそうだ,……どうやらこちらから行動を起こす必要がありそうだ,……看來我們這邊也必須主動出擊了。,...... Apparently we need to take action here.,……아무래도 이쪽에서 행동을 일으킬 필요가 있겠군,We need to take action.,……看来我们这边也必须主动出击了。
,,,,,,,,
Dialog.Chapter4-2-10,,(とにかく猫宮京の位置を特定し制圧しなければならない。戦闘能力こそ未知数だが、危険度は清藤エレナを確実に上回っている),(とにかく猫宮京の位置を特定し制圧しなければならない。戦闘能力こそ未知数だが、危険度は清藤エレナを確実に上回っている),（總之必須先鎖定貓宮京的位置並將其制壓。雖然她的戰鬥能力還是未知數，但危險程度絕對在清藤艾蓮娜之上。）,"(In any case, we must locate and subdue Nekomiya Kei. His fighting ability is unknown, but his danger level is certainly higher than Seidō Erena's.)","(어쨌든 네코미야 케이의 위치를 특정하여 제압해야 한다. 전투 능력은 미지수지만, 위험도는 세이토 엘레나를 확실히 상회한다)","(She must be found and suppressed. We don't know how powerful she is, but at the moment she is a bigger threat than Elena Kiyofuji.)",（总之必须先锁定猫宫京的位置并将其制压。虽然她的战斗能力还是未知数，但危险程度绝对在清藤艾莲娜之上。）
,,,,,,,,
Dialog.Chapter4-2-11,戦闘員2,「こちら特定班！、現在システムのアクセスの痕跡を追跡しています！ただ、複雑に隠匿されていて特定に時間がかかっています」,「こちら特定班！、現在システムのアクセスの痕跡を追跡しています！ただ、複雑に隠匿されていて特定に時間がかかっています」,「這裡是特定小組！目前正追蹤系統存取紀錄的痕跡！只是對方的隱匿方式極為複雜，定位還需要一點時間！」,This is the Identification Team! We are currently tracing the access traces of the system! But it's complicated and hidden. It's taking a long time to identify it.,"「이쪽은 특정반!, 현재 시스템 접근 흔적을 추적하고 있습니다! 단, 복잡하게 은닉되어 있어 특정에 시간이 걸리고 있습니다」","""Investigation team here! We are tracing her connection, but it's taking more time because she is hiding behind a complicated web of connections!""",「这里是特定小组！目前正追踪系统存取纪录的痕迹！只是对方的隐匿方式极为复杂，定位还需要一点时间！」
,,,,,,,,
Dialog.Chapter4-2-11(1),SEL,了解した。そのまま猫宮京の居場所を探ってくれ,了解した。そのまま猫宮京の居場所を探ってくれ,了解。就照這樣持續追蹤貓宮京的位置。,Understood. Keep trying to locate Nekomiya Kei.,알겠다. 그대로 네코미야 케이의 거처를 찾아라,"Understood, keep searching.",了解。就照这样持续追踪猫宫京的位置。
,,,,,,,,
Dialog.Chapter4-2-11(2),SEL,早急に居場所を見つけ、これ以上の被害を阻止しなければならない――――,早急に居場所を見つけ、これ以上の被害を阻止しなければならない――――,必須儘快找出她的所在位置，阻止事態進一步惡化――――,We must locate them as soon as possible and prevent further damage. ――――,"조속히 거처를 찾아내, 이 이상의 피해를 막아야 한다――――",We must find her and stop the bleeding...,必须尽快找出她的所在位置，阻止事态进一步恶化――――
,,,,,,,,
Dialog.Chapter4-2-12,,都市の一角の高層ビルの一室にて,都市の一角の高層ビルの一室にて,某座城市一角的高樓大廈其中一間房裡。,In a room in a high―rise building in a corner of the city,도시 한 구석의 고층 빌딩 한 방에서,A room in a skyscraper in a corner the city...,某座城市一角的高楼大厦其中一间房里。
,Kei　story1ｰ1,,,,,,,
Dialog.Chapter4-2-13,,ピコンッ　ピコンッ　ピコンッ　ポリッポリッ,ピコンッ　ピコンッ　ピコンッ　ポリッポリッ,滴咚 滴咚 滴咚 喀滋喀滋,Biccone biccone biccone biccone biccone biccone biccone biccone biccone biccone,삐콩 삐콩 삐콩 오독오독,"Click, clack, click, clack",滴咚 滴咚 滴咚 喀滋喀滋
,,,,,,,,
Dialog.Chapter4-2-14,,暗闇の中、小柄な少女が空中に映し出されたモニターを操作する,暗闇の中、色白で病弱に見える少女が空中に映し出されたモニターを操作する,一名膚色蒼白、看起來病懨懨的少女，在黑暗中操作著懸浮在半空中的投影螢幕。,"In the darkness, a small girl operates a monitor projected in the air.","어둠 속, 창백하고 병약해 보이는 소녀가 공중에 비친 모니터를 조작한다","In the dark, a pale and frail girl was controlling a floating monitor.",一名肤色苍白、看起来病恹恹的少女，在黑暗中操作着悬浮在半空中的投影萤幕。
,,,,,,,,
